Nombre,Latitud,Longitud,Provincia
CEAS ÁVILA NORTE,40.6622572,-4.693770499999999,Ávila
CEAS ÁVILA CENTRO,40.656579,-4.6991048,Ávila
CEAS ÁVILA SUR,40.6502094,-4.6994256,Ávila
CEAS ÁVILA RURAL - (SEDE II),40.59063,-5.0140399,Ávila
CEAS ARAVALLE - BARCO DE ÁVILA,40.3590873,-5.5192025,Ávila
CEAS MORAÑA - ARÉVALO (SEDE I),41.064454,-4.7206106,Ávila
CEAS MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES (SEDE I),41.0893671890151,-4.998594950396573,Ávila
CEAS MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES (SEDE II),40.87278000000001,-4.97087,Ávila
CEAS EL TIÉTAR - LA ADRADA (SEDE I),40.3015461,-4.636582,Ávila
CEAS EL TIÉTAR - LA ADRADA (SEDE III),40.29007,-4.58054,Ávila
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE I),40.208900334884184,-5.0899964310671875,Ávila
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE II),40.2603205,-5.016945799999999,Ávila
CEAS ALBERCHE - CEBREROS (SEDE I),40.4551704,-4.4653711,Ávila
CEAS ALBERCHE - CEBREROS (SEDE II),40.4140749,-4.78524,Ávila
CEAS ALBERCHE - CEBREROS (SEDE III),40.6037781,-4.3275735,Ávila
CEAS ALBERCHE - CEBREROS (SEDE IV),40.4154193,-4.4977748,Ávila
CEAS VALLE DEL CORNEJA - PIEDRAHITA (SEDE I),,,Ávila
CEAS VALLE DEL CORNEJA - PIEDRAHITA (SEDE II),40.362307951585926,-5.134771764480562,Ávila
CEAS MORAÑA - ARÉVALO (SEDE II),40.8934177,-4.5816284,Ávila
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE III),40.1531865,-5.2409062,Ávila
CEAS EL TIÉTAR - LA ADRADA (SEDE II),40.2812164,-4.7662057,Ávila
CEAS ÁVILA RURAL - (SEDE I),40.6459808,-4.6930384,Ávila
CEAS LERMA,42.0244538,-3.758269499999999,Burgos
CEAS MIRANDA RURAL,42.6354093,-3.1105849,Burgos
CEAS ROA DE DUERO,41.695246,-3.930036,Burgos
CEAS TRESPADERNE,42.80340009868324,-3.387328015413052,Burgos
CEAS VILLADIEGO,42.5163901,-4.0106442,Burgos
CEAS BRIVIESCA,42.550164858742825,-3.3222266442541333,Burgos
CEAS ESPINOSA DE LOS MONTEROS,43.0766707,-3.5525542,Burgos
CEAS MEDINA DE POMAR,42.9296692,-3.4876361,Burgos
CEAS OÑA,42.73462809999999,-3.4140033,Burgos
CEAS SALAS DE LOS INFANTES,42.02312879999999,-3.2867137,Burgos
CEAS VALLE DE MENA,43.1020579,-3.2797431,Burgos
CEAS VILLARCAYO,42.9412861,-3.5692291,Burgos
CEAS RIO VENA,42.35279128282747,-3.683966524007297,Burgos
CEAS SAN PEDRO DE LA FUENTE,42.3420876,-3.7146004,Burgos
CEAS SAN PEDRO Y SAN FELICES,42.33284,-3.7020409,Burgos
CEAS CENTRO - ARLANZON,42.343222807967685,-3.7004890461052113,Burgos
CEAS GAMONAL II - LA ANTIGUA,42.34951440913958,-3.6704910135833178,Burgos
CEAS ARANDA RURAL,41.65055,-3.78134,Burgos
CEAS BURGOS RURAL NORTE,42.4344622,-3.681756,Burgos
CEAS MELGAR DE FERNAMENTAL,42.40423029999999,-4.2472347,Burgos
CEAS QUINTANAR DE LA SIERRA,41.98177130000001,-3.0395751,Burgos
CEAS VALLE DE VALDEBEZANA,42.7147851,-3.7489505,Burgos
CEAS BELORADO,42.41956769999999,-3.1917747,Burgos
CEAS BURGOS RURAL SUR,42.27721377264033,-3.897920042507388,Burgos
CEAS GAMONAL I - LAS TORRES,42.359585,-3.667592199999999,Burgos
CEAS HUERTA EL REY,41.83942058367317,-3.3470994154352867,Burgos
CEAS MIRANDA OESTE,42.6828946,-2.9523063,Burgos
CEAS MIRANDA ESTE,42.6897251,-2.9341395,Burgos
CEAS VADILLOS,42.343222807967685,-3.7004890461052113,Burgos
CEAS A-ALLENDEDUERO,41.6648603,-3.6885894,Burgos
CEAS B-CENTRO,41.6698478,-3.6833338,Burgos
CEAS SANTA MARÍA DEL CAMPO,42.1320876,-3.9754288,Burgos
CEAS CAPISCOL,42.34951440913958,-3.6704910135833178,Burgos
CEAS SAN JULIAN Y EL CRUCERO,42.33284,-3.7020409,Burgos
CEAS LA BAÑEZA,42.298868,-5.901442299999999,León
CEAS BOÑAR,42.8676712,-5.322381699999999,León
CEAS LEÓN I (VILLAQUILAMBRE),42.638889,-5.5576672,León
CEAS LEÓN II -VIRGEN DEL CAMINO,42.58046359999999,-5.642792000000001,León
CEAS LA MAGDALENA,42.78300536518858,-5.808731828519297,León
CEAS SAN ANDRES DEL RABANEDO (SEDE I - PINILLA),42.6066806,-5.596624600000001,León
CEAS SAN ANDRES DEL RABANEDO (SEDE II),42.60719719999999,-5.60487,León
CEAS TROBAJO DEL CAMINO (SEDE III - PRINCESA),42.597229938880176,-5.607612632663526,León
CEAS TROBAJO DEL CAMINO (SEDE IV - LA SAL),42.59625920000001,-5.5933359,León
CEAS EL PLANTÍO,42.54419000516744,-6.588381714191712,León
CEAS CENTRO (LA MÁQUINA),42.5519901,-6.5947678,León
CEAS CENTRO (NAVALIEGOS),42.5451741,-6.6071209,León
CEAS BABIA,42.95317761596372,-6.149694549314976,León
CEAS BEMBIBRE,42.61503173708794,-6.416209656001824,León
CEAS CACABELOS,42.5555509,-6.7330222,León
CEAS FABERO,42.765532076115235,-6.627945330702527,León
CEAS TORENO,42.69534517415,-6.514984507019156,León
CEAS TORRE DEL BIERZO,42.59591899999999,-6.322928999999999,León
CEAS VEGA DE ESPINAREDA,42.7258387,-6.6557963,León
CEAS VILLABLINO,42.9400402,-6.3219688,León
CEAS VILLAFRANCA,,,León
CEAS CUENCA DE MATALLANA,42.839700175149474,-5.518571876775259,León
CEAS  PALOMERA - SAN MAMÉS,42.6010013,-5.563774100000001,León
CEAS MARIANO ANDRÉS,42.6091908,-5.573188399999999,León
CEAS PUENTE CASTRO - SAN CLAUDIO,42.58942702336094,-5.564594611825883,León
CEAS VALENCIA DE DON JUAN,42.2936208,-5.5163989,León
CEAS ASTORGA,42.45555179999999,-6.059695,León
CEAS MANSILLA DE LAS MULAS,42.4979465,-5.4162096,León
CEAS RIAÑO,42.97554754778915,-5.006073906900231,León
CEAS LA RIBERA DEL ÓRBIGO,42.5038558,-5.897301,León
CEAS SAHAGÚN,42.371397835646654,-5.0325211266694465,León
CEAS SANTA MARÍA DEL PÁRAMO,42.35341033919614,-5.749237158984483,León
CEAS LA CABRERA,42.1847934,-6.1896397,León
CEAS ARMUNIA - OTERUELO -TROBAJO DE CERECEDO,42.58603420000001,-5.587041699999999,León
CEAS LEÓN CENTRO,42.6035925,-5.576079699999999,León
CEAS EL CRUCERO - LA VEGA,42.6002048,-5.5863114,León
CEAS EL EJIDO - SANTA ANA,42.6009341,-5.562336699999999,León
CEAS TROBAJO DEL CAMINO (SEDE I),42.59409153676538,-5.607529729392662,León
CEAS PUENTE DOMINGO FLOREZ,,,León
CEAS CISTIERNA,42.80345519713908,-5.125696914992193,León
CEAS TROBAJO DEL CAMINO (SEDE II - PARAISO CANTINAS),42.6010728,-5.5914757,León
CEAS FLORES DEL SIL,42.54302879999999,-6.6173446,León
CEAS AGUILAR DE CAMPOO,42.7934857,-4.261801999999999,Palencia
CEAS PALENCIA NORTE,42.03051,-4.5559257,Palencia
CEAS PALENCIA CENTRO,42.008185,-4.5285272,Palencia
CEAS PALENCIA SUR,42.0038549,-4.5213143,Palencia
CEAS PALENCIA NORESTE,42.017286,-4.528937,Palencia
CEAS ASTUDILLO - FRÓMISTA,42.1936079,-4.292614299999999,Palencia
CEAS BALTANÁS - TORQUEMADA,42.0300438,-4.322111599999999,Palencia
CEAS CERVERA DE PISUERGA - LA PERNÍA,42.8646703,-4.4987695,Palencia
CEAS GUARDO,42.7895908,-4.8481424,Palencia
CEAS HERRERA DEL PISUERGA - ALAR DEL REY,42.5932787,-4.330303799999999,Palencia
CEAS PAREDES DE NAVA - VILLADA,42.1540575,-4.6917918,Palencia
CEAS CARRIÓN DE LOS CONDES - OSORNO (SEDE I),42.33771,-4.604333,Palencia
CEAS VILLARRAMIEL,42.0450875,-4.9114359,Palencia
CEAS CARRIÓN DE LOS CONDES - OSORNO (SEDE II),42.4116427,-4.3618235,Palencia
CEAS SALDAÑA,,,Palencia
CEAS VENTA DE BAÑOS - DUEÑAS,,,Palencia
CEAS LAS VILLAS - SANTA MARTA DE TORMES,40.96511129653245,-5.67062927247288,Salamanca
CEAS LEDESMA,41.0901838,-5.998420299999999,Salamanca
CEAS LUMBRALES,41.0082771,-6.4360279,Salamanca
CEAS SALAMANCA RURAL NORTE,40.96511129653245,-5.67062927247288,Salamanca
CEAS SALAMANCA RURAL SUR,40.96511129653245,-5.67062927247288,Salamanca
CEAS TAMAMES,40.65828497215771,-6.105763049598969,Salamanca
CEAS VITGUDINO,41.0082771,-6.4360279,Salamanca
CEAS ALBA DE TORMES,40.8275971,-5.513161,Salamanca
CEAS BEJAR,40.3856484,-5.7673866,Salamanca
CEAS CIUDAD RODRIGO 1,40.5968503,-6.5343694,Salamanca
CEAS CIUDAD RODRIGO 2,40.5968503,-6.5343694,Salamanca
CEAS GUIJUELO,40.5555324,-5.6714397,Salamanca
CEAS SALAMANCA CENTRO,40.9615299,-5.6633066,Salamanca
CEAS ROLLO,40.9650196,-5.6504549,Salamanca
CEAS GARRIDO SUR,40.9739686,-5.659485699999999,Salamanca
CEAS SAN BERNARDO - VIDAL,40.9709304,-5.6705462,Salamanca
CEAS PIZARRALES,40.97845909999999,-5.6742688,Salamanca
CEAS GARRIDO NORTE,40.9739686,-5.659485699999999,Salamanca
