Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
05001 Adanero;;;Edad media de la población;2023;49,8
05001 Adanero;;;Edad media de la población;2022;50
05001 Adanero;;;Edad media de la población;2021;52
05001 Adanero;;;Edad media de la población;2020;52,8
05001 Adanero;;;Edad media de la población;2019;52,3
05001 Adanero;;;Edad media de la población;2018;53,8
05001 Adanero;;;Edad media de la población;2017;52,2
05001 Adanero;;;Edad media de la población;2016;52,2
05001 Adanero;;;Edad media de la población;2015;51
05001 Adanero;;;Porcentaje de población menor de 18 años;2023;7,9
05001 Adanero;;;Porcentaje de población menor de 18 años;2022;6,2
05001 Adanero;;;Porcentaje de población menor de 18 años;2021;3,8
05001 Adanero;;;Porcentaje de población menor de 18 años;2020;6,6
05001 Adanero;;;Porcentaje de población menor de 18 años;2019;7,1
05001 Adanero;;;Porcentaje de población menor de 18 años;2018;5,6
05001 Adanero;;;Porcentaje de población menor de 18 años;2017;6,9
05001 Adanero;;;Porcentaje de población menor de 18 años;2016;7,5
05001 Adanero;;;Porcentaje de población menor de 18 años;2015;9,3
05001 Adanero;;;Porcentaje de población de 65 y más años;2023;29,3
05001 Adanero;;;Porcentaje de población de 65 y más años;2022;30,8
05001 Adanero;;;Porcentaje de población de 65 y más años;2021;32,9
05001 Adanero;;;Porcentaje de población de 65 y más años;2020;33,8
05001 Adanero;;;Porcentaje de población de 65 y más años;2019;32,6
05001 Adanero;;;Porcentaje de población de 65 y más años;2018;35,7
05001 Adanero;;;Porcentaje de población de 65 y más años;2017;31,9
05001 Adanero;;;Porcentaje de población de 65 y más años;2016;31,5
05001 Adanero;;;Porcentaje de población de 65 y más años;2015;31,7
05001 Adanero;;;Tamaño medio del hogar;2023;2,2
05001 Adanero;;;Tamaño medio del hogar;2022;2,2
05001 Adanero;;;Tamaño medio del hogar;2021;2,1
05001 Adanero;;;Tamaño medio del hogar;2020;2,1
05001 Adanero;;;Tamaño medio del hogar;2019;2,1
05001 Adanero;;;Tamaño medio del hogar;2018;2,1
05001 Adanero;;;Tamaño medio del hogar;2017;2,1
05001 Adanero;;;Tamaño medio del hogar;2016;2,1
05001 Adanero;;;Tamaño medio del hogar;2015;2,1
05001 Adanero;;;Porcentaje de hogares unipersonales;2023;36,1
05001 Adanero;;;Porcentaje de hogares unipersonales;2022;38,5
05001 Adanero;;;Porcentaje de hogares unipersonales;2021;41,8
05001 Adanero;;;Porcentaje de hogares unipersonales;2020;39
05001 Adanero;;;Porcentaje de hogares unipersonales;2019;37,6
05001 Adanero;;;Porcentaje de hogares unipersonales;2018;41,5
05001 Adanero;;;Porcentaje de hogares unipersonales;2017;41,2
05001 Adanero;;;Porcentaje de hogares unipersonales;2016;39,2
05001 Adanero;;;Porcentaje de hogares unipersonales;2015;44,5
05001 Adanero;;;Población;2023;215
05001 Adanero;;;Población;2022;211
05001 Adanero;;;Población;2021;210
05001 Adanero;;;Población;2020;198
05001 Adanero;;;Población;2019;212
05001 Adanero;;;Población;2018;196
05001 Adanero;;;Población;2017;204
05001 Adanero;;;Población;2016;213
05001 Adanero;;;Población;2015;227
05001 Adanero;;;Porcentaje de población española;2023;85,1
05001 Adanero;;;Porcentaje de población española;2022;86,3
05001 Adanero;;;Porcentaje de población española;2021;90,2
05001 Adanero;;;Porcentaje de población española;2020;93,9
05001 Adanero;;;Porcentaje de población española;2019;93,4
05001 Adanero;;;Porcentaje de población española;2018;94,9
05001 Adanero;;;Porcentaje de población española;2017;94,6
05001 Adanero;;;Porcentaje de población española;2016;93,8
05001 Adanero;;;Porcentaje de población española;2015;95,9
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2023;49,8
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2022;50
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2021;52
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2020;52,8
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2019;52,3
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2018;53,8
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2017;52,2
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2016;52,2
05001 Adanero;0500101 Adanero distrito 01;;Edad media de la población;2015;51
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2023;7,9
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2022;6,2
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2021;3,8
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2020;6,6
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2019;7,1
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2018;5,6
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2017;6,9
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2016;7,5
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población menor de 18 años;2015;9,3
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2023;29,3
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2022;30,8
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2021;32,9
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2020;33,8
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2019;32,6
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2018;35,7
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2017;31,9
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2016;31,5
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población de 65 y más años;2015;31,7
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2023;2,2
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2022;2,2
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2021;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2020;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2019;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2018;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2017;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2016;2,1
05001 Adanero;0500101 Adanero distrito 01;;Tamaño medio del hogar;2015;2,1
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2023;36,1
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2022;38,5
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2021;41,8
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2020;39
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2019;37,6
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2018;41,5
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2017;41,2
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2016;39,2
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de hogares unipersonales;2015;44,5
05001 Adanero;0500101 Adanero distrito 01;;Población;2023;215
05001 Adanero;0500101 Adanero distrito 01;;Población;2022;211
05001 Adanero;0500101 Adanero distrito 01;;Población;2021;210
05001 Adanero;0500101 Adanero distrito 01;;Población;2020;198
05001 Adanero;0500101 Adanero distrito 01;;Población;2019;212
05001 Adanero;0500101 Adanero distrito 01;;Población;2018;196
05001 Adanero;0500101 Adanero distrito 01;;Población;2017;204
05001 Adanero;0500101 Adanero distrito 01;;Población;2016;213
05001 Adanero;0500101 Adanero distrito 01;;Población;2015;227
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población española;2023;85,1
05001 Adanero;0500101 Adanero distrito 01;;Porcentaje de población española;2022;86,3
