Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09001 Abajas;;;Edad media de la población;2023;58,2
09001 Abajas;;;Edad media de la población;2022;61
09001 Abajas;;;Edad media de la población;2021;60
09001 Abajas;;;Edad media de la población;2020;59
09001 Abajas;;;Edad media de la población;2019;.
09001 Abajas;;;Edad media de la población;2018;.
09001 Abajas;;;Edad media de la población;2017;.
09001 Abajas;;;Edad media de la población;2016;.
09001 Abajas;;;Edad media de la población;2015;.
09001 Abajas;;;Porcentaje de población menor de 18 años;2023;7,1
09001 Abajas;;;Porcentaje de población menor de 18 años;2022;0
09001 Abajas;;;Porcentaje de población menor de 18 años;2021;0
09001 Abajas;;;Porcentaje de población menor de 18 años;2020;0
09001 Abajas;;;Porcentaje de población menor de 18 años;2019;.
09001 Abajas;;;Porcentaje de población menor de 18 años;2018;.
09001 Abajas;;;Porcentaje de población menor de 18 años;2017;.
09001 Abajas;;;Porcentaje de población menor de 18 años;2016;.
09001 Abajas;;;Porcentaje de población menor de 18 años;2015;.
09001 Abajas;;;Porcentaje de población de 65 y más años;2023;42,9
09001 Abajas;;;Porcentaje de población de 65 y más años;2022;35,7
09001 Abajas;;;Porcentaje de población de 65 y más años;2021;34,5
09001 Abajas;;;Porcentaje de población de 65 y más años;2020;34,5
09001 Abajas;;;Porcentaje de población de 65 y más años;2019;.
09001 Abajas;;;Porcentaje de población de 65 y más años;2018;.
09001 Abajas;;;Porcentaje de población de 65 y más años;2017;.
09001 Abajas;;;Porcentaje de población de 65 y más años;2016;.
09001 Abajas;;;Porcentaje de población de 65 y más años;2015;.
09001 Abajas;;;Tamaño medio del hogar;2023;1,9
09001 Abajas;;;Tamaño medio del hogar;2022;1,6
09001 Abajas;;;Tamaño medio del hogar;2021;1,7
09001 Abajas;;;Tamaño medio del hogar;2020;1,7
09001 Abajas;;;Tamaño medio del hogar;2019;.
09001 Abajas;;;Tamaño medio del hogar;2018;.
09001 Abajas;;;Tamaño medio del hogar;2017;.
09001 Abajas;;;Tamaño medio del hogar;2016;.
09001 Abajas;;;Tamaño medio del hogar;2015;.
09001 Abajas;;;Porcentaje de hogares unipersonales;2023;46,7
09001 Abajas;;;Porcentaje de hogares unipersonales;2022;52,9
09001 Abajas;;;Porcentaje de hogares unipersonales;2021;47,1
09001 Abajas;;;Porcentaje de hogares unipersonales;2020;47,1
09001 Abajas;;;Porcentaje de hogares unipersonales;2019;.
09001 Abajas;;;Porcentaje de hogares unipersonales;2018;.
09001 Abajas;;;Porcentaje de hogares unipersonales;2017;.
09001 Abajas;;;Porcentaje de hogares unipersonales;2016;.
09001 Abajas;;;Porcentaje de hogares unipersonales;2015;.
09001 Abajas;;;Población;2023;28
09001 Abajas;;;Población;2022;28
09001 Abajas;;;Población;2021;29
09001 Abajas;;;Población;2020;29
09001 Abajas;;;Población;2019;.
09001 Abajas;;;Población;2018;.
09001 Abajas;;;Población;2017;.
09001 Abajas;;;Población;2016;.
09001 Abajas;;;Población;2015;.
09001 Abajas;;;Porcentaje de población española;2023;96,4
09001 Abajas;;;Porcentaje de población española;2022;96,4
09001 Abajas;;;Porcentaje de población española;2021;96,6
09001 Abajas;;;Porcentaje de población española;2020;96,6
09001 Abajas;;;Porcentaje de población española;2019;.
09001 Abajas;;;Porcentaje de población española;2018;.
09001 Abajas;;;Porcentaje de población española;2017;.
09001 Abajas;;;Porcentaje de población española;2016;.
09001 Abajas;;;Porcentaje de población española;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2023;58,2
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2022;61
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2021;60
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2020;59
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Edad media de la población;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2023;7,1
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2022;0
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2021;0
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2020;0
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población menor de 18 años;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2023;42,9
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2022;35,7
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2021;34,5
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2020;34,5
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Porcentaje de población de 65 y más años;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2023;1,9
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2022;1,6
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2021;1,7
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2020;1,7
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Tamaño medio del hogar;2016;.
