Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
34001 Abarca de Campos;;;Edad media de la población;2023;58,4
34001 Abarca de Campos;;;Edad media de la población;2022;55,1
34001 Abarca de Campos;;;Edad media de la población;2021;55,5
34001 Abarca de Campos;;;Edad media de la población;2020;55,2
34001 Abarca de Campos;;;Edad media de la población;2019;.
34001 Abarca de Campos;;;Edad media de la población;2018;.
34001 Abarca de Campos;;;Edad media de la población;2017;.
34001 Abarca de Campos;;;Edad media de la población;2016;.
34001 Abarca de Campos;;;Edad media de la población;2015;.
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2023;2,6
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2022;4,8
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2021;4,7
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2020;4,4
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2019;.
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2018;.
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2017;.
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2016;.
34001 Abarca de Campos;;;Porcentaje de población menor de 18 años;2015;.
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2023;42,1
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2022;35,7
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2021;32,6
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2020;33,3
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2019;.
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2018;.
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2017;.
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2016;.
34001 Abarca de Campos;;;Porcentaje de población de 65 y más años;2015;.
34001 Abarca de Campos;;;Tamaño medio del hogar;2023;2,1
34001 Abarca de Campos;;;Tamaño medio del hogar;2022;2,2
34001 Abarca de Campos;;;Tamaño medio del hogar;2021;2,1
34001 Abarca de Campos;;;Tamaño medio del hogar;2020;2,3
34001 Abarca de Campos;;;Tamaño medio del hogar;2019;.
34001 Abarca de Campos;;;Tamaño medio del hogar;2018;.
34001 Abarca de Campos;;;Tamaño medio del hogar;2017;.
34001 Abarca de Campos;;;Tamaño medio del hogar;2016;.
34001 Abarca de Campos;;;Tamaño medio del hogar;2015;.
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2023;44,4
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2022;36,8
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2021;45
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2020;35
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2019;.
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2018;.
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2017;.
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2016;.
34001 Abarca de Campos;;;Porcentaje de hogares unipersonales;2015;.
34001 Abarca de Campos;;;Población;2023;38
34001 Abarca de Campos;;;Población;2022;42
34001 Abarca de Campos;;;Población;2021;43
34001 Abarca de Campos;;;Población;2020;45
34001 Abarca de Campos;;;Población;2019;.
34001 Abarca de Campos;;;Población;2018;.
34001 Abarca de Campos;;;Población;2017;.
34001 Abarca de Campos;;;Población;2016;.
34001 Abarca de Campos;;;Población;2015;.
34001 Abarca de Campos;;;Porcentaje de población española;2023;94,7
34001 Abarca de Campos;;;Porcentaje de población española;2022;85,7
34001 Abarca de Campos;;;Porcentaje de población española;2021;90,7
34001 Abarca de Campos;;;Porcentaje de población española;2020;91,1
34001 Abarca de Campos;;;Porcentaje de población española;2019;.
34001 Abarca de Campos;;;Porcentaje de población española;2018;.
34001 Abarca de Campos;;;Porcentaje de población española;2017;.
34001 Abarca de Campos;;;Porcentaje de población española;2016;.
34001 Abarca de Campos;;;Porcentaje de población española;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2023;58,4
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2022;55,1
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2021;55,5
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2020;55,2
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Edad media de la población;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Porcentaje de población menor de 18 años;2023;2,6
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Porcentaje de población menor de 18 años;2022;4,8
