Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
37001 Abusejo;;;Edad media de la población;2023;63,6
37001 Abusejo;;;Edad media de la población;2022;63,4
37001 Abusejo;;;Edad media de la población;2021;62,5
37001 Abusejo;;;Edad media de la población;2020;61,7
37001 Abusejo;;;Edad media de la población;2019;56,5
37001 Abusejo;;;Edad media de la población;2018;56,5
37001 Abusejo;;;Edad media de la población;2017;56,3
37001 Abusejo;;;Edad media de la población;2016;56,2
37001 Abusejo;;;Edad media de la población;2015;56,1
37001 Abusejo;;;Porcentaje de población menor de 18 años;2023;4,2
37001 Abusejo;;;Porcentaje de población menor de 18 años;2022;4
37001 Abusejo;;;Porcentaje de población menor de 18 años;2021;3,7
37001 Abusejo;;;Porcentaje de población menor de 18 años;2020;3,6
37001 Abusejo;;;Porcentaje de población menor de 18 años;2019;3,5
37001 Abusejo;;;Porcentaje de población menor de 18 años;2018;3,5
37001 Abusejo;;;Porcentaje de población menor de 18 años;2017;3,6
37001 Abusejo;;;Porcentaje de población menor de 18 años;2016;4,4
37001 Abusejo;;;Porcentaje de población menor de 18 años;2015;4
37001 Abusejo;;;Porcentaje de población de 65 y más años;2023;48,6
37001 Abusejo;;;Porcentaje de población de 65 y más años;2022;49,3
37001 Abusejo;;;Porcentaje de población de 65 y más años;2021;48,5
37001 Abusejo;;;Porcentaje de población de 65 y más años;2020;45,5
37001 Abusejo;;;Porcentaje de población de 65 y más años;2019;40,9
37001 Abusejo;;;Porcentaje de población de 65 y más años;2018;40,9
37001 Abusejo;;;Porcentaje de población de 65 y más años;2017;41,3
37001 Abusejo;;;Porcentaje de población de 65 y más años;2016;41,2
37001 Abusejo;;;Porcentaje de población de 65 y más años;2015;41,2
37001 Abusejo;;;Tamaño medio del hogar;2023;2
37001 Abusejo;;;Tamaño medio del hogar;2022;2
37001 Abusejo;;;Tamaño medio del hogar;2021;2,1
37001 Abusejo;;;Tamaño medio del hogar;2020;2,2
37001 Abusejo;;;Tamaño medio del hogar;2019;2,2
37001 Abusejo;;;Tamaño medio del hogar;2018;2,3
37001 Abusejo;;;Tamaño medio del hogar;2017;2,4
37001 Abusejo;;;Tamaño medio del hogar;2016;2,4
37001 Abusejo;;;Tamaño medio del hogar;2015;2,4
37001 Abusejo;;;Porcentaje de hogares unipersonales;2023;40,3
37001 Abusejo;;;Porcentaje de hogares unipersonales;2022;40
37001 Abusejo;;;Porcentaje de hogares unipersonales;2021;38,7
37001 Abusejo;;;Porcentaje de hogares unipersonales;2020;37,3
37001 Abusejo;;;Porcentaje de hogares unipersonales;2019;37,2
37001 Abusejo;;;Porcentaje de hogares unipersonales;2018;36,3
37001 Abusejo;;;Porcentaje de hogares unipersonales;2017;36,6
37001 Abusejo;;;Porcentaje de hogares unipersonales;2016;35,3
37001 Abusejo;;;Porcentaje de hogares unipersonales;2015;36,5
37001 Abusejo;;;Población;2023;142
37001 Abusejo;;;Población;2022;150
37001 Abusejo;;;Población;2021;161
37001 Abusejo;;;Población;2020;167
37001 Abusejo;;;Población;2019;175
37001 Abusejo;;;Población;2018;183
37001 Abusejo;;;Población;2017;194
37001 Abusejo;;;Población;2016;203
37001 Abusejo;;;Población;2015;202
37001 Abusejo;;;Porcentaje de población española;2023;97,9
37001 Abusejo;;;Porcentaje de población española;2022;97,3
37001 Abusejo;;;Porcentaje de población española;2021;97,5
37001 Abusejo;;;Porcentaje de población española;2020;97,6
37001 Abusejo;;;Porcentaje de población española;2019;97,7
37001 Abusejo;;;Porcentaje de población española;2018;97,8
37001 Abusejo;;;Porcentaje de población española;2017;97,9
37001 Abusejo;;;Porcentaje de población española;2016;98
37001 Abusejo;;;Porcentaje de población española;2015;99,4
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2023;63,6
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2022;63,4
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2021;62,5
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2020;61,7
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2019;56,6
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2018;56,8
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2017;56,5
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2016;56,3
37001 Abusejo;3700101 Abusejo distrito 01;;Edad media de la población;2015;56,1
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2023;4,2
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2022;4
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2021;3,7
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2020;3,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2019;3,4
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2018;3,5
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2017;3,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2016;4,4
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población menor de 18 años;2015;4
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2023;48,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2022;49,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2021;48,5
