Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
40001 Abades;;;Edad media de la población;2023;46,2
40001 Abades;;;Edad media de la población;2022;45,4
40001 Abades;;;Edad media de la población;2021;45,7
40001 Abades;;;Edad media de la población;2020;45,5
40001 Abades;;;Edad media de la población;2019;45,4
40001 Abades;;;Edad media de la población;2018;45,3
40001 Abades;;;Edad media de la población;2017;45,4
40001 Abades;;;Edad media de la población;2016;45,3
40001 Abades;;;Edad media de la población;2015;45,1
40001 Abades;;;Porcentaje de población menor de 18 años;2023;16,5
40001 Abades;;;Porcentaje de población menor de 18 años;2022;16,8
40001 Abades;;;Porcentaje de población menor de 18 años;2021;15,8
40001 Abades;;;Porcentaje de población menor de 18 años;2020;15,5
40001 Abades;;;Porcentaje de población menor de 18 años;2019;16,4
40001 Abades;;;Porcentaje de población menor de 18 años;2018;16,5
40001 Abades;;;Porcentaje de población menor de 18 años;2017;16,1
40001 Abades;;;Porcentaje de población menor de 18 años;2016;16,1
40001 Abades;;;Porcentaje de población menor de 18 años;2015;15,8
40001 Abades;;;Porcentaje de población de 65 y más años;2023;24,3
40001 Abades;;;Porcentaje de población de 65 y más años;2022;23,1
40001 Abades;;;Porcentaje de población de 65 y más años;2021;23,5
40001 Abades;;;Porcentaje de población de 65 y más años;2020;23,4
40001 Abades;;;Porcentaje de población de 65 y más años;2019;23,7
40001 Abades;;;Porcentaje de población de 65 y más años;2018;24,6
40001 Abades;;;Porcentaje de población de 65 y más años;2017;24,6
40001 Abades;;;Porcentaje de población de 65 y más años;2016;24,4
40001 Abades;;;Porcentaje de población de 65 y más años;2015;23,7
40001 Abades;;;Tamaño medio del hogar;2023;2,5
40001 Abades;;;Tamaño medio del hogar;2022;2,6
40001 Abades;;;Tamaño medio del hogar;2021;2,5
40001 Abades;;;Tamaño medio del hogar;2020;2,5
40001 Abades;;;Tamaño medio del hogar;2019;2,5
40001 Abades;;;Tamaño medio del hogar;2018;2,5
40001 Abades;;;Tamaño medio del hogar;2017;2,6
40001 Abades;;;Tamaño medio del hogar;2016;2,6
40001 Abades;;;Tamaño medio del hogar;2015;2,5
40001 Abades;;;Porcentaje de hogares unipersonales;2023;29,1
40001 Abades;;;Porcentaje de hogares unipersonales;2022;27,7
40001 Abades;;;Porcentaje de hogares unipersonales;2021;28,8
40001 Abades;;;Porcentaje de hogares unipersonales;2020;29,1
40001 Abades;;;Porcentaje de hogares unipersonales;2019;27,3
40001 Abades;;;Porcentaje de hogares unipersonales;2018;27,2
40001 Abades;;;Porcentaje de hogares unipersonales;2017;23,7
40001 Abades;;;Porcentaje de hogares unipersonales;2016;23,4
40001 Abades;;;Porcentaje de hogares unipersonales;2015;25,9
40001 Abades;;;Población;2023;837
40001 Abades;;;Población;2022;843
40001 Abades;;;Población;2021;825
40001 Abades;;;Población;2020;818
40001 Abades;;;Población;2019;837
40001 Abades;;;Población;2018;835
40001 Abades;;;Población;2017;847
40001 Abades;;;Población;2016;864
40001 Abades;;;Población;2015;865
40001 Abades;;;Porcentaje de población española;2023;95
40001 Abades;;;Porcentaje de población española;2022;95,3
40001 Abades;;;Porcentaje de población española;2021;96,2
40001 Abades;;;Porcentaje de población española;2020;97,1
40001 Abades;;;Porcentaje de población española;2019;96,7
40001 Abades;;;Porcentaje de población española;2018;97,5
40001 Abades;;;Porcentaje de población española;2017;97,3
40001 Abades;;;Porcentaje de población española;2016;97,1
40001 Abades;;;Porcentaje de población española;2015;96,6
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2023;46,2
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2022;45,4
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2021;45,7
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2020;45,5
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2019;45,4
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2018;45,3
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2017;45,4
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2016;45,3
40001 Abades;4000101 Abades distrito 01;;Edad media de la población;2015;45,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2023;16,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2022;16,8
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2021;15,8
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2020;15,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2019;16,4
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2018;16,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2017;16,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2016;16,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población menor de 18 años;2015;15,8
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2023;24,3
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2022;23,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2021;23,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2020;23,4
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2019;23,7
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2018;24,6
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2017;24,6
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2016;24,4
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población de 65 y más años;2015;23,7
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2023;2,5
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2022;2,6
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2021;2,5
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2020;2,5
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2019;2,5
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2018;2,5
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2017;2,6
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2016;2,6
40001 Abades;4000101 Abades distrito 01;;Tamaño medio del hogar;2015;2,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2023;29,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2022;27,7
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2021;28,8
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2020;29,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2019;27,3
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2018;27,2
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2017;23,7
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2016;23,4
40001 Abades;4000101 Abades distrito 01;;Porcentaje de hogares unipersonales;2015;25,9
40001 Abades;4000101 Abades distrito 01;;Población;2023;837
40001 Abades;4000101 Abades distrito 01;;Población;2022;843
40001 Abades;4000101 Abades distrito 01;;Población;2021;825
40001 Abades;4000101 Abades distrito 01;;Población;2020;818
40001 Abades;4000101 Abades distrito 01;;Población;2019;837
40001 Abades;4000101 Abades distrito 01;;Población;2018;835
40001 Abades;4000101 Abades distrito 01;;Población;2017;847
40001 Abades;4000101 Abades distrito 01;;Población;2016;864
40001 Abades;4000101 Abades distrito 01;;Población;2015;865
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2023;95
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2022;95,3
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2021;96,2
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2020;97,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2019;96,7
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2018;97,5
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2017;97,3
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2016;97,1
40001 Abades;4000101 Abades distrito 01;;Porcentaje de población española;2015;96,6
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2023;46,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2022;45,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2021;45,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2020;45,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2019;45,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2018;45,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2017;45,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2016;45,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Edad media de la población;2015;45,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población menor de 18 años;2023;16,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población menor de 18 años;2022;16,8
