Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
05 Ávila;;;Total;Todas las edades;2024;160.463
05 Ávila;;;Total;Todas las edades;2023;159.764
05 Ávila;;;Total;Todas las edades;2022;159.102
05 Ávila;;;Total;Todas las edades;2021;158.898
05 Ávila;;;Total;De 0 a 4 años;2024;4.791
05 Ávila;;;Total;De 0 a 4 años;2023;4.802
05 Ávila;;;Total;De 0 a 4 años;2022;4.839
05 Ávila;;;Total;De 0 a 4 años;2021;5.168
05 Ávila;;;Total;De 5 a 9 años;2024;6.162
05 Ávila;;;Total;De 5 a 9 años;2023;6.259
05 Ávila;;;Total;De 5 a 9 años;2022;6.315
05 Ávila;;;Total;De 5 a 9 años;2021;6.399
05 Ávila;;;Total;De 10 a 14 años;2024;7.175
05 Ávila;;;Total;De 10 a 14 años;2023;7.220
05 Ávila;;;Total;De 10 a 14 años;2022;7.174
05 Ávila;;;Total;De 10 a 14 años;2021;7.175
05 Ávila;;;Total;De 15 a 19 años;2024;7.536
05 Ávila;;;Total;De 15 a 19 años;2023;7.280
05 Ávila;;;Total;De 15 a 19 años;2022;7.092
05 Ávila;;;Total;De 15 a 19 años;2021;7.027
05 Ávila;;;Total;De 20 a 24 años;2024;7.331
05 Ávila;;;Total;De 20 a 24 años;2023;7.212
05 Ávila;;;Total;De 20 a 24 años;2022;7.192
05 Ávila;;;Total;De 20 a 24 años;2021;7.208
05 Ávila;;;Total;De 25 a 29 años;2024;7.174
05 Ávila;;;Total;De 25 a 29 años;2023;7.198
05 Ávila;;;Total;De 25 a 29 años;2022;7.275
05 Ávila;;;Total;De 25 a 29 años;2021;7.286
05 Ávila;;;Total;De 30 a 34 años;2024;7.668
05 Ávila;;;Total;De 30 a 34 años;2023;7.660
05 Ávila;;;Total;De 30 a 34 años;2022;7.681
05 Ávila;;;Total;De 30 a 34 años;2021;7.890
05 Ávila;;;Total;De 35 a 39 años;2024;8.672
05 Ávila;;;Total;De 35 a 39 años;2023;8.786
05 Ávila;;;Total;De 35 a 39 años;2022;8.827
05 Ávila;;;Total;De 35 a 39 años;2021;9.091
05 Ávila;;;Total;De 40 a 44 años;2024;10.287
05 Ávila;;;Total;De 40 a 44 años;2023;10.722
05 Ávila;;;Total;De 40 a 44 años;2022;10.995
05 Ávila;;;Total;De 40 a 44 años;2021;11.200
05 Ávila;;;Total;De 45 a 49 años;2024;12.247
05 Ávila;;;Total;De 45 a 49 años;2023;12.081
05 Ávila;;;Total;De 45 a 49 años;2022;11.935
05 Ávila;;;Total;De 45 a 49 años;2021;11.900
05 Ávila;;;Total;De 50 a 54 años;2024;12.383
05 Ávila;;;Total;De 50 a 54 años;2023;12.292
05 Ávila;;;Total;De 50 a 54 años;2022;12.373
05 Ávila;;;Total;De 50 a 54 años;2021;12.440
05 Ávila;;;Total;De 55 a 59 años;2024;12.853
05 Ávila;;;Total;De 55 a 59 años;2023;12.997
05 Ávila;;;Total;De 55 a 59 años;2022;13.090
05 Ávila;;;Total;De 55 a 59 años;2021;12.963
05 Ávila;;;Total;De 60 a 64 años;2024;13.069
05 Ávila;;;Total;De 60 a 64 años;2023;12.856
05 Ávila;;;Total;De 60 a 64 años;2022;12.441
05 Ávila;;;Total;De 60 a 64 años;2021;11.966
05 Ávila;;;Total;De 65 a 69 años;2024;10.991
05 Ávila;;;Total;De 65 a 69 años;2023;10.494
05 Ávila;;;Total;De 65 a 69 años;2022;10.126
05 Ávila;;;Total;De 65 a 69 años;2021;9.601
05 Ávila;;;Total;De 70 a 74 años;2024;8.933
05 Ávila;;;Total;De 70 a 74 años;2023;8.945
05 Ávila;;;Total;De 70 a 74 años;2022;8.795
05 Ávila;;;Total;De 70 a 74 años;2021;8.689
05 Ávila;;;Total;De 75 a 79 años;2024;7.955
05 Ávila;;;Total;De 75 a 79 años;2023;7.814
05 Ávila;;;Total;De 75 a 79 años;2022;7.667
05 Ávila;;;Total;De 75 a 79 años;2021;7.505
05 Ávila;;;Total;De 80 a 84 años;2024;6.135
05 Ávila;;;Total;De 80 a 84 años;2023;5.875
05 Ávila;;;Total;De 80 a 84 años;2022;5.855
05 Ávila;;;Total;De 80 a 84 años;2021;6.190
