Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
24 León;;;Total;Todas las edades;2024;447.802
24 León;;;Total;Todas las edades;2023;448.573
24 León;;;Total;Todas las edades;2022;449.270
24 León;;;Total;Todas las edades;2021;452.435
24 León;;;Total;De 0 a 4 años;2024;11.744
24 León;;;Total;De 0 a 4 años;2023;12.140
24 León;;;Total;De 0 a 4 años;2022;12.454
24 León;;;Total;De 0 a 4 años;2021;13.010
24 León;;;Total;De 5 a 9 años;2024;15.198
24 León;;;Total;De 5 a 9 años;2023;15.340
24 León;;;Total;De 5 a 9 años;2022;15.639
24 León;;;Total;De 5 a 9 años;2021;15.983
24 León;;;Total;De 10 a 14 años;2024;17.427
24 León;;;Total;De 10 a 14 años;2023;17.729
24 León;;;Total;De 10 a 14 años;2022;17.784
24 León;;;Total;De 10 a 14 años;2021;17.833
24 León;;;Total;De 15 a 19 años;2024;18.601
24 León;;;Total;De 15 a 19 años;2023;18.390
24 León;;;Total;De 15 a 19 años;2022;18.091
24 León;;;Total;De 15 a 19 años;2021;18.069
24 León;;;Total;De 20 a 24 años;2024;18.889
24 León;;;Total;De 20 a 24 años;2023;18.514
24 León;;;Total;De 20 a 24 años;2022;18.330
24 León;;;Total;De 20 a 24 años;2021;18.291
24 León;;;Total;De 25 a 29 años;2024;18.351
24 León;;;Total;De 25 a 29 años;2023;18.468
24 León;;;Total;De 25 a 29 años;2022;18.399
24 León;;;Total;De 25 a 29 años;2021;18.915
24 León;;;Total;De 30 a 34 años;2024;20.149
24 León;;;Total;De 30 a 34 años;2023;20.506
24 León;;;Total;De 30 a 34 años;2022;20.838
24 León;;;Total;De 30 a 34 años;2021;21.602
24 León;;;Total;De 35 a 39 años;2024;24.159
24 León;;;Total;De 35 a 39 años;2023;25.089
24 León;;;Total;De 35 a 39 años;2022;26.083
24 León;;;Total;De 35 a 39 años;2021;27.258
24 León;;;Total;De 40 a 44 años;2024;30.181
24 León;;;Total;De 40 a 44 años;2023;31.190
24 León;;;Total;De 40 a 44 años;2022;31.916
24 León;;;Total;De 40 a 44 años;2021;32.796
24 León;;;Total;De 45 a 49 años;2024;34.282
24 León;;;Total;De 45 a 49 años;2023;34.129
24 León;;;Total;De 45 a 49 años;2022;34.061
24 León;;;Total;De 45 a 49 años;2021;34.311
24 León;;;Total;De 50 a 54 años;2024;35.044
24 León;;;Total;De 50 a 54 años;2023;35.265
24 León;;;Total;De 50 a 54 años;2022;35.515
24 León;;;Total;De 50 a 54 años;2021;35.818
24 León;;;Total;De 55 a 59 años;2024;36.832
24 León;;;Total;De 55 a 59 años;2023;37.165
24 León;;;Total;De 55 a 59 años;2022;37.420
24 León;;;Total;De 55 a 59 años;2021;37.698
24 León;;;Total;De 60 a 64 años;2024;37.220
24 León;;;Total;De 60 a 64 años;2023;36.944
24 León;;;Total;De 60 a 64 años;2022;36.594
24 León;;;Total;De 60 a 64 años;2021;36.133
24 León;;;Total;De 65 a 69 años;2024;33.173
24 León;;;Total;De 65 a 69 años;2023;32.079
24 León;;;Total;De 65 a 69 años;2022;30.718
24 León;;;Total;De 65 a 69 años;2021;29.590
24 León;;;Total;De 70 a 74 años;2024;26.999
24 León;;;Total;De 70 a 74 años;2023;26.830
24 León;;;Total;De 70 a 74 años;2022;26.188
24 León;;;Total;De 70 a 74 años;2021;26.033
24 León;;;Total;De 75 a 79 años;2024;23.658
24 León;;;Total;De 75 a 79 años;2023;23.174
24 León;;;Total;De 75 a 79 años;2022;22.829
24 León;;;Total;De 75 a 79 años;2021;22.333
24 León;;;Total;De 80 a 84 años;2024;18.049
24 León;;;Total;De 80 a 84 años;2023;17.262
24 León;;;Total;De 80 a 84 años;2022;17.439
24 León;;;Total;De 80 a 84 años;2021;18.482
24 León;;;Total;De 85 a 89 años;2024;15.369
24 León;;;Total;De 85 a 89 años;2023;16.389
24 León;;;Total;De 85 a 89 años;2022;17.505
24 León;;;Total;De 85 a 89 años;2021;17.345
24 León;;;Total;De 90 a 94 años;2024;9.427
24 León;;;Total;De 90 a 94 años;2023;9.163
24 León;;;Total;De 90 a 94 años;2022;8.728
24 León;;;Total;De 90 a 94 años;2021;8.416
24 León;;;Total;De 95 a 99 años;2024;2.711
24 León;;;Total;De 95 a 99 años;2023;2.501
24 León;;;Total;De 95 a 99 años;2022;2.458
24 León;;;Total;De 95 a 99 años;2021;2.262
24 León;;;Total;100 y más años;2024;339
24 León;;;Total;100 y más años;2023;306
24 León;;;Total;100 y más años;2022;281
24 León;;;Total;100 y más años;2021;257
24 León;;;Hombres;Todas las edades;2024;217.825
24 León;;;Hombres;Todas las edades;2023;218.038
24 León;;;Hombres;Todas las edades;2022;218.430
24 León;;;Hombres;Todas las edades;2021;220.034
24 León;;;Hombres;De 0 a 4 años;2024;6.110
24 León;;;Hombres;De 0 a 4 años;2023;6.269
24 León;;;Hombres;De 0 a 4 años;2022;6.351
24 León;;;Hombres;De 0 a 4 años;2021;6.698
24 León;;;Hombres;De 5 a 9 años;2024;7.864
24 León;;;Hombres;De 5 a 9 años;2023;7.940
24 León;;;Hombres;De 5 a 9 años;2022;8.144
24 León;;;Hombres;De 5 a 9 años;2021;8.321
