Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
34 Palencia;;;Total;Todas las edades;2024;158.063
34 Palencia;;;Total;Todas las edades;2023;157.787
34 Palencia;;;Total;Todas las edades;2022;157.993
34 Palencia;;;Total;Todas las edades;2021;159.146
34 Palencia;;;Total;De 0 a 4 años;2024;4.608
34 Palencia;;;Total;De 0 a 4 años;2023;4.751
34 Palencia;;;Total;De 0 a 4 años;2022;4.908
34 Palencia;;;Total;De 0 a 4 años;2021;5.134
34 Palencia;;;Total;De 5 a 9 años;2024;5.988
34 Palencia;;;Total;De 5 a 9 años;2023;6.041
34 Palencia;;;Total;De 5 a 9 años;2022;6.010
34 Palencia;;;Total;De 5 a 9 años;2021;6.128
34 Palencia;;;Total;De 10 a 14 años;2024;6.424
34 Palencia;;;Total;De 10 a 14 años;2023;6.401
34 Palencia;;;Total;De 10 a 14 años;2022;6.345
34 Palencia;;;Total;De 10 a 14 años;2021;6.375
34 Palencia;;;Total;De 15 a 19 años;2024;6.794
34 Palencia;;;Total;De 15 a 19 años;2023;6.700
34 Palencia;;;Total;De 15 a 19 años;2022;6.603
34 Palencia;;;Total;De 15 a 19 años;2021;6.551
34 Palencia;;;Total;De 20 a 24 años;2024;6.790
34 Palencia;;;Total;De 20 a 24 años;2023;6.588
34 Palencia;;;Total;De 20 a 24 años;2022;6.613
34 Palencia;;;Total;De 20 a 24 años;2021;6.740
34 Palencia;;;Total;De 25 a 29 años;2024;6.824
34 Palencia;;;Total;De 25 a 29 años;2023;6.869
34 Palencia;;;Total;De 25 a 29 años;2022;6.943
34 Palencia;;;Total;De 25 a 29 años;2021;7.082
34 Palencia;;;Total;De 30 a 34 años;2024;7.500
34 Palencia;;;Total;De 30 a 34 años;2023;7.477
34 Palencia;;;Total;De 30 a 34 años;2022;7.676
34 Palencia;;;Total;De 30 a 34 años;2021;7.951
34 Palencia;;;Total;De 35 a 39 años;2024;8.812
34 Palencia;;;Total;De 35 a 39 años;2023;9.004
34 Palencia;;;Total;De 35 a 39 años;2022;9.191
34 Palencia;;;Total;De 35 a 39 años;2021;9.557
34 Palencia;;;Total;De 40 a 44 años;2024;10.540
34 Palencia;;;Total;De 40 a 44 años;2023;10.972
34 Palencia;;;Total;De 40 a 44 años;2022;11.220
34 Palencia;;;Total;De 40 a 44 años;2021;11.443
34 Palencia;;;Total;De 45 a 49 años;2024;11.742
34 Palencia;;;Total;De 45 a 49 años;2023;11.565
34 Palencia;;;Total;De 45 a 49 años;2022;11.509
34 Palencia;;;Total;De 45 a 49 años;2021;11.564
34 Palencia;;;Total;De 50 a 54 años;2024;11.849
34 Palencia;;;Total;De 50 a 54 años;2023;12.013
34 Palencia;;;Total;De 50 a 54 años;2022;12.207
34 Palencia;;;Total;De 50 a 54 años;2021;12.451
34 Palencia;;;Total;De 55 a 59 años;2024;13.020
34 Palencia;;;Total;De 55 a 59 años;2023;13.213
34 Palencia;;;Total;De 55 a 59 años;2022;13.297
34 Palencia;;;Total;De 55 a 59 años;2021;13.387
34 Palencia;;;Total;De 60 a 64 años;2024;13.294
34 Palencia;;;Total;De 60 a 64 años;2023;13.285
34 Palencia;;;Total;De 60 a 64 años;2022;13.303
34 Palencia;;;Total;De 60 a 64 años;2021;13.243
34 Palencia;;;Total;De 65 a 69 años;2024;12.182
34 Palencia;;;Total;De 65 a 69 años;2023;11.813
34 Palencia;;;Total;De 65 a 69 años;2022;11.350
34 Palencia;;;Total;De 65 a 69 años;2021;10.874
34 Palencia;;;Total;De 70 a 74 años;2024;9.739
34 Palencia;;;Total;De 70 a 74 años;2023;9.524
34 Palencia;;;Total;De 70 a 74 años;2022;9.242
34 Palencia;;;Total;De 70 a 74 años;2021;9.001
34 Palencia;;;Total;De 75 a 79 años;2024;7.885
34 Palencia;;;Total;De 75 a 79 años;2023;7.701
34 Palencia;;;Total;De 75 a 79 años;2022;7.615
34 Palencia;;;Total;De 75 a 79 años;2021;7.459
34 Palencia;;;Total;De 80 a 84 años;2024;5.786
34 Palencia;;;Total;De 80 a 84 años;2023;5.312
34 Palencia;;;Total;De 80 a 84 años;2022;5.187
34 Palencia;;;Total;De 80 a 84 años;2021;5.390
34 Palencia;;;Total;De 85 a 89 años;2024;4.381
34 Palencia;;;Total;De 85 a 89 años;2023;4.749
34 Palencia;;;Total;De 85 a 89 años;2022;5.035
34 Palencia;;;Total;De 85 a 89 años;2021;5.154
34 Palencia;;;Total;De 90 a 94 años;2024;2.864
34 Palencia;;;Total;De 90 a 94 años;2023;2.825
34 Palencia;;;Total;De 90 a 94 años;2022;2.788
34 Palencia;;;Total;De 90 a 94 años;2021;2.755
34 Palencia;;;Total;De 95 a 99 años;2024;899
34 Palencia;;;Total;De 95 a 99 años;2023;862
34 Palencia;;;Total;De 95 a 99 años;2022;850
34 Palencia;;;Total;De 95 a 99 años;2021;818
34 Palencia;;;Total;100 y más años;2024;142
34 Palencia;;;Total;100 y más años;2023;122
34 Palencia;;;Total;100 y más años;2022;101
34 Palencia;;;Total;100 y más años;2021;89
34 Palencia;;;Hombres;Todas las edades;2024;78.343
34 Palencia;;;Hombres;Todas las edades;2023;78.125
34 Palencia;;;Hombres;Todas las edades;2022;78.316
34 Palencia;;;Hombres;Todas las edades;2021;78.883
34 Palencia;;;Hombres;De 0 a 4 años;2024;2.385
34 Palencia;;;Hombres;De 0 a 4 años;2023;2.448
34 Palencia;;;Hombres;De 0 a 4 años;2022;2.543
34 Palencia;;;Hombres;De 0 a 4 años;2021;2.639
34 Palencia;;;Hombres;De 5 a 9 años;2024;3.082
34 Palencia;;;Hombres;De 5 a 9 años;2023;3.112
34 Palencia;;;Hombres;De 5 a 9 años;2022;3.097
34 Palencia;;;Hombres;De 5 a 9 años;2021;3.212
34 Palencia;;;Hombres;De 10 a 14 años;2024;3.339
34 Palencia;;;Hombres;De 10 a 14 años;2023;3.331
34 Palencia;;;Hombres;De 10 a 14 años;2022;3.328
34 Palencia;;;Hombres;De 10 a 14 años;2021;3.281
34 Palencia;;;Hombres;De 15 a 19 años;2024;3.491
34 Palencia;;;Hombres;De 15 a 19 años;2023;3.426
34 Palencia;;;Hombres;De 15 a 19 años;2022;3.325
34 Palencia;;;Hombres;De 15 a 19 años;2021;3.343
34 Palencia;;;Hombres;De 20 a 24 años;2024;3.494
34 Palencia;;;Hombres;De 20 a 24 años;2023;3.372
34 Palencia;;;Hombres;De 20 a 24 años;2022;3.407
34 Palencia;;;Hombres;De 20 a 24 años;2021;3.454
34 Palencia;;;Hombres;De 25 a 29 años;2024;3.523
34 Palencia;;;Hombres;De 25 a 29 años;2023;3.534
34 Palencia;;;Hombres;De 25 a 29 años;2022;3.603
34 Palencia;;;Hombres;De 25 a 29 años;2021;3.690
34 Palencia;;;Hombres;De 30 a 34 años;2024;3.930
34 Palencia;;;Hombres;De 30 a 34 años;2023;3.929
34 Palencia;;;Hombres;De 30 a 34 años;2022;3.975
34 Palencia;;;Hombres;De 30 a 34 años;2021;4.099
34 Palencia;;;Hombres;De 35 a 39 años;2024;4.555
34 Palencia;;;Hombres;De 35 a 39 años;2023;4.627
34 Palencia;;;Hombres;De 35 a 39 años;2022;4.729
34 Palencia;;;Hombres;De 35 a 39 años;2021;4.915
34 Palencia;;;Hombres;De 40 a 44 años;2024;5.388
34 Palencia;;;Hombres;De 40 a 44 años;2023;5.579
34 Palencia;;;Hombres;De 40 a 44 años;2022;5.755
34 Palencia;;;Hombres;De 40 a 44 años;2021;5.816
34 Palencia;;;Hombres;De 45 a 49 años;2024;5.951
34 Palencia;;;Hombres;De 45 a 49 años;2023;5.817
34 Palencia;;;Hombres;De 45 a 49 años;2022;5.821
34 Palencia;;;Hombres;De 45 a 49 años;2021;5.899
34 Palencia;;;Hombres;De 50 a 54 años;2024;6.080
34 Palencia;;;Hombres;De 50 a 54 años;2023;6.229
34 Palencia;;;Hombres;De 50 a 54 años;2022;6.329
34 Palencia;;;Hombres;De 50 a 54 años;2021;6.444
34 Palencia;;;Hombres;De 55 a 59 años;2024;6.581
34 Palencia;;;Hombres;De 55 a 59 años;2023;6.686
34 Palencia;;;Hombres;De 55 a 59 años;2022;6.710
34 Palencia;;;Hombres;De 55 a 59 años;2021;6.749
34 Palencia;;;Hombres;De 60 a 64 años;2024;6.691
34 Palencia;;;Hombres;De 60 a 64 años;2023;6.645
34 Palencia;;;Hombres;De 60 a 64 años;2022;6.674
34 Palencia;;;Hombres;De 60 a 64 años;2021;6.681
34 Palencia;;;Hombres;De 65 a 69 años;2024;6.169
34 Palencia;;;Hombres;De 65 a 69 años;2023;6.040
34 Palencia;;;Hombres;De 65 a 69 años;2022;5.862
34 Palencia;;;Hombres;De 65 a 69 años;2021;5.664
34 Palencia;;;Hombres;De 70 a 74 años;2024;4.831
34 Palencia;;;Hombres;De 70 a 74 años;2023;4.777
34 Palencia;;;Hombres;De 70 a 74 años;2022;4.660
34 Palencia;;;Hombres;De 70 a 74 años;2021;4.510
34 Palencia;;;Hombres;De 75 a 79 años;2024;3.747
34 Palencia;;;Hombres;De 75 a 79 años;2023;3.601
34 Palencia;;;Hombres;De 75 a 79 años;2022;3.505
34 Palencia;;;Hombres;De 75 a 79 años;2021;3.421
34 Palencia;;;Hombres;De 80 a 84 años;2024;2.498
34 Palencia;;;Hombres;De 80 a 84 años;2023;2.260
34 Palencia;;;Hombres;De 80 a 84 años;2022;2.221
34 Palencia;;;Hombres;De 80 a 84 años;2021;2.257
34 Palencia;;;Hombres;De 85 a 89 años;2024;1.533
34 Palencia;;;Hombres;De 85 a 89 años;2023;1.665
34 Palencia;;;Hombres;De 85 a 89 años;2022;1.765
34 Palencia;;;Hombres;De 85 a 89 años;2021;1.822
34 Palencia;;;Hombres;De 90 a 94 años;2024;864
34 Palencia;;;Hombres;De 90 a 94 años;2023;837
34 Palencia;;;Hombres;De 90 a 94 años;2022;790
34 Palencia;;;Hombres;De 90 a 94 años;2021;794
34 Palencia;;;Hombres;De 95 a 99 años;2024;193
34 Palencia;;;Hombres;De 95 a 99 años;2023;193
34 Palencia;;;Hombres;De 95 a 99 años;2022;204
