Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
40 Segovia;;;Total;Todas las edades;2024;156.620
40 Segovia;;;Total;Todas las edades;2023;155.332
40 Segovia;;;Total;Todas las edades;2022;153.731
40 Segovia;;;Total;Todas las edades;2021;153.626
40 Segovia;;;Total;De 0 a 4 años;2024;5.173
40 Segovia;;;Total;De 0 a 4 años;2023;5.297
40 Segovia;;;Total;De 0 a 4 años;2022;5.365
40 Segovia;;;Total;De 0 a 4 años;2021;5.581
40 Segovia;;;Total;De 5 a 9 años;2024;6.493
40 Segovia;;;Total;De 5 a 9 años;2023;6.510
40 Segovia;;;Total;De 5 a 9 años;2022;6.570
40 Segovia;;;Total;De 5 a 9 años;2021;6.705
40 Segovia;;;Total;De 10 a 14 años;2024;7.360
40 Segovia;;;Total;De 10 a 14 años;2023;7.510
40 Segovia;;;Total;De 10 a 14 años;2022;7.379
40 Segovia;;;Total;De 10 a 14 años;2021;7.382
40 Segovia;;;Total;De 15 a 19 años;2024;7.790
40 Segovia;;;Total;De 15 a 19 años;2023;7.639
40 Segovia;;;Total;De 15 a 19 años;2022;7.499
40 Segovia;;;Total;De 15 a 19 años;2021;7.468
40 Segovia;;;Total;De 20 a 24 años;2024;7.908
40 Segovia;;;Total;De 20 a 24 años;2023;7.684
40 Segovia;;;Total;De 20 a 24 años;2022;7.635
40 Segovia;;;Total;De 20 a 24 años;2021;7.599
40 Segovia;;;Total;De 25 a 29 años;2024;7.858
40 Segovia;;;Total;De 25 a 29 años;2023;7.765
40 Segovia;;;Total;De 25 a 29 años;2022;7.631
40 Segovia;;;Total;De 25 a 29 años;2021;7.620
40 Segovia;;;Total;De 30 a 34 años;2024;8.151
40 Segovia;;;Total;De 30 a 34 años;2023;8.110
40 Segovia;;;Total;De 30 a 34 años;2022;7.833
40 Segovia;;;Total;De 30 a 34 años;2021;7.937
40 Segovia;;;Total;De 35 a 39 años;2024;8.847
40 Segovia;;;Total;De 35 a 39 años;2023;8.908
40 Segovia;;;Total;De 35 a 39 años;2022;9.072
40 Segovia;;;Total;De 35 a 39 años;2021;9.409
40 Segovia;;;Total;De 40 a 44 años;2024;10.773
40 Segovia;;;Total;De 40 a 44 años;2023;10.837
40 Segovia;;;Total;De 40 a 44 años;2022;10.973
40 Segovia;;;Total;De 40 a 44 años;2021;11.296
40 Segovia;;;Total;De 45 a 49 años;2024;12.131
40 Segovia;;;Total;De 45 a 49 años;2023;12.258
40 Segovia;;;Total;De 45 a 49 años;2022;12.103
40 Segovia;;;Total;De 45 a 49 años;2021;12.036
40 Segovia;;;Total;De 50 a 54 años;2024;12.496
40 Segovia;;;Total;De 50 a 54 años;2023;12.355
40 Segovia;;;Total;De 50 a 54 años;2022;12.430
40 Segovia;;;Total;De 50 a 54 años;2021;12.497
40 Segovia;;;Total;De 55 a 59 años;2024;12.899
40 Segovia;;;Total;De 55 a 59 años;2023;12.925
40 Segovia;;;Total;De 55 a 59 años;2022;12.689
40 Segovia;;;Total;De 55 a 59 años;2021;12.527
40 Segovia;;;Total;De 60 a 64 años;2024;12.020
40 Segovia;;;Total;De 60 a 64 años;2023;11.629
40 Segovia;;;Total;De 60 a 64 años;2022;11.352
40 Segovia;;;Total;De 60 a 64 años;2021;10.969
40 Segovia;;;Total;De 65 a 69 años;2024;9.863
40 Segovia;;;Total;De 65 a 69 años;2023;9.382
40 Segovia;;;Total;De 65 a 69 años;2022;8.838
40 Segovia;;;Total;De 65 a 69 años;2021;8.352
40 Segovia;;;Total;De 70 a 74 años;2024;7.569
40 Segovia;;;Total;De 70 a 74 años;2023;7.478
40 Segovia;;;Total;De 70 a 74 años;2022;7.313
40 Segovia;;;Total;De 70 a 74 años;2021;7.219
40 Segovia;;;Total;De 75 a 79 años;2024;6.565
40 Segovia;;;Total;De 75 a 79 años;2023;6.408
40 Segovia;;;Total;De 75 a 79 años;2022;6.313
40 Segovia;;;Total;De 75 a 79 años;2021;6.159
40 Segovia;;;Total;De 80 a 84 años;2024;5.000
40 Segovia;;;Total;De 80 a 84 años;2023;4.771
40 Segovia;;;Total;De 80 a 84 años;2022;4.815
40 Segovia;;;Total;De 80 a 84 años;2021;5.117
40 Segovia;;;Total;De 85 a 89 años;2024;4.240
40 Segovia;;;Total;De 85 a 89 años;2023;4.515
40 Segovia;;;Total;De 85 a 89 años;2022;4.651
40 Segovia;;;Total;De 85 a 89 años;2021;4.621
40 Segovia;;;Total;De 90 a 94 años;2024;2.610
40 Segovia;;;Total;De 90 a 94 años;2023;2.561
40 Segovia;;;Total;De 90 a 94 años;2022;2.481
40 Segovia;;;Total;De 90 a 94 años;2021;2.396
40 Segovia;;;Total;De 95 a 99 años;2024;758
40 Segovia;;;Total;De 95 a 99 años;2023;672
40 Segovia;;;Total;De 95 a 99 años;2022;694
40 Segovia;;;Total;De 95 a 99 años;2021;653
40 Segovia;;;Total;100 y más años;2024;116
40 Segovia;;;Total;100 y más años;2023;118
40 Segovia;;;Total;100 y más años;2022;95
40 Segovia;;;Total;100 y más años;2021;83
40 Segovia;;;Hombres;Todas las edades;2024;78.509
40 Segovia;;;Hombres;Todas las edades;2023;77.867
40 Segovia;;;Hombres;Todas las edades;2022;77.203
40 Segovia;;;Hombres;Todas las edades;2021;77.152
40 Segovia;;;Hombres;De 0 a 4 años;2024;2.668
40 Segovia;;;Hombres;De 0 a 4 años;2023;2.661
40 Segovia;;;Hombres;De 0 a 4 años;2022;2.712
40 Segovia;;;Hombres;De 0 a 4 años;2021;2.815
40 Segovia;;;Hombres;De 5 a 9 años;2024;3.329
40 Segovia;;;Hombres;De 5 a 9 años;2023;3.342
40 Segovia;;;Hombres;De 5 a 9 años;2022;3.395
40 Segovia;;;Hombres;De 5 a 9 años;2021;3.476
40 Segovia;;;Hombres;De 10 a 14 años;2024;3.798
40 Segovia;;;Hombres;De 10 a 14 años;2023;3.903
40 Segovia;;;Hombres;De 10 a 14 años;2022;3.817
40 Segovia;;;Hombres;De 10 a 14 años;2021;3.809
40 Segovia;;;Hombres;De 15 a 19 años;2024;4.012
40 Segovia;;;Hombres;De 15 a 19 años;2023;3.934
40 Segovia;;;Hombres;De 15 a 19 años;2022;3.904
40 Segovia;;;Hombres;De 15 a 19 años;2021;3.826
40 Segovia;;;Hombres;De 20 a 24 años;2024;4.046
40 Segovia;;;Hombres;De 20 a 24 años;2023;3.935
40 Segovia;;;Hombres;De 20 a 24 años;2022;3.916
40 Segovia;;;Hombres;De 20 a 24 años;2021;3.910
40 Segovia;;;Hombres;De 25 a 29 años;2024;4.157
40 Segovia;;;Hombres;De 25 a 29 años;2023;4.082
40 Segovia;;;Hombres;De 25 a 29 años;2022;3.983
40 Segovia;;;Hombres;De 25 a 29 años;2021;4.031
40 Segovia;;;Hombres;De 30 a 34 años;2024;4.253
40 Segovia;;;Hombres;De 30 a 34 años;2023;4.205
40 Segovia;;;Hombres;De 30 a 34 años;2022;4.090
40 Segovia;;;Hombres;De 30 a 34 años;2021;4.133
40 Segovia;;;Hombres;De 35 a 39 años;2024;4.547
40 Segovia;;;Hombres;De 35 a 39 años;2023;4.600
40 Segovia;;;Hombres;De 35 a 39 años;2022;4.677
40 Segovia;;;Hombres;De 35 a 39 años;2021;4.848
40 Segovia;;;Hombres;De 40 a 44 años;2024;5.533
40 Segovia;;;Hombres;De 40 a 44 años;2023;5.554
40 Segovia;;;Hombres;De 40 a 44 años;2022;5.682
40 Segovia;;;Hombres;De 40 a 44 años;2021;5.771
40 Segovia;;;Hombres;De 45 a 49 años;2024;6.113
40 Segovia;;;Hombres;De 45 a 49 años;2023;6.270
40 Segovia;;;Hombres;De 45 a 49 años;2022;6.210
40 Segovia;;;Hombres;De 45 a 49 años;2021;6.248
40 Segovia;;;Hombres;De 50 a 54 años;2024;6.425
40 Segovia;;;Hombres;De 50 a 54 años;2023;6.335
40 Segovia;;;Hombres;De 50 a 54 años;2022;6.398
40 Segovia;;;Hombres;De 50 a 54 años;2021;6.396
40 Segovia;;;Hombres;De 55 a 59 años;2024;6.509
40 Segovia;;;Hombres;De 55 a 59 años;2023;6.582
40 Segovia;;;Hombres;De 55 a 59 años;2022;6.477
40 Segovia;;;Hombres;De 55 a 59 años;2021;6.449
40 Segovia;;;Hombres;De 60 a 64 años;2024;6.240
40 Segovia;;;Hombres;De 60 a 64 años;2023;6.052
40 Segovia;;;Hombres;De 60 a 64 años;2022;5.954
40 Segovia;;;Hombres;De 60 a 64 años;2021;5.747
40 Segovia;;;Hombres;De 65 a 69 años;2024;5.125
40 Segovia;;;Hombres;De 65 a 69 años;2023;4.893
40 Segovia;;;Hombres;De 65 a 69 años;2022;4.617
40 Segovia;;;Hombres;De 65 a 69 años;2021;4.407
40 Segovia;;;Hombres;De 70 a 74 años;2024;3.864
40 Segovia;;;Hombres;De 70 a 74 años;2023;3.775
40 Segovia;;;Hombres;De 70 a 74 años;2022;3.683
40 Segovia;;;Hombres;De 70 a 74 años;2021;3.609
40 Segovia;;;Hombres;De 75 a 79 años;2024;3.112
40 Segovia;;;Hombres;De 75 a 79 años;2023;3.028
40 Segovia;;;Hombres;De 75 a 79 años;2022;2.937
40 Segovia;;;Hombres;De 75 a 79 años;2021;2.816
40 Segovia;;;Hombres;De 80 a 84 años;2024;2.088
40 Segovia;;;Hombres;De 80 a 84 años;2023;1.975
40 Segovia;;;Hombres;De 80 a 84 años;2022;1.981
40 Segovia;;;Hombres;De 80 a 84 años;2021;2.115
40 Segovia;;;Hombres;De 85 a 89 años;2024;1.629
40 Segovia;;;Hombres;De 85 a 89 años;2023;1.714
40 Segovia;;;Hombres;De 85 a 89 años;2022;1.756
40 Segovia;;;Hombres;De 85 a 89 años;2021;1.760
40 Segovia;;;Hombres;De 90 a 94 años;2024;844
40 Segovia;;;Hombres;De 90 a 94 años;2023;838
40 Segovia;;;Hombres;De 90 a 94 años;2022;822
40 Segovia;;;Hombres;De 90 a 94 años;2021;790
40 Segovia;;;Hombres;De 95 a 99 años;2024;200
40 Segovia;;;Hombres;De 95 a 99 años;2023;168
40 Segovia;;;Hombres;De 95 a 99 años;2022;174
