Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
42 Soria;;;Total;Todas las edades;2024;90.073
42 Soria;;;Total;Todas las edades;2023;89.528
42 Soria;;;Total;Todas las edades;2022;88.330
42 Soria;;;Total;Todas las edades;2021;88.796
42 Soria;;;Total;De 0 a 4 años;2024;2.984
42 Soria;;;Total;De 0 a 4 años;2023;3.086
42 Soria;;;Total;De 0 a 4 años;2022;3.068
42 Soria;;;Total;De 0 a 4 años;2021;3.187
42 Soria;;;Total;De 5 a 9 años;2024;3.658
42 Soria;;;Total;De 5 a 9 años;2023;3.579
42 Soria;;;Total;De 5 a 9 años;2022;3.507
42 Soria;;;Total;De 5 a 9 años;2021;3.592
42 Soria;;;Total;De 10 a 14 años;2024;3.989
42 Soria;;;Total;De 10 a 14 años;2023;4.029
42 Soria;;;Total;De 10 a 14 años;2022;3.949
42 Soria;;;Total;De 10 a 14 años;2021;3.944
42 Soria;;;Total;De 15 a 19 años;2024;4.186
42 Soria;;;Total;De 15 a 19 años;2023;4.117
42 Soria;;;Total;De 15 a 19 años;2022;4.017
42 Soria;;;Total;De 15 a 19 años;2021;4.013
42 Soria;;;Total;De 20 a 24 años;2024;4.470
42 Soria;;;Total;De 20 a 24 años;2023;4.417
42 Soria;;;Total;De 20 a 24 años;2022;4.262
42 Soria;;;Total;De 20 a 24 años;2021;4.290
42 Soria;;;Total;De 25 a 29 años;2024;4.362
42 Soria;;;Total;De 25 a 29 años;2023;4.244
42 Soria;;;Total;De 25 a 29 años;2022;4.208
42 Soria;;;Total;De 25 a 29 años;2021;4.238
42 Soria;;;Total;De 30 a 34 años;2024;4.634
42 Soria;;;Total;De 30 a 34 años;2023;4.516
42 Soria;;;Total;De 30 a 34 años;2022;4.398
42 Soria;;;Total;De 30 a 34 años;2021;4.522
42 Soria;;;Total;De 35 a 39 años;2024;5.076
42 Soria;;;Total;De 35 a 39 años;2023;5.151
42 Soria;;;Total;De 35 a 39 años;2022;5.054
42 Soria;;;Total;De 35 a 39 años;2021;5.208
42 Soria;;;Total;De 40 a 44 años;2024;5.924
42 Soria;;;Total;De 40 a 44 años;2023;6.041
42 Soria;;;Total;De 40 a 44 años;2022;6.080
42 Soria;;;Total;De 40 a 44 años;2021;6.276
42 Soria;;;Total;De 45 a 49 años;2024;6.678
42 Soria;;;Total;De 45 a 49 años;2023;6.592
42 Soria;;;Total;De 45 a 49 años;2022;6.532
42 Soria;;;Total;De 45 a 49 años;2021;6.479
42 Soria;;;Total;De 50 a 54 años;2024;6.762
42 Soria;;;Total;De 50 a 54 años;2023;6.814
42 Soria;;;Total;De 50 a 54 años;2022;6.809
42 Soria;;;Total;De 50 a 54 años;2021;7.007
42 Soria;;;Total;De 55 a 59 años;2024;7.261
42 Soria;;;Total;De 55 a 59 años;2023;7.323
42 Soria;;;Total;De 55 a 59 años;2022;7.218
42 Soria;;;Total;De 55 a 59 años;2021;7.191
42 Soria;;;Total;De 60 a 64 años;2024;6.918
42 Soria;;;Total;De 60 a 64 años;2023;6.872
42 Soria;;;Total;De 60 a 64 años;2022;6.680
42 Soria;;;Total;De 60 a 64 años;2021;6.443
42 Soria;;;Total;De 65 a 69 años;2024;5.648
