Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
47 Valladolid;;;Total;Todas las edades;2024;525.116
47 Valladolid;;;Total;Todas las edades;2023;521.333
47 Valladolid;;;Total;Todas las edades;2022;518.158
47 Valladolid;;;Total;Todas las edades;2021;519.380
47 Valladolid;;;Total;De 0 a 4 años;2024;16.427
47 Valladolid;;;Total;De 0 a 4 años;2023;16.820
47 Valladolid;;;Total;De 0 a 4 años;2022;17.066
47 Valladolid;;;Total;De 0 a 4 años;2021;18.065
47 Valladolid;;;Total;De 5 a 9 años;2024;21.445
47 Valladolid;;;Total;De 5 a 9 años;2023;21.909
47 Valladolid;;;Total;De 5 a 9 años;2022;22.531
47 Valladolid;;;Total;De 5 a 9 años;2021;23.010
47 Valladolid;;;Total;De 10 a 14 años;2024;25.352
47 Valladolid;;;Total;De 10 a 14 años;2023;25.590
47 Valladolid;;;Total;De 10 a 14 años;2022;25.410
47 Valladolid;;;Total;De 10 a 14 años;2021;25.453
47 Valladolid;;;Total;De 15 a 19 años;2024;26.144
47 Valladolid;;;Total;De 15 a 19 años;2023;25.382
47 Valladolid;;;Total;De 15 a 19 años;2022;24.701
47 Valladolid;;;Total;De 15 a 19 años;2021;23.997
47 Valladolid;;;Total;De 20 a 24 años;2024;24.876
47 Valladolid;;;Total;De 20 a 24 años;2023;23.656
47 Valladolid;;;Total;De 20 a 24 años;2022;22.837
47 Valladolid;;;Total;De 20 a 24 años;2021;22.593
47 Valladolid;;;Total;De 25 a 29 años;2024;23.424
47 Valladolid;;;Total;De 25 a 29 años;2023;23.073
47 Valladolid;;;Total;De 25 a 29 años;2022;22.537
47 Valladolid;;;Total;De 25 a 29 años;2021;22.801
47 Valladolid;;;Total;De 30 a 34 años;2024;24.886
47 Valladolid;;;Total;De 30 a 34 años;2023;24.416
47 Valladolid;;;Total;De 30 a 34 años;2022;24.264
47 Valladolid;;;Total;De 30 a 34 años;2021;24.871
47 Valladolid;;;Total;De 35 a 39 años;2024;28.483
47 Valladolid;;;Total;De 35 a 39 años;2023;29.213
47 Valladolid;;;Total;De 35 a 39 años;2022;30.130
47 Valladolid;;;Total;De 35 a 39 años;2021;31.811
47 Valladolid;;;Total;De 40 a 44 años;2024;36.844
47 Valladolid;;;Total;De 40 a 44 años;2023;38.803
47 Valladolid;;;Total;De 40 a 44 años;2022;40.356
47 Valladolid;;;Total;De 40 a 44 años;2021;42.527
47 Valladolid;;;Total;De 45 a 49 años;2024;45.175
47 Valladolid;;;Total;De 45 a 49 años;2023;44.875
47 Valladolid;;;Total;De 45 a 49 años;2022;44.632
47 Valladolid;;;Total;De 45 a 49 años;2021;43.875
47 Valladolid;;;Total;De 50 a 54 años;2024;43.326
47 Valladolid;;;Total;De 50 a 54 años;2023;42.818
47 Valladolid;;;Total;De 50 a 54 años;2022;42.332
47 Valladolid;;;Total;De 50 a 54 años;2021;42.061
47 Valladolid;;;Total;De 55 a 59 años;2024;40.967
47 Valladolid;;;Total;De 55 a 59 años;2023;40.485
47 Valladolid;;;Total;De 55 a 59 años;2022;39.765
47 Valladolid;;;Total;De 55 a 59 años;2021;39.414
47 Valladolid;;;Total;De 60 a 64 años;2024;37.845
47 Valladolid;;;Total;De 60 a 64 años;2023;37.189
47 Valladolid;;;Total;De 60 a 64 años;2022;36.938
47 Valladolid;;;Total;De 60 a 64 años;2021;36.550
47 Valladolid;;;Total;De 65 a 69 años;2024;33.541
47 Valladolid;;;Total;De 65 a 69 años;2023;32.735
47 Valladolid;;;Total;De 65 a 69 años;2022;32.037
47 Valladolid;;;Total;De 65 a 69 años;2021;31.314
47 Valladolid;;;Total;De 70 a 74 años;2024;29.556
47 Valladolid;;;Total;De 70 a 74 años;2023;29.895
47 Valladolid;;;Total;De 70 a 74 años;2022;29.722
47 Valladolid;;;Total;De 70 a 74 años;2021;29.270
47 Valladolid;;;Total;De 75 a 79 años;2024;26.440
47 Valladolid;;;Total;De 75 a 79 años;2023;25.650
47 Valladolid;;;Total;De 75 a 79 años;2022;24.832
47 Valladolid;;;Total;De 75 a 79 años;2021;24.284
47 Valladolid;;;Total;De 80 a 84 años;2024;18.721
47 Valladolid;;;Total;De 80 a 84 años;2023;17.212
47 Valladolid;;;Total;De 80 a 84 años;2022;16.568
47 Valladolid;;;Total;De 80 a 84 años;2021;16.767
47 Valladolid;;;Total;De 85 a 89 años;2024;12.465
47 Valladolid;;;Total;De 85 a 89 años;2023;12.806
47 Valladolid;;;Total;De 85 a 89 años;2022;13.034
47 Valladolid;;;Total;De 85 a 89 años;2021;12.636
47 Valladolid;;;Total;De 90 a 94 años;2024;6.929
47 Valladolid;;;Total;De 90 a 94 años;2023;6.653
47 Valladolid;;;Total;De 90 a 94 años;2022;6.417
47 Valladolid;;;Total;De 90 a 94 años;2021;6.139
47 Valladolid;;;Total;De 95 a 99 años;2024;1.999
47 Valladolid;;;Total;De 95 a 99 años;2023;1.889
47 Valladolid;;;Total;De 95 a 99 años;2022;1.817
47 Valladolid;;;Total;De 95 a 99 años;2021;1.729
47 Valladolid;;;Total;100 y más años;2024;271
47 Valladolid;;;Total;100 y más años;2023;264
47 Valladolid;;;Total;100 y más años;2022;232
47 Valladolid;;;Total;100 y más años;2021;213
47 Valladolid;;;Hombres;Todas las edades;2024;255.534
47 Valladolid;;;Hombres;Todas las edades;2023;253.708
47 Valladolid;;;Hombres;Todas las edades;2022;252.298
47 Valladolid;;;Hombres;Todas las edades;2021;252.999
47 Valladolid;;;Hombres;De 0 a 4 años;2024;8.376
47 Valladolid;;;Hombres;De 0 a 4 años;2023;8.587
47 Valladolid;;;Hombres;De 0 a 4 años;2022;8.742
47 Valladolid;;;Hombres;De 0 a 4 años;2021;9.249
