Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
05001 Adanero;;;Fuente de ingreso: salario;2023;57,5
05001 Adanero;;;Fuente de ingreso: salario;2022;57,5
05001 Adanero;;;Fuente de ingreso: salario;2021;54,1
05001 Adanero;;;Fuente de ingreso: salario;2020;52,6
05001 Adanero;;;Fuente de ingreso: salario;2019;53,8
05001 Adanero;;;Fuente de ingreso: salario;2018;51,1
05001 Adanero;;;Fuente de ingreso: salario;2017;47
05001 Adanero;;;Fuente de ingreso: salario;2016;44,3
05001 Adanero;;;Fuente de ingreso: salario;2015;44,9
05001 Adanero;;;Fuente de ingreso: pensiones;2023;24
05001 Adanero;;;Fuente de ingreso: pensiones;2022;23,3
05001 Adanero;;;Fuente de ingreso: pensiones;2021;25,2
05001 Adanero;;;Fuente de ingreso: pensiones;2020;26,5
05001 Adanero;;;Fuente de ingreso: pensiones;2019;24,5
05001 Adanero;;;Fuente de ingreso: pensiones;2018;25,6
05001 Adanero;;;Fuente de ingreso: pensiones;2017;25,9
05001 Adanero;;;Fuente de ingreso: pensiones;2016;26,2
05001 Adanero;;;Fuente de ingreso: pensiones;2015;26,4
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2023;1,5
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2021;2
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2020;3,9
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2019;2,7
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2018;1,4
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2017;1,5
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2016;2,8
05001 Adanero;;;Fuente de ingreso: prestaciones por desempleo;2015;3,4
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2023;3,7
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2022;3,4
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2021;3
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2020;3,7
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2019;4,1
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2018;5,2
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2017;4
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2016;4,4
05001 Adanero;;;Fuente de ingreso: otras prestaciones;2015;4,6
05001 Adanero;;;Fuente de ingreso: otros ingresos;2023;13,4
05001 Adanero;;;Fuente de ingreso: otros ingresos;2022;14,7
05001 Adanero;;;Fuente de ingreso: otros ingresos;2021;15,8
05001 Adanero;;;Fuente de ingreso: otros ingresos;2020;13,4
05001 Adanero;;;Fuente de ingreso: otros ingresos;2019;14,9
05001 Adanero;;;Fuente de ingreso: otros ingresos;2018;16,8
05001 Adanero;;;Fuente de ingreso: otros ingresos;2017;21,7
05001 Adanero;;;Fuente de ingreso: otros ingresos;2016;22,3
05001 Adanero;;;Fuente de ingreso: otros ingresos;2015;20,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2023;57,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2022;57,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2021;54,1
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2020;52,6
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2019;53,8
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2018;51,1
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2017;47
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2016;44,3
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: salario;2015;44,9
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2023;24
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2022;23,3
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2021;25,2
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2020;26,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2019;24,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2018;25,6
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2017;25,9
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2016;26,2
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: pensiones;2015;26,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2023;1,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2021;2
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2020;3,9
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2019;2,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2018;1,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2017;1,5
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2016;2,8
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: prestaciones por desempleo;2015;3,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2023;3,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2022;3,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2021;3
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2020;3,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2019;4,1
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2018;5,2
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2017;4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2016;4,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otras prestaciones;2015;4,6
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2023;13,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2022;14,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2021;15,8
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2020;13,4
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2019;14,9
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2018;16,8
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2017;21,7
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2016;22,3
05001 Adanero;0500101 Adanero distrito 01;;Fuente de ingreso: otros ingresos;2015;20,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2023;57,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2022;57,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2021;54,1
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2020;52,6
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2019;53,8
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2018;51,1
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2017;47
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2016;44,3
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: salario;2015;44,9
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: pensiones;2023;24
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: pensiones;2022;23,3
