Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
24001 Acebedo;;;Fuente de ingreso: salario;2023;39,3
24001 Acebedo;;;Fuente de ingreso: salario;2022;40,2
24001 Acebedo;;;Fuente de ingreso: salario;2021;40,7
24001 Acebedo;;;Fuente de ingreso: salario;2020;37
24001 Acebedo;;;Fuente de ingreso: salario;2019;39,6
24001 Acebedo;;;Fuente de ingreso: salario;2018;41,9
24001 Acebedo;;;Fuente de ingreso: salario;2017;44,1
24001 Acebedo;;;Fuente de ingreso: salario;2016;44,4
24001 Acebedo;;;Fuente de ingreso: salario;2015;41,9
24001 Acebedo;;;Fuente de ingreso: pensiones;2023;42,5
24001 Acebedo;;;Fuente de ingreso: pensiones;2022;43,1
24001 Acebedo;;;Fuente de ingreso: pensiones;2021;40,8
24001 Acebedo;;;Fuente de ingreso: pensiones;2020;45,9
24001 Acebedo;;;Fuente de ingreso: pensiones;2019;45
24001 Acebedo;;;Fuente de ingreso: pensiones;2018;40,4
24001 Acebedo;;;Fuente de ingreso: pensiones;2017;39,8
24001 Acebedo;;;Fuente de ingreso: pensiones;2016;40,8
24001 Acebedo;;;Fuente de ingreso: pensiones;2015;44
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2023;0,7
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2021;1,7
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2020;1,9
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2019;0,7
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2018;1
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2017;1,3
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2016;1,5
24001 Acebedo;;;Fuente de ingreso: prestaciones por desempleo;2015;1,3
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2023;6,2
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2022;6,7
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2021;5,4
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2020;5
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2019;4,8
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2018;5,8
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2017;5,2
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2016;4,4
24001 Acebedo;;;Fuente de ingreso: otras prestaciones;2015;3,9
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2023;11,3
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2022;8,9
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2021;11,4
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2020;10,2
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2019;9,8
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2018;10,9
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2017;9,6
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2016;8,9
24001 Acebedo;;;Fuente de ingreso: otros ingresos;2015;9
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2023;39,3
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2022;40,2
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2021;40,7
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2020;37
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2019;39,6
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2018;41,9
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2017;44,1
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2016;44,4
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: salario;2015;41,9
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2023;42,5
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2022;43,1
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2021;40,8
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2020;45,9
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2019;45
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2018;40,4
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2017;39,8
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2016;40,8
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: pensiones;2015;44
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2023;0,7
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2021;1,7
24001 Acebedo;2400101 Acebedo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2020;1,9
