Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
37001 Abusejo;;;Fuente de ingreso: salario;2023;42,7
37001 Abusejo;;;Fuente de ingreso: salario;2022;40,4
37001 Abusejo;;;Fuente de ingreso: salario;2021;42,2
37001 Abusejo;;;Fuente de ingreso: salario;2020;40,2
37001 Abusejo;;;Fuente de ingreso: salario;2019;40,7
37001 Abusejo;;;Fuente de ingreso: salario;2018;36,2
37001 Abusejo;;;Fuente de ingreso: salario;2017;39
37001 Abusejo;;;Fuente de ingreso: salario;2016;39,8
37001 Abusejo;;;Fuente de ingreso: salario;2015;39,6
37001 Abusejo;;;Fuente de ingreso: pensiones;2023;44,4
37001 Abusejo;;;Fuente de ingreso: pensiones;2022;47,5
37001 Abusejo;;;Fuente de ingreso: pensiones;2021;44,1
37001 Abusejo;;;Fuente de ingreso: pensiones;2020;43,3
37001 Abusejo;;;Fuente de ingreso: pensiones;2019;42,7
37001 Abusejo;;;Fuente de ingreso: pensiones;2018;46,2
37001 Abusejo;;;Fuente de ingreso: pensiones;2017;47,4
37001 Abusejo;;;Fuente de ingreso: pensiones;2016;45,7
37001 Abusejo;;;Fuente de ingreso: pensiones;2015;42,3
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2023;0,7
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2021;1,4
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2020;2,6
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2019;1,3
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2018;0,7
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2017;1,3
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2016;1,7
37001 Abusejo;;;Fuente de ingreso: prestaciones por desempleo;2015;2,1
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2023;3,3
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2022;2,8
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2021;3,9
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2020;3,3
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2019;3,2
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2018;3,8
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2017;3,2
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2016;2,4
37001 Abusejo;;;Fuente de ingreso: otras prestaciones;2015;3,1
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2023;8,9
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2022;8,2
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2021;8,5
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2020;10,6
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2019;12,1
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2018;13,2
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2017;9
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2016;10,4
37001 Abusejo;;;Fuente de ingreso: otros ingresos;2015;13
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2023;42,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2022;40,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2021;42,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2020;40,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2019;40,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2018;36,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2017;39
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2016;39,8
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: salario;2015;39,6
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2023;44,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2022;47,5
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2021;44,1
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2020;43,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2019;42,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2018;46,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2017;47,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2016;45,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: pensiones;2015;42,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2023;0,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2022;1,1
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2021;1,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2020;2,6
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2019;1,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2018;0,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2017;1,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2016;1,7
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: prestaciones por desempleo;2015;2,1
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2023;3,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2022;2,8
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2021;3,9
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2020;3,3
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2019;3,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2018;3,8
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2017;3,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2016;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otras prestaciones;2015;3,1
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2023;8,9
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2022;8,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2021;8,5
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2020;10,6
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2019;12,1
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2018;13,2
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2017;9
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2016;10,4
37001 Abusejo;3700101 Abusejo distrito 01;;Fuente de ingreso: otros ingresos;2015;13
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2023;42,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2022;40,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2021;42,2
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2020;40,2
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2019;40,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2018;36,2
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2017;39
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2016;39,8
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: salario;2015;39,6
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: pensiones;2023;44,4
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: pensiones;2022;47,5
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: pensiones;2021;44,1
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: pensiones;2020;43,3
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Fuente de ingreso: pensiones;2019;42,7
