Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
05001 Adanero;;;Renta neta media por persona;2023;14.143
05001 Adanero;;;Renta neta media por persona;2022;13.001
05001 Adanero;;;Renta neta media por persona;2021;12.452
05001 Adanero;;;Renta neta media por persona;2020;11.752
05001 Adanero;;;Renta neta media por persona;2019;12.171
05001 Adanero;;;Renta neta media por persona;2018;11.829
05001 Adanero;;;Renta neta media por persona;2017;11.744
05001 Adanero;;;Renta neta media por persona;2016;10.343
05001 Adanero;;;Renta neta media por persona;2015;10.411
05001 Adanero;;;Renta neta media por hogar;2023;32.088
05001 Adanero;;;Renta neta media por hogar;2022;29.252
05001 Adanero;;;Renta neta media por hogar;2021;27.314
05001 Adanero;;;Renta neta media por hogar;2020;24.795
05001 Adanero;;;Renta neta media por hogar;2019;25.722
05001 Adanero;;;Renta neta media por hogar;2018;25.088
05001 Adanero;;;Renta neta media por hogar;2017;25.275
05001 Adanero;;;Renta neta media por hogar;2016;22.775
05001 Adanero;;;Renta neta media por hogar;2015;22.162
05001 Adanero;;;Media de la renta por unidad de consumo;2023;19.722
05001 Adanero;;;Media de la renta por unidad de consumo;2022;18.111
05001 Adanero;;;Media de la renta por unidad de consumo;2021;17.335
05001 Adanero;;;Media de la renta por unidad de consumo;2020;15.879
05001 Adanero;;;Media de la renta por unidad de consumo;2019;16.527
05001 Adanero;;;Media de la renta por unidad de consumo;2018;16.027
05001 Adanero;;;Media de la renta por unidad de consumo;2017;16.035
05001 Adanero;;;Media de la renta por unidad de consumo;2016;14.177
05001 Adanero;;;Media de la renta por unidad de consumo;2015;14.207
05001 Adanero;;;Mediana de la renta por unidad de consumo;2023;16.450
05001 Adanero;;;Mediana de la renta por unidad de consumo;2022;15.050
05001 Adanero;;;Mediana de la renta por unidad de consumo;2021;15.750
05001 Adanero;;;Mediana de la renta por unidad de consumo;2020;15.750
05001 Adanero;;;Mediana de la renta por unidad de consumo;2019;16.450
05001 Adanero;;;Mediana de la renta por unidad de consumo;2018;15.750
05001 Adanero;;;Mediana de la renta por unidad de consumo;2017;14.350
05001 Adanero;;;Mediana de la renta por unidad de consumo;2016;13.650
05001 Adanero;;;Mediana de la renta por unidad de consumo;2015;13.650
05001 Adanero;;;Renta bruta media por persona;2023;16.877
05001 Adanero;;;Renta bruta media por persona;2022;15.444
05001 Adanero;;;Renta bruta media por persona;2021;14.440
05001 Adanero;;;Renta bruta media por persona;2020;13.551
05001 Adanero;;;Renta bruta media por persona;2019;14.067
05001 Adanero;;;Renta bruta media por persona;2018;13.640
05001 Adanero;;;Renta bruta media por persona;2017;13.543
05001 Adanero;;;Renta bruta media por persona;2016;11.721
05001 Adanero;;;Renta bruta media por persona;2015;11.764
05001 Adanero;;;Renta bruta media por hogar;2023;38.290
05001 Adanero;;;Renta bruta media por hogar;2022;34.748
05001 Adanero;;;Renta bruta media por hogar;2021;31.676
05001 Adanero;;;Renta bruta media por hogar;2020;28.590
05001 Adanero;;;Renta bruta media por hogar;2019;29.728
05001 Adanero;;;Renta bruta media por hogar;2018;28.928
05001 Adanero;;;Renta bruta media por hogar;2017;29.146
05001 Adanero;;;Renta bruta media por hogar;2016;25.809
05001 Adanero;;;Renta bruta media por hogar;2015;25.042
