Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
09001 Abajas;;;Renta neta media por persona;2023;16.914
09001 Abajas;;;Renta neta media por persona;2022;15.831
09001 Abajas;;;Renta neta media por persona;2021;16.018
09001 Abajas;;;Renta neta media por persona;2020;14.981
09001 Abajas;;;Renta neta media por persona;2019;.
09001 Abajas;;;Renta neta media por persona;2018;.
09001 Abajas;;;Renta neta media por persona;2017;.
09001 Abajas;;;Renta neta media por persona;2016;.
09001 Abajas;;;Renta neta media por persona;2015;.
09001 Abajas;;;Renta neta media por hogar;2023;32.423
09001 Abajas;;;Renta neta media por hogar;2022;30.486
09001 Abajas;;;Renta neta media por hogar;2021;31.350
09001 Abajas;;;Renta neta media por hogar;2020;29.619
09001 Abajas;;;Renta neta media por hogar;2019;.
09001 Abajas;;;Renta neta media por hogar;2018;.
09001 Abajas;;;Renta neta media por hogar;2017;.
09001 Abajas;;;Renta neta media por hogar;2016;.
09001 Abajas;;;Renta neta media por hogar;2015;.
09001 Abajas;;;Media de la renta por unidad de consumo;2023;.
09001 Abajas;;;Media de la renta por unidad de consumo;2022;.
09001 Abajas;;;Media de la renta por unidad de consumo;2021;.
09001 Abajas;;;Media de la renta por unidad de consumo;2020;.
09001 Abajas;;;Media de la renta por unidad de consumo;2019;.
09001 Abajas;;;Media de la renta por unidad de consumo;2018;.
09001 Abajas;;;Media de la renta por unidad de consumo;2017;.
09001 Abajas;;;Media de la renta por unidad de consumo;2016;.
09001 Abajas;;;Media de la renta por unidad de consumo;2015;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2023;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2022;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2021;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2020;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2019;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2018;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2017;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2016;.
09001 Abajas;;;Mediana de la renta por unidad de consumo;2015;.
09001 Abajas;;;Renta bruta media por persona;2023;20.239
09001 Abajas;;;Renta bruta media por persona;2022;18.880
09001 Abajas;;;Renta bruta media por persona;2021;18.988
09001 Abajas;;;Renta bruta media por persona;2020;17.544
09001 Abajas;;;Renta bruta media por persona;2019;.
09001 Abajas;;;Renta bruta media por persona;2018;.
09001 Abajas;;;Renta bruta media por persona;2017;.
09001 Abajas;;;Renta bruta media por persona;2016;.
09001 Abajas;;;Renta bruta media por persona;2015;.
09001 Abajas;;;Renta bruta media por hogar;2023;38.796
09001 Abajas;;;Renta bruta media por hogar;2022;36.356
09001 Abajas;;;Renta bruta media por hogar;2021;37.162
09001 Abajas;;;Renta bruta media por hogar;2020;34.687
09001 Abajas;;;Renta bruta media por hogar;2019;.
09001 Abajas;;;Renta bruta media por hogar;2018;.
09001 Abajas;;;Renta bruta media por hogar;2017;.
09001 Abajas;;;Renta bruta media por hogar;2016;.
09001 Abajas;;;Renta bruta media por hogar;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2023;16.914
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2022;15.831
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2021;16.018
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2020;14.981
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Renta neta media por persona;2018;.
