Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24001 Acebedo;;;Renta neta media por persona;2023;14.056
24001 Acebedo;;;Renta neta media por persona;2022;13.075
24001 Acebedo;;;Renta neta media por persona;2021;12.870
24001 Acebedo;;;Renta neta media por persona;2020;12.540
24001 Acebedo;;;Renta neta media por persona;2019;12.304
24001 Acebedo;;;Renta neta media por persona;2018;11.881
24001 Acebedo;;;Renta neta media por persona;2017;11.407
24001 Acebedo;;;Renta neta media por persona;2016;11.214
24001 Acebedo;;;Renta neta media por persona;2015;11.232
24001 Acebedo;;;Renta neta media por hogar;2023;27.960
24001 Acebedo;;;Renta neta media por hogar;2022;26.149
24001 Acebedo;;;Renta neta media por hogar;2021;26.776
24001 Acebedo;;;Renta neta media por hogar;2020;25.359
24001 Acebedo;;;Renta neta media por hogar;2019;25.740
24001 Acebedo;;;Renta neta media por hogar;2018;24.978
24001 Acebedo;;;Renta neta media por hogar;2017;24.530
24001 Acebedo;;;Renta neta media por hogar;2016;22.994
24001 Acebedo;;;Renta neta media por hogar;2015;23.118
24001 Acebedo;;;Media de la renta por unidad de consumo;2023;18.929
24001 Acebedo;;;Media de la renta por unidad de consumo;2022;17.769
24001 Acebedo;;;Media de la renta por unidad de consumo;2021;17.881
24001 Acebedo;;;Media de la renta por unidad de consumo;2020;16.868
24001 Acebedo;;;Media de la renta por unidad de consumo;2019;16.577
24001 Acebedo;;;Media de la renta por unidad de consumo;2018;16.056
24001 Acebedo;;;Media de la renta por unidad de consumo;2017;15.474
24001 Acebedo;;;Media de la renta por unidad de consumo;2016;15.098
24001 Acebedo;;;Media de la renta por unidad de consumo;2015;15.227
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2023;17.850
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2022;15.750
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2021;16.450
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2020;15.050
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2019;14.700
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2018;13.650
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2017;12.250
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2016;11.550
24001 Acebedo;;;Mediana de la renta por unidad de consumo;2015;12.600
24001 Acebedo;;;Renta bruta media por persona;2023;16.072
24001 Acebedo;;;Renta bruta media por persona;2022;14.911
24001 Acebedo;;;Renta bruta media por persona;2021;14.807
24001 Acebedo;;;Renta bruta media por persona;2020;14.409
24001 Acebedo;;;Renta bruta media por persona;2019;14.058
24001 Acebedo;;;Renta bruta media por persona;2018;13.556
24001 Acebedo;;;Renta bruta media por persona;2017;13.094
24001 Acebedo;;;Renta bruta media por persona;2016;12.885
24001 Acebedo;;;Renta bruta media por persona;2015;12.936
24001 Acebedo;;;Renta bruta media por hogar;2023;31.970
24001 Acebedo;;;Renta bruta media por hogar;2022;29.821
24001 Acebedo;;;Renta bruta media por hogar;2021;30.806
24001 Acebedo;;;Renta bruta media por hogar;2020;29.138
24001 Acebedo;;;Renta bruta media por hogar;2019;29.409
24001 Acebedo;;;Renta bruta media por hogar;2018;28.499
24001 Acebedo;;;Renta bruta media por hogar;2017;28.160
24001 Acebedo;;;Renta bruta media por hogar;2016;26.420
24001 Acebedo;;;Renta bruta media por hogar;2015;26.626
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2023;14.056
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2022;13.075
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2021;12.870
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2020;12.540
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2019;12.304
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2018;11.881
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2017;11.407
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2016;11.214
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por persona;2015;11.232
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2023;27.960
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2022;26.149
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2021;26.776
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2020;25.359
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2019;25.740
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2018;24.978
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2017;24.530
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2016;22.994
24001 Acebedo;2400101 Acebedo distrito 01;;Renta neta media por hogar;2015;23.118
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2023;18.929
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2022;17.769
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2021;17.881
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2020;16.868
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2019;16.577
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2018;16.056
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2017;15.474
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2016;15.098
24001 Acebedo;2400101 Acebedo distrito 01;;Media de la renta por unidad de consumo;2015;15.227
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2023;17.850
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2022;15.750
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2021;16.450
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2020;15.050
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2019;14.700
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2018;13.650
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2017;12.250
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2016;11.550
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2015;12.600
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2023;16.072
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2022;14.911
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2021;14.807
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2020;14.409
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2019;14.058
