Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
37001 Abusejo;;;Renta neta media por persona;2023;13.596
37001 Abusejo;;;Renta neta media por persona;2022;12.448
37001 Abusejo;;;Renta neta media por persona;2021;11.484
37001 Abusejo;;;Renta neta media por persona;2020;10.998
37001 Abusejo;;;Renta neta media por persona;2019;11.200
37001 Abusejo;;;Renta neta media por persona;2018;10.688
37001 Abusejo;;;Renta neta media por persona;2017;9.759
37001 Abusejo;;;Renta neta media por persona;2016;9.280
37001 Abusejo;;;Renta neta media por persona;2015;9.412
37001 Abusejo;;;Renta neta media por hogar;2023;27.001
37001 Abusejo;;;Renta neta media por hogar;2022;25.236
37001 Abusejo;;;Renta neta media por hogar;2021;25.014
37001 Abusejo;;;Renta neta media por hogar;2020;24.672
37001 Abusejo;;;Renta neta media por hogar;2019;25.308
37001 Abusejo;;;Renta neta media por hogar;2018;24.622
37001 Abusejo;;;Renta neta media por hogar;2017;23.253
37001 Abusejo;;;Renta neta media por hogar;2016;22.317
37001 Abusejo;;;Renta neta media por hogar;2015;22.521
37001 Abusejo;;;Media de la renta por unidad de consumo;2023;18.699
37001 Abusejo;;;Media de la renta por unidad de consumo;2022;17.226
37001 Abusejo;;;Media de la renta por unidad de consumo;2021;16.220
37001 Abusejo;;;Media de la renta por unidad de consumo;2020;15.640
37001 Abusejo;;;Media de la renta por unidad de consumo;2019;16.044
37001 Abusejo;;;Media de la renta por unidad de consumo;2018;15.182
37001 Abusejo;;;Media de la renta por unidad de consumo;2017;14.402
37001 Abusejo;;;Media de la renta por unidad de consumo;2016;13.362
37001 Abusejo;;;Media de la renta por unidad de consumo;2015;13.504
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2023;15.750
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2022;15.050
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2021;13.650
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2020;14.350
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2019;14.350
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2018;13.650
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2017;12.950
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2016;12.250
37001 Abusejo;;;Mediana de la renta por unidad de consumo;2015;11.550
37001 Abusejo;;;Renta bruta media por persona;2023;15.607
37001 Abusejo;;;Renta bruta media por persona;2022;14.225
37001 Abusejo;;;Renta bruta media por persona;2021;13.257
37001 Abusejo;;;Renta bruta media por persona;2020;12.508
37001 Abusejo;;;Renta bruta media por persona;2019;12.634
37001 Abusejo;;;Renta bruta media por persona;2018;11.928
37001 Abusejo;;;Renta bruta media por persona;2017;10.961
37001 Abusejo;;;Renta bruta media por persona;2016;10.400
37001 Abusejo;;;Renta bruta media por persona;2015;10.518
37001 Abusejo;;;Renta bruta media por hogar;2023;30.995
37001 Abusejo;;;Renta bruta media por hogar;2022;28.841
37001 Abusejo;;;Renta bruta media por hogar;2021;28.876
37001 Abusejo;;;Renta bruta media por hogar;2020;28.058
37001 Abusejo;;;Renta bruta media por hogar;2019;28.548
37001 Abusejo;;;Renta bruta media por hogar;2018;27.480
37001 Abusejo;;;Renta bruta media por hogar;2017;26.116
37001 Abusejo;;;Renta bruta media por hogar;2016;25.011
37001 Abusejo;;;Renta bruta media por hogar;2015;25.168
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2023;13.596
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2022;12.448
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2021;11.484
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2020;10.998
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2019;11.200
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2018;10.688
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2017;9.759
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2016;9.280
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por persona;2015;9.412
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2023;27.001
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2022;25.236
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2021;25.014
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2020;24.672
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2019;25.308
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2018;24.622
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2017;23.253
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2016;22.317
37001 Abusejo;3700101 Abusejo distrito 01;;Renta neta media por hogar;2015;22.521
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2023;18.699
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2022;17.226
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2021;16.220
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2020;15.640
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2019;16.044
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2018;15.182
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2017;14.402
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2016;13.362
37001 Abusejo;3700101 Abusejo distrito 01;;Media de la renta por unidad de consumo;2015;13.504
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2023;15.750
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2022;15.050
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2021;13.650
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2020;14.350
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2019;14.350
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2018;13.650
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2017;12.950
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2016;12.250
37001 Abusejo;3700101 Abusejo distrito 01;;Mediana de la renta por unidad de consumo;2015;11.550
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2023;15.607
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2022;14.225
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2021;13.257
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2020;12.508
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2019;12.634
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2018;11.928
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2017;10.961
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2016;10.400
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por persona;2015;10.518
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2023;30.995
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2022;28.841
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2021;28.876
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2020;28.058
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2019;28.548
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2018;27.480
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2017;26.116
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2016;25.011
37001 Abusejo;3700101 Abusejo distrito 01;;Renta bruta media por hogar;2015;25.168
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2023;13.596
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2022;12.448
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2021;11.484
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2020;10.998
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2019;11.200
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2018;10.688
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2017;9.759
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2016;9.280
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por persona;2015;9.412
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2023;27.001
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2022;25.236
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2021;25.014
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2020;24.672
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2019;25.308
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2018;24.622
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2017;23.253
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2016;22.317
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta neta media por hogar;2015;22.521
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2023;18.699
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2022;17.226
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2021;16.220
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2020;15.640
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2019;16.044
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2018;15.182
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2017;14.402
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2016;13.362
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Media de la renta por unidad de consumo;2015;13.504
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2023;15.750
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2022;15.050
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2021;13.650
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2020;14.350
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2019;14.350
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2018;13.650
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2017;12.950
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2016;12.250
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Mediana de la renta por unidad de consumo;2015;11.550
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2023;15.607
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2022;14.225
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2021;13.257
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2020;12.508
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2019;12.634
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2018;11.928
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2017;10.961
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2016;10.400
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por persona;2015;10.518
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2023;30.995
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2022;28.841
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2021;28.876
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2020;28.058
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2019;28.548
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2018;27.480
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2017;26.116
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2016;25.011
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Renta bruta media por hogar;2015;25.168
37002 Agallas;;;Renta neta media por persona;2023;14.405
37002 Agallas;;;Renta neta media por persona;2022;12.268
37002 Agallas;;;Renta neta media por persona;2021;11.619
37002 Agallas;;;Renta neta media por persona;2020;10.670
37002 Agallas;;;Renta neta media por persona;2019;10.974
37002 Agallas;;;Renta neta media por persona;2018;10.337
37002 Agallas;;;Renta neta media por persona;2017;10.516
37002 Agallas;;;Renta neta media por persona;2016;10.085
37002 Agallas;;;Renta neta media por persona;2015;10.134
37002 Agallas;;;Renta neta media por hogar;2023;26.368
37002 Agallas;;;Renta neta media por hogar;2022;21.626
37002 Agallas;;;Renta neta media por hogar;2021;21.495
37002 Agallas;;;Renta neta media por hogar;2020;22.407
37002 Agallas;;;Renta neta media por hogar;2019;19.683
37002 Agallas;;;Renta neta media por hogar;2018;19.032
37002 Agallas;;;Renta neta media por hogar;2017;20.703
37002 Agallas;;;Renta neta media por hogar;2016;20.472
37002 Agallas;;;Renta neta media por hogar;2015;19.965
37002 Agallas;;;Media de la renta por unidad de consumo;2023;19.529
37002 Agallas;;;Media de la renta por unidad de consumo;2022;16.174
37002 Agallas;;;Media de la renta por unidad de consumo;2021;15.763
37002 Agallas;;;Media de la renta por unidad de consumo;2020;15.386
37002 Agallas;;;Media de la renta por unidad de consumo;2019;14.867
37002 Agallas;;;Media de la renta por unidad de consumo;2018;13.662
37002 Agallas;;;Media de la renta por unidad de consumo;2017;14.200
37002 Agallas;;;Media de la renta por unidad de consumo;2016;13.830
37002 Agallas;;;Media de la renta por unidad de consumo;2015;13.880
37002 Agallas;;;Mediana de la renta por unidad de consumo;2023;18.200
37002 Agallas;;;Mediana de la renta por unidad de consumo;2022;16.450
37002 Agallas;;;Mediana de la renta por unidad de consumo;2021;16.100
37002 Agallas;;;Mediana de la renta por unidad de consumo;2020;15.050
37002 Agallas;;;Mediana de la renta por unidad de consumo;2019;13.650
37002 Agallas;;;Mediana de la renta por unidad de consumo;2018;14.350
37002 Agallas;;;Mediana de la renta por unidad de consumo;2017;12.950
37002 Agallas;;;Mediana de la renta por unidad de consumo;2016;13.650
37002 Agallas;;;Mediana de la renta por unidad de consumo;2015;12.950
37002 Agallas;;;Renta bruta media por persona;2023;16.728
37002 Agallas;;;Renta bruta media por persona;2022;13.555
37002 Agallas;;;Renta bruta media por persona;2021;12.886
37002 Agallas;;;Renta bruta media por persona;2020;11.572
37002 Agallas;;;Renta bruta media por persona;2019;11.958
37002 Agallas;;;Renta bruta media por persona;2018;11.128
37002 Agallas;;;Renta bruta media por persona;2017;11.503
37002 Agallas;;;Renta bruta media por persona;2016;10.985
37002 Agallas;;;Renta bruta media por persona;2015;11.073
37002 Agallas;;;Renta bruta media por hogar;2023;30.620
37002 Agallas;;;Renta bruta media por hogar;2022;23.893
37002 Agallas;;;Renta bruta media por hogar;2021;23.838
37002 Agallas;;;Renta bruta media por hogar;2020;24.301
37002 Agallas;;;Renta bruta media por hogar;2019;21.448
37002 Agallas;;;Renta bruta media por hogar;2018;20.489
37002 Agallas;;;Renta bruta media por hogar;2017;22.647
