Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
05001 Adanero;;;Índice de Gini;2023;28,2
05001 Adanero;;;Índice de Gini;2022;29,5
05001 Adanero;;;Índice de Gini;2021;28,5
05001 Adanero;;;Índice de Gini;2020;27,7
05001 Adanero;;;Índice de Gini;2019;28,5
05001 Adanero;;;Índice de Gini;2018;30,2
05001 Adanero;;;Índice de Gini;2017;31,9
05001 Adanero;;;Índice de Gini;2016;30,7
05001 Adanero;;;Índice de Gini;2015;28,5
05001 Adanero;;;Distribución de la renta P80/P20;2023;2,3
05001 Adanero;;;Distribución de la renta P80/P20;2022;2,6
05001 Adanero;;;Distribución de la renta P80/P20;2021;2,4
05001 Adanero;;;Distribución de la renta P80/P20;2020;2,4
05001 Adanero;;;Distribución de la renta P80/P20;2019;2,3
05001 Adanero;;;Distribución de la renta P80/P20;2018;2,7
05001 Adanero;;;Distribución de la renta P80/P20;2017;2,4
05001 Adanero;;;Distribución de la renta P80/P20;2016;2,9
05001 Adanero;;;Distribución de la renta P80/P20;2015;2,4
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2023;28,2
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2022;29,5
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2021;28,5
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2020;27,7
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2019;28,5
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2018;30,2
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2017;31,9
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2016;30,7
05001 Adanero;0500101 Adanero distrito 01;;Índice de Gini;2015;28,5
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2023;2,3
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2022;2,6
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2021;2,4
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2020;2,4
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2019;2,3
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2018;2,7
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2017;2,4
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2016;2,9
05001 Adanero;0500101 Adanero distrito 01;;Distribución de la renta P80/P20;2015;2,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2023;28,2
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2022;29,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2021;28,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2020;27,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2019;28,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2018;30,2
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2017;31,9
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2016;30,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Índice de Gini;2015;28,5
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2023;2,3
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2022;2,6
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2021;2,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2020;2,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2019;2,3
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2018;2,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2017;2,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2016;2,9
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Distribución de la renta P80/P20;2015;2,4
05002 Adrada, La;;;Índice de Gini;2023;32,2
05002 Adrada, La;;;Índice de Gini;2022;32,2
05002 Adrada, La;;;Índice de Gini;2021;33,9
05002 Adrada, La;;;Índice de Gini;2020;34,8
05002 Adrada, La;;;Índice de Gini;2019;32,5
05002 Adrada, La;;;Índice de Gini;2018;34,8
05002 Adrada, La;;;Índice de Gini;2017;34,6
05002 Adrada, La;;;Índice de Gini;2016;36,1
05002 Adrada, La;;;Índice de Gini;2015;36,3
05002 Adrada, La;;;Distribución de la renta P80/P20;2023;2,6
05002 Adrada, La;;;Distribución de la renta P80/P20;2022;2,7
05002 Adrada, La;;;Distribución de la renta P80/P20;2021;2,8
05002 Adrada, La;;;Distribución de la renta P80/P20;2020;3,1
05002 Adrada, La;;;Distribución de la renta P80/P20;2019;2,8
05002 Adrada, La;;;Distribución de la renta P80/P20;2018;3
05002 Adrada, La;;;Distribución de la renta P80/P20;2017;2,9
05002 Adrada, La;;;Distribución de la renta P80/P20;2016;3,1
05002 Adrada, La;;;Distribución de la renta P80/P20;2015;3,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2023;32,2
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2022;32,2
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2021;33,9
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2020;34,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2019;32,5
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2018;34,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2017;34,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2016;36,1
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2015;36,3
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2023;2,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2022;2,7
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2021;2,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2020;3,1
