Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
09001 Abajas;;;Índice de Gini;2023;.
09001 Abajas;;;Índice de Gini;2022;.
09001 Abajas;;;Índice de Gini;2021;.
09001 Abajas;;;Índice de Gini;2020;.
09001 Abajas;;;Índice de Gini;2019;.
09001 Abajas;;;Índice de Gini;2018;.
09001 Abajas;;;Índice de Gini;2017;.
09001 Abajas;;;Índice de Gini;2016;.
09001 Abajas;;;Índice de Gini;2015;.
09001 Abajas;;;Distribución de la renta P80/P20;2023;.
09001 Abajas;;;Distribución de la renta P80/P20;2022;.
09001 Abajas;;;Distribución de la renta P80/P20;2021;.
09001 Abajas;;;Distribución de la renta P80/P20;2020;.
09001 Abajas;;;Distribución de la renta P80/P20;2019;.
09001 Abajas;;;Distribución de la renta P80/P20;2018;.
09001 Abajas;;;Distribución de la renta P80/P20;2017;.
09001 Abajas;;;Distribución de la renta P80/P20;2016;.
09001 Abajas;;;Distribución de la renta P80/P20;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2023;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2022;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2021;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2020;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Índice de Gini;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2023;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2022;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2021;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2020;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Distribución de la renta P80/P20;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Índice de Gini;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Distribución de la renta P80/P20;2015;.
09003 Adrada de Haza;;;Índice de Gini;2023;25,8
09003 Adrada de Haza;;;Índice de Gini;2022;28,1
09003 Adrada de Haza;;;Índice de Gini;2021;28,7
09003 Adrada de Haza;;;Índice de Gini;2020;29,4
09003 Adrada de Haza;;;Índice de Gini;2019;28,9
09003 Adrada de Haza;;;Índice de Gini;2018;29,0
09003 Adrada de Haza;;;Índice de Gini;2017;29,0
09003 Adrada de Haza;;;Índice de Gini;2016;27,8
09003 Adrada de Haza;;;Índice de Gini;2015;27,2
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2023;2,2
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2022;2,2
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2021;2,3
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2020;2,5
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2019;2,6
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2018;2,6
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2017;2,4
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2016;2,1
09003 Adrada de Haza;;;Distribución de la renta P80/P20;2015;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2023;25,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2022;28,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2021;28,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2020;29,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2019;28,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2018;29,0
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2017;29,0
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2016;27,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Índice de Gini;2015;27,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2023;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2022;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2021;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2020;2,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2019;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2018;2,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2017;2,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2016;2,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Distribución de la renta P80/P20;2015;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Índice de Gini;2023;25,8
