Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
24001 Acebedo;;;Índice de Gini;2023;27,2
24001 Acebedo;;;Índice de Gini;2022;29,6
24001 Acebedo;;;Índice de Gini;2021;28,8
24001 Acebedo;;;Índice de Gini;2020;31,0
24001 Acebedo;;;Índice de Gini;2019;30,8
24001 Acebedo;;;Índice de Gini;2018;33,6
24001 Acebedo;;;Índice de Gini;2017;33,9
24001 Acebedo;;;Índice de Gini;2016;35,8
24001 Acebedo;;;Índice de Gini;2015;34,6
24001 Acebedo;;;Distribución de la renta P80/P20;2023;2,4
24001 Acebedo;;;Distribución de la renta P80/P20;2022;2,0
24001 Acebedo;;;Distribución de la renta P80/P20;2021;2,5
24001 Acebedo;;;Distribución de la renta P80/P20;2020;2,5
24001 Acebedo;;;Distribución de la renta P80/P20;2019;2,5
24001 Acebedo;;;Distribución de la renta P80/P20;2018;3,0
24001 Acebedo;;;Distribución de la renta P80/P20;2017;2,8
24001 Acebedo;;;Distribución de la renta P80/P20;2016;2,8
24001 Acebedo;;;Distribución de la renta P80/P20;2015;2,5
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2023;27,2
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2022;29,6
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2021;28,8
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2020;31,0
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2019;30,8
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2018;33,6
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2017;33,9
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2016;35,8
24001 Acebedo;2400101 Acebedo distrito 01;;Índice de Gini;2015;34,6
24001 Acebedo;2400101 Acebedo distrito 01;;Distribución de la renta P80/P20;2023;2,4
24001 Acebedo;2400101 Acebedo distrito 01;;Distribución de la renta P80/P20;2022;2,0
