Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
34001 Abarca de Campos;;;Índice de Gini;2023;.
34001 Abarca de Campos;;;Índice de Gini;2022;.
34001 Abarca de Campos;;;Índice de Gini;2021;.
34001 Abarca de Campos;;;Índice de Gini;2020;.
34001 Abarca de Campos;;;Índice de Gini;2019;.
34001 Abarca de Campos;;;Índice de Gini;2018;.
34001 Abarca de Campos;;;Índice de Gini;2017;.
34001 Abarca de Campos;;;Índice de Gini;2016;.
34001 Abarca de Campos;;;Índice de Gini;2015;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2023;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2022;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2021;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2020;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2019;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2018;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2017;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2016;.
34001 Abarca de Campos;;;Distribución de la renta P80/P20;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Índice de Gini;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Distribución de la renta P80/P20;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Índice de Gini;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Distribución de la renta P80/P20;2015;.
34003 Abia de las Torres;;;Índice de Gini;2023;28,6
34003 Abia de las Torres;;;Índice de Gini;2022;29,5
34003 Abia de las Torres;;;Índice de Gini;2021;27,9
34003 Abia de las Torres;;;Índice de Gini;2020;30,7
34003 Abia de las Torres;;;Índice de Gini;2019;31,7
34003 Abia de las Torres;;;Índice de Gini;2018;30,1
34003 Abia de las Torres;;;Índice de Gini;2017;31
34003 Abia de las Torres;;;Índice de Gini;2016;28,6
34003 Abia de las Torres;;;Índice de Gini;2015;29,4
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2023;2,8
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2022;2,7
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2021;2,4
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2020;2,3
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2019;2,4
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2018;2,7
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2017;2,5
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2016;2,3
34003 Abia de las Torres;;;Distribución de la renta P80/P20;2015;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2023;28,6
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2022;29,5
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2021;27,9
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2020;30,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2019;31,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2018;30,1
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2017;31
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2016;28,6
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Índice de Gini;2015;29,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2023;2,8
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2022;2,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2021;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2020;2,3
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2019;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2018;2,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2017;2,5
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2016;2,3
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;;Distribución de la renta P80/P20;2015;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2023;28,6
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2022;29,5
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2021;27,9
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2020;30,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2019;31,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2018;30,1
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2017;31
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2016;28,6
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Índice de Gini;2015;29,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2023;2,8
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2022;2,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2021;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2020;2,3
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2019;2,4
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2018;2,7
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2017;2,5
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2016;2,3
34003 Abia de las Torres;3400301 Abia de las Torres distrito 01;3400301001 Abia de las Torres sección 01001;Distribución de la renta P80/P20;2015;2,4
34004 Aguilar de Campoo;;;Índice de Gini;2023;25,8
34004 Aguilar de Campoo;;;Índice de Gini;2022;25,5
34004 Aguilar de Campoo;;;Índice de Gini;2021;24,9
34004 Aguilar de Campoo;;;Índice de Gini;2020;26,7
34004 Aguilar de Campoo;;;Índice de Gini;2019;25,9
34004 Aguilar de Campoo;;;Índice de Gini;2018;26,8
34004 Aguilar de Campoo;;;Índice de Gini;2017;27,1
34004 Aguilar de Campoo;;;Índice de Gini;2016;27,7
34004 Aguilar de Campoo;;;Índice de Gini;2015;28,4
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2023;2,1
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2022;2,1
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2021;2,2
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2020;2,3
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2019;2,1
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2018;2,2
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2017;2,2
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2016;2,3
34004 Aguilar de Campoo;;;Distribución de la renta P80/P20;2015;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2023;29,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2022;29
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2021;27,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2020;28,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2019;27,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2018;29,2
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2017;29,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2016;29,8
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Índice de Gini;2015;30,9
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2023;2,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;;Distribución de la renta P80/P20;2022;2,4
