Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
37001 Abusejo;;;Índice de Gini;2023;29,3
37001 Abusejo;;;Índice de Gini;2022;27,7
37001 Abusejo;;;Índice de Gini;2021;27,2
37001 Abusejo;;;Índice de Gini;2020;30
37001 Abusejo;;;Índice de Gini;2019;26,2
37001 Abusejo;;;Índice de Gini;2018;26,7
37001 Abusejo;;;Índice de Gini;2017;30,6
37001 Abusejo;;;Índice de Gini;2016;28,8
37001 Abusejo;;;Índice de Gini;2015;28,5
37001 Abusejo;;;Distribución de la renta P80/P20;2023;2,7
37001 Abusejo;;;Distribución de la renta P80/P20;2022;2,4
37001 Abusejo;;;Distribución de la renta P80/P20;2021;2,3
37001 Abusejo;;;Distribución de la renta P80/P20;2020;2,4
37001 Abusejo;;;Distribución de la renta P80/P20;2019;2
37001 Abusejo;;;Distribución de la renta P80/P20;2018;2,5
37001 Abusejo;;;Distribución de la renta P80/P20;2017;2,5
37001 Abusejo;;;Distribución de la renta P80/P20;2016;2,7
37001 Abusejo;;;Distribución de la renta P80/P20;2015;2,1
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2023;29,3
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2022;27,7
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2021;27,2
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2020;30
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2019;26,2
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2018;26,7
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2017;30,6
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2016;28,8
37001 Abusejo;3700101 Abusejo distrito 01;;Índice de Gini;2015;28,5
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2023;2,7
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2022;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2021;2,3
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2020;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2019;2
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2018;2,5
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2017;2,5
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2016;2,7
37001 Abusejo;3700101 Abusejo distrito 01;;Distribución de la renta P80/P20;2015;2,1
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Índice de Gini;2023;29,3
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Índice de Gini;2022;27,7
37001 Abusejo;3700101 Abusejo distrito 01;3700101001 Abusejo sección 01001;Índice de Gini;2021;27,2
