Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
40001 Abades;;;Índice de Gini;2023;23,3
40001 Abades;;;Índice de Gini;2022;23,2
40001 Abades;;;Índice de Gini;2021;23,3
40001 Abades;;;Índice de Gini;2020;22,6
40001 Abades;;;Índice de Gini;2019;23,1
40001 Abades;;;Índice de Gini;2018;24,4
40001 Abades;;;Índice de Gini;2017;25,9
40001 Abades;;;Índice de Gini;2016;27,4
40001 Abades;;;Índice de Gini;2015;29,3
40001 Abades;;;Distribución de la renta P80/P20;2023;2
40001 Abades;;;Distribución de la renta P80/P20;2022;2,1
40001 Abades;;;Distribución de la renta P80/P20;2021;2,1
40001 Abades;;;Distribución de la renta P80/P20;2020;2,1
40001 Abades;;;Distribución de la renta P80/P20;2019;2,2
40001 Abades;;;Distribución de la renta P80/P20;2018;2,2
40001 Abades;;;Distribución de la renta P80/P20;2017;2,5
40001 Abades;;;Distribución de la renta P80/P20;2016;2,4
40001 Abades;;;Distribución de la renta P80/P20;2015;2,4
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2023;23,3
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2022;23,2
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2021;23,3
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2020;22,6
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2019;23,1
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2018;24,4
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2017;25,9
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2016;27,4
40001 Abades;4000101 Abades distrito 01;;Índice de Gini;2015;29,3
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2023;2
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2022;2,1
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2021;2,1
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2020;2,1
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2019;2,2
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2018;2,2
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2017;2,5
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2016;2,4
40001 Abades;4000101 Abades distrito 01;;Distribución de la renta P80/P20;2015;2,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2023;23,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2022;23,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2021;23,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2020;22,6
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2019;23,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2018;24,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2017;25,9
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2016;27,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Índice de Gini;2015;29,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2023;2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2022;2,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2021;2,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2020;2,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2019;2,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2018;2,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2017;2,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2016;2,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Distribución de la renta P80/P20;2015;2,4
40002 Adrada de Pirón;;;Índice de Gini;2023;.
40002 Adrada de Pirón;;;Índice de Gini;2022;.
40002 Adrada de Pirón;;;Índice de Gini;2021;.
40002 Adrada de Pirón;;;Índice de Gini;2020;.
40002 Adrada de Pirón;;;Índice de Gini;2019;.
40002 Adrada de Pirón;;;Índice de Gini;2018;.
40002 Adrada de Pirón;;;Índice de Gini;2017;.
40002 Adrada de Pirón;;;Índice de Gini;2016;.
40002 Adrada de Pirón;;;Índice de Gini;2015;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2023;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2022;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2021;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2020;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2019;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2018;.
40002 Adrada de Pirón;;;Distribución de la renta P80/P20;2017;.
