Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
42001 Abejar;;;Índice de Gini;2023;29,0
42001 Abejar;;;Índice de Gini;2022;25,8
42001 Abejar;;;Índice de Gini;2021;27,2
42001 Abejar;;;Índice de Gini;2020;26,2
42001 Abejar;;;Índice de Gini;2019;25,3
42001 Abejar;;;Índice de Gini;2018;26,5
42001 Abejar;;;Índice de Gini;2017;26,7
42001 Abejar;;;Índice de Gini;2016;27,2
42001 Abejar;;;Índice de Gini;2015;29,3
42001 Abejar;;;Distribución de la renta P80/P20;2023;2,2
42001 Abejar;;;Distribución de la renta P80/P20;2022;2,2
42001 Abejar;;;Distribución de la renta P80/P20;2021;2,1
42001 Abejar;;;Distribución de la renta P80/P20;2020;2,0
42001 Abejar;;;Distribución de la renta P80/P20;2019;2,0
42001 Abejar;;;Distribución de la renta P80/P20;2018;2,2
42001 Abejar;;;Distribución de la renta P80/P20;2017;2,2
42001 Abejar;;;Distribución de la renta P80/P20;2016;2,2
42001 Abejar;;;Distribución de la renta P80/P20;2015;2,5
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2023;29,0
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2022;25,8
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2021;27,2
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2020;26,2
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2019;25,3
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2018;26,5
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2017;26,7
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2016;27,2
42001 Abejar;4200101 Abejar distrito 01;;Índice de Gini;2015;29,3
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2023;2,2
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2022;2,2
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2021;2,1
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2020;2,0
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2019;2,0
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2018;2,2
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2017;2,2
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2016;2,2
42001 Abejar;4200101 Abejar distrito 01;;Distribución de la renta P80/P20;2015;2,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2023;29,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2022;25,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2021;27,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2020;26,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2019;25,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2018;26,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2017;26,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2016;27,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Índice de Gini;2015;29,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2023;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2022;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2021;2,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2020;2,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2019;2,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2018;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2017;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2016;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Distribución de la renta P80/P20;2015;2,5
42003 Adradas;;;Índice de Gini;2023;.
42003 Adradas;;;Índice de Gini;2022;.
42003 Adradas;;;Índice de Gini;2021;.
42003 Adradas;;;Índice de Gini;2020;.
42003 Adradas;;;Índice de Gini;2019;.
42003 Adradas;;;Índice de Gini;2018;.
42003 Adradas;;;Índice de Gini;2017;.
42003 Adradas;;;Índice de Gini;2016;.
42003 Adradas;;;Índice de Gini;2015;.
42003 Adradas;;;Distribución de la renta P80/P20;2023;.
42003 Adradas;;;Distribución de la renta P80/P20;2022;.
42003 Adradas;;;Distribución de la renta P80/P20;2021;.
42003 Adradas;;;Distribución de la renta P80/P20;2020;.
42003 Adradas;;;Distribución de la renta P80/P20;2019;.
42003 Adradas;;;Distribución de la renta P80/P20;2018;.
42003 Adradas;;;Distribución de la renta P80/P20;2017;.
42003 Adradas;;;Distribución de la renta P80/P20;2016;.
42003 Adradas;;;Distribución de la renta P80/P20;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2023;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2022;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2021;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2020;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Índice de Gini;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2023;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2022;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2021;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2020;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Distribución de la renta P80/P20;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2023;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2022;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2021;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2020;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Índice de Gini;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2023;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2022;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2021;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2020;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Distribución de la renta P80/P20;2015;.
42004 Ágreda;;;Índice de Gini;2023;26,1
42004 Ágreda;;;Índice de Gini;2022;25,8
42004 Ágreda;;;Índice de Gini;2021;25,4
42004 Ágreda;;;Índice de Gini;2020;26,4
42004 Ágreda;;;Índice de Gini;2019;26,4
42004 Ágreda;;;Índice de Gini;2018;26,3
42004 Ágreda;;;Índice de Gini;2017;26,8
42004 Ágreda;;;Índice de Gini;2016;25,3
42004 Ágreda;;;Índice de Gini;2015;25,7
42004 Ágreda;;;Distribución de la renta P80/P20;2023;2,4
42004 Ágreda;;;Distribución de la renta P80/P20;2022;2,3
42004 Ágreda;;;Distribución de la renta P80/P20;2021;2,2
42004 Ágreda;;;Distribución de la renta P80/P20;2020;2,3
42004 Ágreda;;;Distribución de la renta P80/P20;2019;2,2
42004 Ágreda;;;Distribución de la renta P80/P20;2018;2,2
42004 Ágreda;;;Distribución de la renta P80/P20;2017;2,3
42004 Ágreda;;;Distribución de la renta P80/P20;2016;2,2
42004 Ágreda;;;Distribución de la renta P80/P20;2015;2,3
42004 Ágreda;4200401 Ágreda distrito 01;;Índice de Gini;2023;26,1
