Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
47001 Adalia;;;Índice de Gini;2023;.
47001 Adalia;;;Índice de Gini;2022;.
47001 Adalia;;;Índice de Gini;2021;.
47001 Adalia;;;Índice de Gini;2020;.
47001 Adalia;;;Índice de Gini;2019;.
47001 Adalia;;;Índice de Gini;2018;.
47001 Adalia;;;Índice de Gini;2017;.
47001 Adalia;;;Índice de Gini;2016;.
47001 Adalia;;;Índice de Gini;2015;.
47001 Adalia;;;Distribución de la renta P80/P20;2023;.
47001 Adalia;;;Distribución de la renta P80/P20;2022;.
47001 Adalia;;;Distribución de la renta P80/P20;2021;.
47001 Adalia;;;Distribución de la renta P80/P20;2020;.
47001 Adalia;;;Distribución de la renta P80/P20;2019;.
47001 Adalia;;;Distribución de la renta P80/P20;2018;.
47001 Adalia;;;Distribución de la renta P80/P20;2017;.
47001 Adalia;;;Distribución de la renta P80/P20;2016;.
47001 Adalia;;;Distribución de la renta P80/P20;2015;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2023;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2022;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2021;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2020;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2019;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2018;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2017;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2016;.
47001 Adalia;4700101 Adalia distrito 01;;Índice de Gini;2015;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2023;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2022;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2021;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2020;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2019;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2018;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2017;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2016;.
47001 Adalia;4700101 Adalia distrito 01;;Distribución de la renta P80/P20;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Índice de Gini;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Distribución de la renta P80/P20;2015;.
47002 Aguasal;;;Índice de Gini;2023;.
47002 Aguasal;;;Índice de Gini;2022;.
47002 Aguasal;;;Índice de Gini;2021;.
47002 Aguasal;;;Índice de Gini;2020;.
47002 Aguasal;;;Índice de Gini;2019;.
47002 Aguasal;;;Índice de Gini;2018;.
47002 Aguasal;;;Índice de Gini;2017;.
47002 Aguasal;;;Índice de Gini;2016;.
47002 Aguasal;;;Índice de Gini;2015;.
47002 Aguasal;;;Distribución de la renta P80/P20;2023;.
47002 Aguasal;;;Distribución de la renta P80/P20;2022;.
47002 Aguasal;;;Distribución de la renta P80/P20;2021;.
47002 Aguasal;;;Distribución de la renta P80/P20;2020;.
47002 Aguasal;;;Distribución de la renta P80/P20;2019;.
47002 Aguasal;;;Distribución de la renta P80/P20;2018;.
47002 Aguasal;;;Distribución de la renta P80/P20;2017;.
47002 Aguasal;;;Distribución de la renta P80/P20;2016;.
47002 Aguasal;;;Distribución de la renta P80/P20;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Índice de Gini;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Distribución de la renta P80/P20;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2020;.
