Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
49002 Abezames;;;Índice de Gini;2023;.
49002 Abezames;;;Índice de Gini;2022;.
49002 Abezames;;;Índice de Gini;2021;.
49002 Abezames;;;Índice de Gini;2020;.
49002 Abezames;;;Índice de Gini;2019;.
49002 Abezames;;;Índice de Gini;2018;.
49002 Abezames;;;Índice de Gini;2017;.
49002 Abezames;;;Índice de Gini;2016;.
49002 Abezames;;;Índice de Gini;2015;.
49002 Abezames;;;Distribución de la renta P80/P20;2023;.
49002 Abezames;;;Distribución de la renta P80/P20;2022;.
49002 Abezames;;;Distribución de la renta P80/P20;2021;.
49002 Abezames;;;Distribución de la renta P80/P20;2020;.
49002 Abezames;;;Distribución de la renta P80/P20;2019;.
49002 Abezames;;;Distribución de la renta P80/P20;2018;.
49002 Abezames;;;Distribución de la renta P80/P20;2017;.
49002 Abezames;;;Distribución de la renta P80/P20;2016;.
49002 Abezames;;;Distribución de la renta P80/P20;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2022;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2021;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2020;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2019;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2018;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2017;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2016;.
49002 Abezames;4900201 Abezames distrito 01;;Índice de Gini;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2022;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2021;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2020;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2019;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2018;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2017;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2016;.
49002 Abezames;4900201 Abezames distrito 01;;Distribución de la renta P80/P20;2015;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2023;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2022;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2021;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2020;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2019;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2018;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2017;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2016;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Índice de Gini;2015;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2023;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2022;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2021;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2020;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2019;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2018;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2017;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2016;.
49002 Abezames;4900201 Abezames distrito 01;4900201001 Abezames sección 01001;Distribución de la renta P80/P20;2015;.
49003 Alcañices;;;Índice de Gini;2023;25,7
49003 Alcañices;;;Índice de Gini;2022;25,9
49003 Alcañices;;;Índice de Gini;2021;26,4
49003 Alcañices;;;Índice de Gini;2020;29
49003 Alcañices;;;Índice de Gini;2019;27,1
49003 Alcañices;;;Índice de Gini;2018;28,2
49003 Alcañices;;;Índice de Gini;2017;27,9
49003 Alcañices;;;Índice de Gini;2016;29,9
49003 Alcañices;;;Índice de Gini;2015;30,8
49003 Alcañices;;;Distribución de la renta P80/P20;2023;2,2
49003 Alcañices;;;Distribución de la renta P80/P20;2022;2,1
49003 Alcañices;;;Distribución de la renta P80/P20;2021;2,2
49003 Alcañices;;;Distribución de la renta P80/P20;2020;2,4
49003 Alcañices;;;Distribución de la renta P80/P20;2019;2,1
49003 Alcañices;;;Distribución de la renta P80/P20;2018;2,3
49003 Alcañices;;;Distribución de la renta P80/P20;2017;2,1
49003 Alcañices;;;Distribución de la renta P80/P20;2016;2,2
49003 Alcañices;;;Distribución de la renta P80/P20;2015;2,5
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2023;25,7
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2022;25,9
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2021;26,4
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2020;29
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2019;27,1
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2018;28,2
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2017;27,9
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2016;29,9
49003 Alcañices;4900301 Alcañices distrito 01;;Índice de Gini;2015;30,8
49003 Alcañices;4900301 Alcañices distrito 01;;Distribución de la renta P80/P20;2023;2,2
49003 Alcañices;4900301 Alcañices distrito 01;;Distribución de la renta P80/P20;2022;2,1
