Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
09001 Abajas;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
