Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
24001 Acebedo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
24001 Acebedo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
