Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
34001 Abarca de Campos;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
34001 Abarca de Campos;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
34001 Abarca de Campos;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
