Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
37001 Abusejo;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
37001 Abusejo;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
37001 Abusejo;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
37001 Abusejo;3700101 Abusejo distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
