Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;1,7
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;2
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;1
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;0,9
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;2,7
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;4,5
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;4
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;5,1
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;5,3
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;2,5
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;4,3
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;4,3
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;6,9
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;6,4
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;10,7
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;11,9
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;13,8
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;14,1
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;7,8
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;9,7
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;10,9
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;13,6
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;14,9
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;19,2
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;23,4
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;29,3
40001 Abades;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;32,1
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;1,7
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;2,3
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;0,8
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;0,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;2,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;4,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;3,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;4,8
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;4,6
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;2,4
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;4,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;3,8
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;6,1
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;5,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;10,2
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;12
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;13
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;12,3
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;8,3
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;9,3
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;9,7
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;11,4
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;13,8
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;17,5
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;22,1
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;28,2
