Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
42001 Abejar;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
42001 Abejar;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
