Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
49002 Abezames;;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
49002 Abezames;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
49002 Abezames;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
49002 Abezames;4900201 Abezames distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
49002 Abezames;4900201 Abezames distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
49002 Abezames;4900201 Abezames distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
