Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
05 Ávila;;;Total;Total;2023;141.483
05 Ávila;;;Total;Total;2022;140.774
05 Ávila;;;Total;Total;2021;140.156
05 Ávila;;;Total;Educación primaria e inferior;2023;25.852
05 Ávila;;;Total;Educación primaria e inferior;2022;26.639
05 Ávila;;;Total;Educación primaria e inferior;2021;28.281
05 Ávila;;;Total;Primera etapa de Educación Secundaria y similar;2023;48.121
05 Ávila;;;Total;Primera etapa de Educación Secundaria y similar;2022;48.074
05 Ávila;;;Total;Primera etapa de Educación Secundaria y similar;2021;47.665
05 Ávila;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;29.255
05 Ávila;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;28.633
05 Ávila;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;28.145
05 Ávila;;;Total;Educación superior;2023;38.255
05 Ávila;;;Total;Educación superior;2022;37.428
05 Ávila;;;Total;Educación superior;2021;36.065
05 Ávila;;;Hombres;Total;2023;70.786
05 Ávila;;;Hombres;Total;2022;70.516
05 Ávila;;;Hombres;Total;2021;70.142
05 Ávila;;;Hombres;Educación primaria e inferior;2023;11.142
05 Ávila;;;Hombres;Educación primaria e inferior;2022;11.515
05 Ávila;;;Hombres;Educación primaria e inferior;2021;12.243
05 Ávila;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;27.024
05 Ávila;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;27.030
05 Ávila;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;26.798
05 Ávila;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;15.228
05 Ávila;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;14.983
05 Ávila;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;14.753
05 Ávila;;;Hombres;Educación superior;2023;17.392
05 Ávila;;;Hombres;Educación superior;2022;16.988
05 Ávila;;;Hombres;Educación superior;2021;16.348
05 Ávila;;;Mujeres;Total;2023;70.697
05 Ávila;;;Mujeres;Total;2022;70.258
05 Ávila;;;Mujeres;Total;2021;70.014
05 Ávila;;;Mujeres;Educación primaria e inferior;2023;14.710
05 Ávila;;;Mujeres;Educación primaria e inferior;2022;15.124
05 Ávila;;;Mujeres;Educación primaria e inferior;2021;16.038
05 Ávila;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;21.097
05 Ávila;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;21.044
05 Ávila;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;20.867
05 Ávila;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;14.027
05 Ávila;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;13.650
05 Ávila;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;13.392
