Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
09 Burgos;;;Total;Total;2023;313.704
09 Burgos;;;Total;Total;2022;310.974
09 Burgos;;;Total;Total;2021;311.188
09 Burgos;;;Total;Educación primaria e inferior;2023;53.213
09 Burgos;;;Total;Educación primaria e inferior;2022;54.653
09 Burgos;;;Total;Educación primaria e inferior;2021;57.365
09 Burgos;;;Total;Primera etapa de Educación Secundaria y similar;2023;82.364
09 Burgos;;;Total;Primera etapa de Educación Secundaria y similar;2022;82.057
09 Burgos;;;Total;Primera etapa de Educación Secundaria y similar;2021;81.848
09 Burgos;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;65.824
09 Burgos;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;64.445
09 Burgos;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;64.235
09 Burgos;;;Total;Educación superior;2023;112.303
09 Burgos;;;Total;Educación superior;2022;109.819
09 Burgos;;;Total;Educación superior;2021;107.740
09 Burgos;;;Hombres;Total;2023;156.153
09 Burgos;;;Hombres;Total;2022;154.924
09 Burgos;;;Hombres;Total;2021;154.924
09 Burgos;;;Hombres;Educación primaria e inferior;2023;22.955
09 Burgos;;;Hombres;Educación primaria e inferior;2022;23.566
09 Burgos;;;Hombres;Educación primaria e inferior;2021;24.668
09 Burgos;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;44.646
09 Burgos;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;44.437
09 Burgos;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;44.386
09 Burgos;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;36.008
09 Burgos;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;35.453
09 Burgos;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;35.310
09 Burgos;;;Hombres;Educación superior;2023;52.544
09 Burgos;;;Hombres;Educación superior;2022;51.468
09 Burgos;;;Hombres;Educación superior;2021;50.560
09 Burgos;;;Mujeres;Total;2023;157.551
09 Burgos;;;Mujeres;Total;2022;156.050
09 Burgos;;;Mujeres;Total;2021;156.264
09 Burgos;;;Mujeres;Educación primaria e inferior;2023;30.258
09 Burgos;;;Mujeres;Educación primaria e inferior;2022;31.087
09 Burgos;;;Mujeres;Educación primaria e inferior;2021;32.697
09 Burgos;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;37.718
09 Burgos;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;37.620
09 Burgos;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;37.462
09 Burgos;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;29.816
09 Burgos;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;28.992
09 Burgos;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;28.925
09 Burgos;;;Mujeres;Educación superior;2023;59.759
09 Burgos;;;Mujeres;Educación superior;2022;58.351
09 Burgos;;;Mujeres;Educación superior;2021;57.180
09 Burgos;09001 Abajas;;Total;Total;2023;""
09 Burgos;09001 Abajas;;Total;Total;2022;""
09 Burgos;09001 Abajas;;Total;Total;2021;""
09 Burgos;09001 Abajas;;Total;Educación primaria e inferior;2023;""
09 Burgos;09001 Abajas;;Total;Educación primaria e inferior;2022;""
09 Burgos;09001 Abajas;;Total;Educación primaria e inferior;2021;""
09 Burgos;09001 Abajas;;Total;Primera etapa de Educación Secundaria y similar;2023;""
09 Burgos;09001 Abajas;;Total;Primera etapa de Educación Secundaria y similar;2022;""
09 Burgos;09001 Abajas;;Total;Primera etapa de Educación Secundaria y similar;2021;""
09 Burgos;09001 Abajas;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
09 Burgos;09001 Abajas;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
09 Burgos;09001 Abajas;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
09 Burgos;09001 Abajas;;Total;Educación superior;2023;""
09 Burgos;09001 Abajas;;Total;Educación superior;2022;""
09 Burgos;09001 Abajas;;Total;Educación superior;2021;""
09 Burgos;09001 Abajas;;Hombres;Total;2023;""
09 Burgos;09001 Abajas;;Hombres;Total;2022;""
09 Burgos;09001 Abajas;;Hombres;Total;2021;""
09 Burgos;09001 Abajas;;Hombres;Educación primaria e inferior;2023;""
09 Burgos;09001 Abajas;;Hombres;Educación primaria e inferior;2022;""
09 Burgos;09001 Abajas;;Hombres;Educación primaria e inferior;2021;""
09 Burgos;09001 Abajas;;Hombres;Primera etapa de Educación Secundaria y similar;2023;""
09 Burgos;09001 Abajas;;Hombres;Primera etapa de Educación Secundaria y similar;2022;""
09 Burgos;09001 Abajas;;Hombres;Primera etapa de Educación Secundaria y similar;2021;""
09 Burgos;09001 Abajas;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
09 Burgos;09001 Abajas;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
09 Burgos;09001 Abajas;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
09 Burgos;09001 Abajas;;Hombres;Educación superior;2023;""
09 Burgos;09001 Abajas;;Hombres;Educación superior;2022;""
