Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
24 León;;;Total;Total;2023;403.364
24 León;;;Total;Total;2022;403.393
24 León;;;Total;Total;2021;405.609
24 León;;;Total;Educación primaria e inferior;2023;72.528
24 León;;;Total;Educación primaria e inferior;2022;75.627
24 León;;;Total;Educación primaria e inferior;2021;80.340
24 León;;;Total;Primera etapa de Educación Secundaria y similar;2023;124.096
24 León;;;Total;Primera etapa de Educación Secundaria y similar;2022;124.793
24 León;;;Total;Primera etapa de Educación Secundaria y similar;2021;124.967
24 León;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;87.491
24 León;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;86.450
24 León;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;86.290
24 León;;;Total;Educación superior;2023;119.249
24 León;;;Total;Educación superior;2022;116.523
24 León;;;Total;Educación superior;2021;114.012
24 León;;;Hombres;Total;2023;194.818
24 León;;;Hombres;Total;2022;194.925
24 León;;;Hombres;Total;2021;195.944
24 León;;;Hombres;Educación primaria e inferior;2023;29.284
24 León;;;Hombres;Educación primaria e inferior;2022;30.583
24 León;;;Hombres;Educación primaria e inferior;2021;32.597
24 León;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;67.077
24 León;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;67.548
24 León;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;67.612
24 León;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;45.269
24 León;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;44.845
24 León;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;44.879
24 León;;;Hombres;Educación superior;2023;53.188
24 León;;;Hombres;Educación superior;2022;51.949
24 León;;;Hombres;Educación superior;2021;50.856
24 León;;;Mujeres;Total;2023;208.546
24 León;;;Mujeres;Total;2022;208.468
24 León;;;Mujeres;Total;2021;209.665
24 León;;;Mujeres;Educación primaria e inferior;2023;43.244
24 León;;;Mujeres;Educación primaria e inferior;2022;45.044
24 León;;;Mujeres;Educación primaria e inferior;2021;47.743
24 León;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;57.019
24 León;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;57.245
24 León;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;57.355
24 León;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;42.222
24 León;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;41.605
24 León;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;41.411
24 León;;;Mujeres;Educación superior;2023;66.061
24 León;;;Mujeres;Educación superior;2022;64.574
24 León;;;Mujeres;Educación superior;2021;63.156
24 León;24001 Acebedo;;Total;Total;2023;179
24 León;24001 Acebedo;;Total;Total;2022;177
24 León;24001 Acebedo;;Total;Total;2021;176
24 León;24001 Acebedo;;Total;Educación primaria e inferior;2023;44
24 León;24001 Acebedo;;Total;Educación primaria e inferior;2022;44
24 León;24001 Acebedo;;Total;Educación primaria e inferior;2021;46
24 León;24001 Acebedo;;Total;Primera etapa de Educación Secundaria y similar;2023;46
24 León;24001 Acebedo;;Total;Primera etapa de Educación Secundaria y similar;2022;48
24 León;24001 Acebedo;;Total;Primera etapa de Educación Secundaria y similar;2021;51
24 León;24001 Acebedo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;39
24 León;24001 Acebedo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;36
24 León;24001 Acebedo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;33
24 León;24001 Acebedo;;Total;Educación superior;2023;50
24 León;24001 Acebedo;;Total;Educación superior;2022;49
24 León;24001 Acebedo;;Total;Educación superior;2021;46
24 León;24001 Acebedo;;Hombres;Total;2023;97
24 León;24001 Acebedo;;Hombres;Total;2022;97
24 León;24001 Acebedo;;Hombres;Total;2021;100
24 León;24001 Acebedo;;Hombres;Educación primaria e inferior;2023;19
24 León;24001 Acebedo;;Hombres;Educación primaria e inferior;2022;20
24 León;24001 Acebedo;;Hombres;Educación primaria e inferior;2021;22
24 León;24001 Acebedo;;Hombres;Primera etapa de Educación Secundaria y similar;2023;33
24 León;24001 Acebedo;;Hombres;Primera etapa de Educación Secundaria y similar;2022;34
24 León;24001 Acebedo;;Hombres;Primera etapa de Educación Secundaria y similar;2021;36
24 León;24001 Acebedo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;19
24 León;24001 Acebedo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;18
24 León;24001 Acebedo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;16
24 León;24001 Acebedo;;Hombres;Educación superior;2023;26
24 León;24001 Acebedo;;Hombres;Educación superior;2022;25
24 León;24001 Acebedo;;Hombres;Educación superior;2021;26
24 León;24001 Acebedo;;Mujeres;Total;2023;82
24 León;24001 Acebedo;;Mujeres;Total;2022;80
24 León;24001 Acebedo;;Mujeres;Total;2021;76
24 León;24001 Acebedo;;Mujeres;Educación primaria e inferior;2023;25
24 León;24001 Acebedo;;Mujeres;Educación primaria e inferior;2022;24
24 León;24001 Acebedo;;Mujeres;Educación primaria e inferior;2021;24
24 León;24001 Acebedo;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;13
24 León;24001 Acebedo;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;14
24 León;24001 Acebedo;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;15
24 León;24001 Acebedo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;20
24 León;24001 Acebedo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;18
24 León;24001 Acebedo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;17
24 León;24001 Acebedo;;Mujeres;Educación superior;2023;24
24 León;24001 Acebedo;;Mujeres;Educación superior;2022;24
24 León;24001 Acebedo;;Mujeres;Educación superior;2021;20
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2023;179
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2022;177
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2021;176
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación primaria e inferior;2023;44
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación primaria e inferior;2022;44
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación primaria e inferior;2021;46
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;46
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;48
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;51
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;39
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;36
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;33
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación superior;2023;50
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación superior;2022;49
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Educación superior;2021;46
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2023;97
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2022;97
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2021;100
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación primaria e inferior;2023;19
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación primaria e inferior;2022;20
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación primaria e inferior;2021;22
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2023;33
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2022;34
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2021;36
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;19
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;18
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;16
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación superior;2023;26
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación superior;2022;25
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Educación superior;2021;26
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2023;82
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2022;80
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Total;2021;76
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Educación primaria e inferior;2023;25
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Educación primaria e inferior;2022;24
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Educación primaria e inferior;2021;24
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;13
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;14
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;15
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;20
