Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
34 Palencia;;;Total;Total;2023;140.594
34 Palencia;;;Total;Total;2022;140.730
34 Palencia;;;Total;Total;2021;141.509
34 Palencia;;;Total;Educación primaria e inferior;2023;23.898
34 Palencia;;;Total;Educación primaria e inferior;2022;24.976
34 Palencia;;;Total;Educación primaria e inferior;2021;26.527
34 Palencia;;;Total;Primera etapa de Educación Secundaria y similar;2023;44.490
34 Palencia;;;Total;Primera etapa de Educación Secundaria y similar;2022;44.550
34 Palencia;;;Total;Primera etapa de Educación Secundaria y similar;2021;44.668
34 Palencia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;28.415
34 Palencia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;28.082
34 Palencia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;28.069
34 Palencia;;;Total;Educación superior;2023;43.791
34 Palencia;;;Total;Educación superior;2022;43.122
34 Palencia;;;Total;Educación superior;2021;42.245
34 Palencia;;;Hombres;Total;2023;69.234
34 Palencia;;;Hombres;Total;2022;69.348
34 Palencia;;;Hombres;Total;2021;69.751
34 Palencia;;;Hombres;Educación primaria e inferior;2023;9.934
34 Palencia;;;Hombres;Educación primaria e inferior;2022;10.383
34 Palencia;;;Hombres;Educación primaria e inferior;2021;11.044
34 Palencia;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;24.197
34 Palencia;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;24.220
34 Palencia;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;24.330
34 Palencia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;15.012
34 Palencia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;14.948
34 Palencia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;14.978
34 Palencia;;;Hombres;Educación superior;2023;20.091
34 Palencia;;;Hombres;Educación superior;2022;19.797
34 Palencia;;;Hombres;Educación superior;2021;19.399
34 Palencia;;;Mujeres;Total;2023;71.360
34 Palencia;;;Mujeres;Total;2022;71.382
34 Palencia;;;Mujeres;Total;2021;71.758
34 Palencia;;;Mujeres;Educación primaria e inferior;2023;13.964
34 Palencia;;;Mujeres;Educación primaria e inferior;2022;14.593
34 Palencia;;;Mujeres;Educación primaria e inferior;2021;15.483
34 Palencia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;20.293
34 Palencia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;20.330
34 Palencia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;20.338
34 Palencia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;13.403
34 Palencia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;13.134
34 Palencia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;13.091
34 Palencia;;;Mujeres;Educación superior;2023;23.700
34 Palencia;;;Mujeres;Educación superior;2022;23.325
34 Palencia;;;Mujeres;Educación superior;2021;22.846
34 Palencia;34001 Abarca de Campos;;Total;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Educación primaria e inferior;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Educación primaria e inferior;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Educación primaria e inferior;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Primera etapa de Educación Secundaria y similar;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Primera etapa de Educación Secundaria y similar;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Primera etapa de Educación Secundaria y similar;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Educación superior;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Educación superior;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Educación superior;2021;""
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Hombres;Educación primaria e inferior;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Educación primaria e inferior;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Educación primaria e inferior;2021;""
