Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
37 Salamanca;;;Total;Total;2023;291.725
37 Salamanca;;;Total;Total;2022;290.564
37 Salamanca;;;Total;Total;2021;291.209
37 Salamanca;;;Total;Educación primaria e inferior;2023;48.472
37 Salamanca;;;Total;Educación primaria e inferior;2022;50.871
37 Salamanca;;;Total;Educación primaria e inferior;2021;53.776
37 Salamanca;;;Total;Primera etapa de Educación Secundaria y similar;2023;88.280
37 Salamanca;;;Total;Primera etapa de Educación Secundaria y similar;2022;88.938
37 Salamanca;;;Total;Primera etapa de Educación Secundaria y similar;2021;89.036
37 Salamanca;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;56.391
37 Salamanca;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;55.292
37 Salamanca;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;54.996
37 Salamanca;;;Total;Educación superior;2023;98.582
37 Salamanca;;;Total;Educación superior;2022;95.463
37 Salamanca;;;Total;Educación superior;2021;93.401
37 Salamanca;;;Hombres;Total;2023;140.566
37 Salamanca;;;Hombres;Total;2022;140.109
37 Salamanca;;;Hombres;Total;2021;140.411
37 Salamanca;;;Hombres;Educación primaria e inferior;2023;19.887
37 Salamanca;;;Hombres;Educación primaria e inferior;2022;20.893
37 Salamanca;;;Hombres;Educación primaria e inferior;2021;22.098
37 Salamanca;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;47.462
37 Salamanca;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;47.802
37 Salamanca;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;47.935
37 Salamanca;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;29.866
37 Salamanca;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;29.422
37 Salamanca;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;29.298
37 Salamanca;;;Hombres;Educación superior;2023;43.351
37 Salamanca;;;Hombres;Educación superior;2022;41.992
37 Salamanca;;;Hombres;Educación superior;2021;41.080
37 Salamanca;;;Mujeres;Total;2023;151.159
37 Salamanca;;;Mujeres;Total;2022;150.455
37 Salamanca;;;Mujeres;Total;2021;150.798
37 Salamanca;;;Mujeres;Educación primaria e inferior;2023;28.585
37 Salamanca;;;Mujeres;Educación primaria e inferior;2022;29.978
37 Salamanca;;;Mujeres;Educación primaria e inferior;2021;31.678
37 Salamanca;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;40.818
37 Salamanca;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;41.136
37 Salamanca;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;41.101
37 Salamanca;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;26.525
37 Salamanca;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;25.870
37 Salamanca;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;25.698
37 Salamanca;;;Mujeres;Educación superior;2023;55.231
37 Salamanca;;;Mujeres;Educación superior;2022;53.471
37 Salamanca;;;Mujeres;Educación superior;2021;52.321
37 Salamanca;37001 Abusejo;;Total;Total;2023;146
37 Salamanca;37001 Abusejo;;Total;Total;2022;157
37 Salamanca;37001 Abusejo;;Total;Total;2021;161
37 Salamanca;37001 Abusejo;;Total;Educación primaria e inferior;2023;48
37 Salamanca;37001 Abusejo;;Total;Educación primaria e inferior;2022;55
37 Salamanca;37001 Abusejo;;Total;Educación primaria e inferior;2021;58
37 Salamanca;37001 Abusejo;;Total;Primera etapa de Educación Secundaria y similar;2023;48
37 Salamanca;37001 Abusejo;;Total;Primera etapa de Educación Secundaria y similar;2022;48
37 Salamanca;37001 Abusejo;;Total;Primera etapa de Educación Secundaria y similar;2021;50
37 Salamanca;37001 Abusejo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;20
37 Salamanca;37001 Abusejo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;19
37 Salamanca;37001 Abusejo;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;21
37 Salamanca;37001 Abusejo;;Total;Educación superior;2023;30
37 Salamanca;37001 Abusejo;;Total;Educación superior;2022;35
37 Salamanca;37001 Abusejo;;Total;Educación superior;2021;32
37 Salamanca;37001 Abusejo;;Hombres;Total;2023;77
37 Salamanca;37001 Abusejo;;Hombres;Total;2022;82
37 Salamanca;37001 Abusejo;;Hombres;Total;2021;84
37 Salamanca;37001 Abusejo;;Hombres;Educación primaria e inferior;2023;20
37 Salamanca;37001 Abusejo;;Hombres;Educación primaria e inferior;2022;22
37 Salamanca;37001 Abusejo;;Hombres;Educación primaria e inferior;2021;23
37 Salamanca;37001 Abusejo;;Hombres;Primera etapa de Educación Secundaria y similar;2023;28
37 Salamanca;37001 Abusejo;;Hombres;Primera etapa de Educación Secundaria y similar;2022;28
37 Salamanca;37001 Abusejo;;Hombres;Primera etapa de Educación Secundaria y similar;2021;30
37 Salamanca;37001 Abusejo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;12
37 Salamanca;37001 Abusejo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;12
37 Salamanca;37001 Abusejo;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;13
37 Salamanca;37001 Abusejo;;Hombres;Educación superior;2023;17
37 Salamanca;37001 Abusejo;;Hombres;Educación superior;2022;20
37 Salamanca;37001 Abusejo;;Hombres;Educación superior;2021;18
37 Salamanca;37001 Abusejo;;Mujeres;Total;2023;69
37 Salamanca;37001 Abusejo;;Mujeres;Total;2022;75
37 Salamanca;37001 Abusejo;;Mujeres;Total;2021;77
37 Salamanca;37001 Abusejo;;Mujeres;Educación primaria e inferior;2023;28
37 Salamanca;37001 Abusejo;;Mujeres;Educación primaria e inferior;2022;33
37 Salamanca;37001 Abusejo;;Mujeres;Educación primaria e inferior;2021;35
37 Salamanca;37001 Abusejo;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;20
37 Salamanca;37001 Abusejo;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;20
37 Salamanca;37001 Abusejo;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;20
37 Salamanca;37001 Abusejo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;8
37 Salamanca;37001 Abusejo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;7
37 Salamanca;37001 Abusejo;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;8
37 Salamanca;37001 Abusejo;;Mujeres;Educación superior;2023;13
37 Salamanca;37001 Abusejo;;Mujeres;Educación superior;2022;15
37 Salamanca;37001 Abusejo;;Mujeres;Educación superior;2021;14
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2023;146
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2022;157
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2021;161
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Educación primaria e inferior;2023;48
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Educación primaria e inferior;2022;55
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Educación primaria e inferior;2021;58
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;48
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;48
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;50
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;20
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;19
