Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
40 Segovia;;;Total;Total;2023;136.015
40 Segovia;;;Total;Total;2022;134.417
40 Segovia;;;Total;Total;2021;133.958
40 Segovia;;;Total;Educación primaria e inferior;2023;23.378
40 Segovia;;;Total;Educación primaria e inferior;2022;23.958
40 Segovia;;;Total;Educación primaria e inferior;2021;25.155
40 Segovia;;;Total;Primera etapa de Educación Secundaria y similar;2023;39.340
40 Segovia;;;Total;Primera etapa de Educación Secundaria y similar;2022;39.206
40 Segovia;;;Total;Primera etapa de Educación Secundaria y similar;2021;39.219
40 Segovia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;29.289
40 Segovia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;28.387
40 Segovia;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;28.040
40 Segovia;;;Total;Educación superior;2023;44.008
40 Segovia;;;Total;Educación superior;2022;42.866
40 Segovia;;;Total;Educación superior;2021;41.544
40 Segovia;;;Hombres;Total;2023;67.961
40 Segovia;;;Hombres;Total;2022;67.279
40 Segovia;;;Hombres;Total;2021;67.052
40 Segovia;;;Hombres;Educación primaria e inferior;2023;10.408
40 Segovia;;;Hombres;Educación primaria e inferior;2022;10.702
40 Segovia;;;Hombres;Educación primaria e inferior;2021;11.255
40 Segovia;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;21.994
40 Segovia;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;21.934
40 Segovia;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;21.890
40 Segovia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;15.416
40 Segovia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;14.994
40 Segovia;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;14.773
40 Segovia;;;Hombres;Educación superior;2023;20.143
40 Segovia;;;Hombres;Educación superior;2022;19.649
40 Segovia;;;Hombres;Educación superior;2021;19.134
40 Segovia;;;Mujeres;Total;2023;68.054
40 Segovia;;;Mujeres;Total;2022;67.138
40 Segovia;;;Mujeres;Total;2021;66.906
40 Segovia;;;Mujeres;Educación primaria e inferior;2023;12.970
40 Segovia;;;Mujeres;Educación primaria e inferior;2022;13.256
40 Segovia;;;Mujeres;Educación primaria e inferior;2021;13.900
40 Segovia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;17.346
40 Segovia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;17.272
40 Segovia;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;17.329
40 Segovia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;13.873
40 Segovia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;13.393
40 Segovia;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;13.267
40 Segovia;;;Mujeres;Educación superior;2023;23.865
40 Segovia;;;Mujeres;Educación superior;2022;23.217
40 Segovia;;;Mujeres;Educación superior;2021;22.410
40 Segovia;40001 Abades;;Total;Total;2023;741
40 Segovia;40001 Abades;;Total;Total;2022;727
40 Segovia;40001 Abades;;Total;Total;2021;717
40 Segovia;40001 Abades;;Total;Educación primaria e inferior;2023;153
40 Segovia;40001 Abades;;Total;Educación primaria e inferior;2022;151
40 Segovia;40001 Abades;;Total;Educación primaria e inferior;2021;156
40 Segovia;40001 Abades;;Total;Primera etapa de Educación Secundaria y similar;2023;217
40 Segovia;40001 Abades;;Total;Primera etapa de Educación Secundaria y similar;2022;218
40 Segovia;40001 Abades;;Total;Primera etapa de Educación Secundaria y similar;2021;212
40 Segovia;40001 Abades;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;150
40 Segovia;40001 Abades;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;139
40 Segovia;40001 Abades;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;138
40 Segovia;40001 Abades;;Total;Educación superior;2023;221
40 Segovia;40001 Abades;;Total;Educación superior;2022;219
40 Segovia;40001 Abades;;Total;Educación superior;2021;211
40 Segovia;40001 Abades;;Hombres;Total;2023;360
40 Segovia;40001 Abades;;Hombres;Total;2022;349
40 Segovia;40001 Abades;;Hombres;Total;2021;352
40 Segovia;40001 Abades;;Hombres;Educación primaria e inferior;2023;60
40 Segovia;40001 Abades;;Hombres;Educación primaria e inferior;2022;58
40 Segovia;40001 Abades;;Hombres;Educación primaria e inferior;2021;61
40 Segovia;40001 Abades;;Hombres;Primera etapa de Educación Secundaria y similar;2023;133
40 Segovia;40001 Abades;;Hombres;Primera etapa de Educación Secundaria y similar;2022;128
40 Segovia;40001 Abades;;Hombres;Primera etapa de Educación Secundaria y similar;2021;125
40 Segovia;40001 Abades;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;80
40 Segovia;40001 Abades;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;75
40 Segovia;40001 Abades;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;79
40 Segovia;40001 Abades;;Hombres;Educación superior;2023;87
40 Segovia;40001 Abades;;Hombres;Educación superior;2022;88
40 Segovia;40001 Abades;;Hombres;Educación superior;2021;87
40 Segovia;40001 Abades;;Mujeres;Total;2023;381
40 Segovia;40001 Abades;;Mujeres;Total;2022;378
40 Segovia;40001 Abades;;Mujeres;Total;2021;365
40 Segovia;40001 Abades;;Mujeres;Educación primaria e inferior;2023;93
40 Segovia;40001 Abades;;Mujeres;Educación primaria e inferior;2022;93
40 Segovia;40001 Abades;;Mujeres;Educación primaria e inferior;2021;95
40 Segovia;40001 Abades;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;84
40 Segovia;40001 Abades;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;90
40 Segovia;40001 Abades;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;87
40 Segovia;40001 Abades;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;70
40 Segovia;40001 Abades;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;64
40 Segovia;40001 Abades;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;59
40 Segovia;40001 Abades;;Mujeres;Educación superior;2023;134
40 Segovia;40001 Abades;;Mujeres;Educación superior;2022;131
40 Segovia;40001 Abades;;Mujeres;Educación superior;2021;124
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2023;741
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2022;727
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2021;717
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación primaria e inferior;2023;153
