Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
42 Soria;;;Total;Total;2023;78.834
42 Soria;;;Total;Total;2022;77.806
42 Soria;;;Total;Total;2021;78.073
42 Soria;;;Total;Educación primaria e inferior;2023;13.995
42 Soria;;;Total;Educación primaria e inferior;2022;14.358
42 Soria;;;Total;Educación primaria e inferior;2021;15.227
42 Soria;;;Total;Primera etapa de Educación Secundaria y similar;2023;23.292
42 Soria;;;Total;Primera etapa de Educación Secundaria y similar;2022;23.136
42 Soria;;;Total;Primera etapa de Educación Secundaria y similar;2021;23.221
42 Soria;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;16.365
42 Soria;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;15.885
42 Soria;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;15.773
42 Soria;;;Total;Educación superior;2023;25.182
42 Soria;;;Total;Educación superior;2022;24.427
42 Soria;;;Total;Educación superior;2021;23.852
42 Soria;;;Hombres;Total;2023;39.883
42 Soria;;;Hombres;Total;2022;39.329
42 Soria;;;Hombres;Total;2021;39.440
42 Soria;;;Hombres;Educación primaria e inferior;2023;6.461
42 Soria;;;Hombres;Educación primaria e inferior;2022;6.533
42 Soria;;;Hombres;Educación primaria e inferior;2021;6.905
42 Soria;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;13.372
42 Soria;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;13.295
42 Soria;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;13.357
42 Soria;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;8.842
42 Soria;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;8.647
42 Soria;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;8.596
42 Soria;;;Hombres;Educación superior;2023;11.208
42 Soria;;;Hombres;Educación superior;2022;10.854
42 Soria;;;Hombres;Educación superior;2021;10.582
42 Soria;;;Mujeres;Total;2023;38.951
42 Soria;;;Mujeres;Total;2022;38.477
42 Soria;;;Mujeres;Total;2021;38.633
42 Soria;;;Mujeres;Educación primaria e inferior;2023;7.534
42 Soria;;;Mujeres;Educación primaria e inferior;2022;7.825
42 Soria;;;Mujeres;Educación primaria e inferior;2021;8.322
42 Soria;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;9.920
42 Soria;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;9.841
42 Soria;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;9.864
42 Soria;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;7.523
42 Soria;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;7.238
42 Soria;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;7.177
42 Soria;;;Mujeres;Educación superior;2023;13.974
42 Soria;;;Mujeres;Educación superior;2022;13.573
42 Soria;;;Mujeres;Educación superior;2021;13.270
42 Soria;42001 Abejar;;Total;Total;2023;324
42 Soria;42001 Abejar;;Total;Total;2022;250
42 Soria;42001 Abejar;;Total;Total;2021;254
42 Soria;42001 Abejar;;Total;Educación primaria e inferior;2023;81
42 Soria;42001 Abejar;;Total;Educación primaria e inferior;2022;72
42 Soria;42001 Abejar;;Total;Educación primaria e inferior;2021;75
42 Soria;42001 Abejar;;Total;Primera etapa de Educación Secundaria y similar;2023;117
42 Soria;42001 Abejar;;Total;Primera etapa de Educación Secundaria y similar;2022;87
42 Soria;42001 Abejar;;Total;Primera etapa de Educación Secundaria y similar;2021;87
42 Soria;42001 Abejar;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;71
42 Soria;42001 Abejar;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;49
42 Soria;42001 Abejar;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;51
42 Soria;42001 Abejar;;Total;Educación superior;2023;55
42 Soria;42001 Abejar;;Total;Educación superior;2022;42
