Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
47 Valladolid;;;Total;Total;2023;457.014
47 Valladolid;;;Total;Total;2022;453.151
47 Valladolid;;;Total;Total;2021;452.852
47 Valladolid;;;Total;Educación primaria e inferior;2023;68.464
47 Valladolid;;;Total;Educación primaria e inferior;2022;70.413
47 Valladolid;;;Total;Educación primaria e inferior;2021;74.102
47 Valladolid;;;Total;Primera etapa de Educación Secundaria y similar;2023;130.874
47 Valladolid;;;Total;Primera etapa de Educación Secundaria y similar;2022;131.253
47 Valladolid;;;Total;Primera etapa de Educación Secundaria y similar;2021;131.113
47 Valladolid;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;95.586
47 Valladolid;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;93.813
47 Valladolid;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;93.259
47 Valladolid;;;Total;Educación superior;2023;162.090
47 Valladolid;;;Total;Educación superior;2022;157.672
47 Valladolid;;;Total;Educación superior;2021;154.378
47 Valladolid;;;Hombres;Total;2023;220.749
47 Valladolid;;;Hombres;Total;2022;218.980
47 Valladolid;;;Hombres;Total;2021;218.942
47 Valladolid;;;Hombres;Educación primaria e inferior;2023;27.462
47 Valladolid;;;Hombres;Educación primaria e inferior;2022;28.227
47 Valladolid;;;Hombres;Educación primaria e inferior;2021;29.777
47 Valladolid;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;68.536
47 Valladolid;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;68.613
47 Valladolid;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;68.609
47 Valladolid;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;49.533
47 Valladolid;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;48.807
47 Valladolid;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;48.607
47 Valladolid;;;Hombres;Educación superior;2023;75.218
47 Valladolid;;;Hombres;Educación superior;2022;73.333
47 Valladolid;;;Hombres;Educación superior;2021;71.949
47 Valladolid;;;Mujeres;Total;2023;236.265
47 Valladolid;;;Mujeres;Total;2022;234.171
47 Valladolid;;;Mujeres;Total;2021;233.910
47 Valladolid;;;Mujeres;Educación primaria e inferior;2023;41.002
47 Valladolid;;;Mujeres;Educación primaria e inferior;2022;42.186
47 Valladolid;;;Mujeres;Educación primaria e inferior;2021;44.325
47 Valladolid;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;62.338
47 Valladolid;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;62.640
47 Valladolid;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;62.504
47 Valladolid;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;46.053
47 Valladolid;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;45.006
47 Valladolid;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;44.652
47 Valladolid;;;Mujeres;Educación superior;2023;86.872
47 Valladolid;;;Mujeres;Educación superior;2022;84.339
47 Valladolid;;;Mujeres;Educación superior;2021;82.429
47 Valladolid;47001 Adalia;;Total;Total;2023;51
47 Valladolid;47001 Adalia;;Total;Total;2022;54
47 Valladolid;47001 Adalia;;Total;Total;2021;52
47 Valladolid;47001 Adalia;;Total;Educación primaria e inferior;2023;4
47 Valladolid;47001 Adalia;;Total;Educación primaria e inferior;2022;4
47 Valladolid;47001 Adalia;;Total;Educación primaria e inferior;2021;5
47 Valladolid;47001 Adalia;;Total;Primera etapa de Educación Secundaria y similar;2023;13
47 Valladolid;47001 Adalia;;Total;Primera etapa de Educación Secundaria y similar;2022;14
47 Valladolid;47001 Adalia;;Total;Primera etapa de Educación Secundaria y similar;2021;12
47 Valladolid;47001 Adalia;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;7
47 Valladolid;47001 Adalia;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;11
47 Valladolid;47001 Adalia;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;11
47 Valladolid;47001 Adalia;;Total;Educación superior;2023;27
47 Valladolid;47001 Adalia;;Total;Educación superior;2022;25
47 Valladolid;47001 Adalia;;Total;Educación superior;2021;24
47 Valladolid;47001 Adalia;;Hombres;Total;2023;30
47 Valladolid;47001 Adalia;;Hombres;Total;2022;32
47 Valladolid;47001 Adalia;;Hombres;Total;2021;30
47 Valladolid;47001 Adalia;;Hombres;Educación primaria e inferior;2023;1
47 Valladolid;47001 Adalia;;Hombres;Educación primaria e inferior;2022;1
47 Valladolid;47001 Adalia;;Hombres;Educación primaria e inferior;2021;1
47 Valladolid;47001 Adalia;;Hombres;Primera etapa de Educación Secundaria y similar;2023;7
47 Valladolid;47001 Adalia;;Hombres;Primera etapa de Educación Secundaria y similar;2022;8
47 Valladolid;47001 Adalia;;Hombres;Primera etapa de Educación Secundaria y similar;2021;7
47 Valladolid;47001 Adalia;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;4
47 Valladolid;47001 Adalia;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;5
47 Valladolid;47001 Adalia;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;4
47 Valladolid;47001 Adalia;;Hombres;Educación superior;2023;18
47 Valladolid;47001 Adalia;;Hombres;Educación superior;2022;18
47 Valladolid;47001 Adalia;;Hombres;Educación superior;2021;18
47 Valladolid;47001 Adalia;;Mujeres;Total;2023;21
47 Valladolid;47001 Adalia;;Mujeres;Total;2022;22
47 Valladolid;47001 Adalia;;Mujeres;Total;2021;22
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2023;3
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2022;3
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2021;4
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;6
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;5
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;3
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;7
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2023;9
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2022;7
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2021;6
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2023;51
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2022;54
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2021;52
