Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
49 Zamora;;;Total;Total;2023;151.824
49 Zamora;;;Total;Total;2022;152.663
49 Zamora;;;Total;Total;2021;153.513
49 Zamora;;;Total;Educación primaria e inferior;2023;31.213
49 Zamora;;;Total;Educación primaria e inferior;2022;32.677
49 Zamora;;;Total;Educación primaria e inferior;2021;34.566
49 Zamora;;;Total;Primera etapa de Educación Secundaria y similar;2023;53.165
49 Zamora;;;Total;Primera etapa de Educación Secundaria y similar;2022;53.473
49 Zamora;;;Total;Primera etapa de Educación Secundaria y similar;2021;53.666
49 Zamora;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;27.982
49 Zamora;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;27.688
49 Zamora;;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;27.341
49 Zamora;;;Total;Educación superior;2023;39.464
49 Zamora;;;Total;Educación superior;2022;38.825
49 Zamora;;;Total;Educación superior;2021;37.940
49 Zamora;;;Hombres;Total;2023;74.873
49 Zamora;;;Hombres;Total;2022;75.277
49 Zamora;;;Hombres;Total;2021;75.672
49 Zamora;;;Hombres;Educación primaria e inferior;2023;13.068
49 Zamora;;;Hombres;Educación primaria e inferior;2022;13.668
49 Zamora;;;Hombres;Educación primaria e inferior;2021;14.534
49 Zamora;;;Hombres;Primera etapa de Educación Secundaria y similar;2023;29.708
49 Zamora;;;Hombres;Primera etapa de Educación Secundaria y similar;2022;29.935
49 Zamora;;;Hombres;Primera etapa de Educación Secundaria y similar;2021;30.022
49 Zamora;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;14.659
49 Zamora;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;14.534
49 Zamora;;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;14.380
49 Zamora;;;Hombres;Educación superior;2023;17.438
49 Zamora;;;Hombres;Educación superior;2022;17.140
49 Zamora;;;Hombres;Educación superior;2021;16.736
49 Zamora;;;Mujeres;Total;2023;76.951
49 Zamora;;;Mujeres;Total;2022;77.386
49 Zamora;;;Mujeres;Total;2021;77.841
49 Zamora;;;Mujeres;Educación primaria e inferior;2023;18.145
49 Zamora;;;Mujeres;Educación primaria e inferior;2022;19.009
49 Zamora;;;Mujeres;Educación primaria e inferior;2021;20.032
49 Zamora;;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;23.457
49 Zamora;;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;23.538
49 Zamora;;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;23.644
49 Zamora;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;13.323
49 Zamora;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;13.154
49 Zamora;;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;12.961
49 Zamora;;;Mujeres;Educación superior;2023;22.026
49 Zamora;;;Mujeres;Educación superior;2022;21.685
49 Zamora;;;Mujeres;Educación superior;2021;21.204
49 Zamora;49002 Abezames;;Total;Total;2023;60
49 Zamora;49002 Abezames;;Total;Total;2022;60
49 Zamora;49002 Abezames;;Total;Total;2021;56
49 Zamora;49002 Abezames;;Total;Educación primaria e inferior;2023;13
49 Zamora;49002 Abezames;;Total;Educación primaria e inferior;2022;15
49 Zamora;49002 Abezames;;Total;Educación primaria e inferior;2021;16
49 Zamora;49002 Abezames;;Total;Primera etapa de Educación Secundaria y similar;2023;13
49 Zamora;49002 Abezames;;Total;Primera etapa de Educación Secundaria y similar;2022;14
49 Zamora;49002 Abezames;;Total;Primera etapa de Educación Secundaria y similar;2021;13
49 Zamora;49002 Abezames;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;14
49 Zamora;49002 Abezames;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;12
49 Zamora;49002 Abezames;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;9
49 Zamora;49002 Abezames;;Total;Educación superior;2023;20
49 Zamora;49002 Abezames;;Total;Educación superior;2022;19
49 Zamora;49002 Abezames;;Total;Educación superior;2021;18
49 Zamora;49002 Abezames;;Hombres;Total;2023;34
49 Zamora;49002 Abezames;;Hombres;Total;2022;32
49 Zamora;49002 Abezames;;Hombres;Total;2021;28
49 Zamora;49002 Abezames;;Hombres;Educación primaria e inferior;2023;6
49 Zamora;49002 Abezames;;Hombres;Educación primaria e inferior;2022;7
49 Zamora;49002 Abezames;;Hombres;Educación primaria e inferior;2021;6
49 Zamora;49002 Abezames;;Hombres;Primera etapa de Educación Secundaria y similar;2023;12
49 Zamora;49002 Abezames;;Hombres;Primera etapa de Educación Secundaria y similar;2022;13
49 Zamora;49002 Abezames;;Hombres;Primera etapa de Educación Secundaria y similar;2021;12
49 Zamora;49002 Abezames;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;9
49 Zamora;49002 Abezames;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;7
49 Zamora;49002 Abezames;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;5
49 Zamora;49002 Abezames;;Hombres;Educación superior;2023;7
49 Zamora;49002 Abezames;;Hombres;Educación superior;2022;5
49 Zamora;49002 Abezames;;Hombres;Educación superior;2021;5
49 Zamora;49002 Abezames;;Mujeres;Total;2023;26
49 Zamora;49002 Abezames;;Mujeres;Total;2022;28
49 Zamora;49002 Abezames;;Mujeres;Total;2021;28
