Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
05 Ávila;;;Total;Total;2023;140.021
05 Ávila;;;Total;Total;2022;139.327
05 Ávila;;;Total;Total;2021;138.678
05 Ávila;;;Total;Ocupado/a;2023;63.586
05 Ávila;;;Total;Ocupado/a;2022;63.320
05 Ávila;;;Total;Ocupado/a;2021;60.813
05 Ávila;;;Total;Parado/a;2023;9.311
05 Ávila;;;Total;Parado/a;2022;9.846
05 Ávila;;;Total;Parado/a;2021;12.576
05 Ávila;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;32.557
05 Ávila;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;32.111
05 Ávila;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;31.438
05 Ávila;;;Total;Otra situación de inactividad;2023;26.579
05 Ávila;;;Total;Otra situación de inactividad;2022;26.004
05 Ávila;;;Total;Otra situación de inactividad;2021;25.896
05 Ávila;;;Total;Estudiante;2023;7.988
05 Ávila;;;Total;Estudiante;2022;8.046
05 Ávila;;;Total;Estudiante;2021;7.955
05 Ávila;;;Hombres;Total;2023;70.034
05 Ávila;;;Hombres;Total;2022;69.780
05 Ávila;;;Hombres;Total;2021;69.399
05 Ávila;;;Hombres;Ocupado/a;2023;35.085
05 Ávila;;;Hombres;Ocupado/a;2022;35.058
05 Ávila;;;Hombres;Ocupado/a;2021;33.840
05 Ávila;;;Hombres;Parado/a;2023;3.766
05 Ávila;;;Hombres;Parado/a;2022;4.069
05 Ávila;;;Hombres;Parado/a;2021;5.447
05 Ávila;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;21.605
05 Ávila;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;21.536
05 Ávila;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;21.324
05 Ávila;;;Hombres;Otra situación de inactividad;2023;5.857
05 Ávila;;;Hombres;Otra situación de inactividad;2022;5.253
05 Ávila;;;Hombres;Otra situación de inactividad;2021;5.004
05 Ávila;;;Hombres;Estudiante;2023;3.721
05 Ávila;;;Hombres;Estudiante;2022;3.864
05 Ávila;;;Hombres;Estudiante;2021;3.784
05 Ávila;;;Mujeres;Total;2023;69.987
