Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
09 Burgos;;;Total;Total;2023;310.281
09 Burgos;;;Total;Total;2022;307.708
09 Burgos;;;Total;Total;2021;307.884
09 Burgos;;;Total;Ocupado/a;2023;152.025
09 Burgos;;;Total;Ocupado/a;2022;150.529
09 Burgos;;;Total;Ocupado/a;2021;146.350
09 Burgos;;;Total;Parado/a;2023;15.629
09 Burgos;;;Total;Parado/a;2022;16.963
09 Burgos;;;Total;Parado/a;2021;22.243
09 Burgos;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;74.606
09 Burgos;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;73.353
09 Burgos;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;72.223
09 Burgos;;;Total;Otra situación de inactividad;2023;49.765
09 Burgos;;;Total;Otra situación de inactividad;2022;48.905
09 Burgos;;;Total;Otra situación de inactividad;2021;48.945
09 Burgos;;;Total;Estudiante;2023;18.256
09 Burgos;;;Total;Estudiante;2022;17.958
09 Burgos;;;Total;Estudiante;2021;18.123
09 Burgos;;;Hombres;Total;2023;154.384
09 Burgos;;;Hombres;Total;2022;153.243
09 Burgos;;;Hombres;Total;2021;153.237
09 Burgos;;;Hombres;Ocupado/a;2023;81.959
09 Burgos;;;Hombres;Ocupado/a;2022;81.475
09 Burgos;;;Hombres;Ocupado/a;2021;79.815
09 Burgos;;;Hombres;Parado/a;2023;6.409
09 Burgos;;;Hombres;Parado/a;2022;7.034
09 Burgos;;;Hombres;Parado/a;2021;9.552
09 Burgos;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;44.994
09 Burgos;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;44.544
09 Burgos;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;44.156
09 Burgos;;;Hombres;Otra situación de inactividad;2023;12.068
09 Burgos;;;Hombres;Otra situación de inactividad;2022;11.276
09 Burgos;;;Hombres;Otra situación de inactividad;2021;10.808
09 Burgos;;;Hombres;Estudiante;2023;8.954
09 Burgos;;;Hombres;Estudiante;2022;8.914
09 Burgos;;;Hombres;Estudiante;2021;8.906
09 Burgos;;;Mujeres;Total;2023;155.897
09 Burgos;;;Mujeres;Total;2022;154.465
