Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
24 León;;;Total;Total;2023;399.660
24 León;;;Total;Total;2022;399.836
24 León;;;Total;Total;2021;402.002
24 León;;;Total;Ocupado/a;2023;173.187
24 León;;;Total;Ocupado/a;2022;171.670
24 León;;;Total;Ocupado/a;2021;167.031
24 León;;;Total;Parado/a;2023;23.626
24 León;;;Total;Parado/a;2022;25.654
24 León;;;Total;Parado/a;2021;33.229
24 León;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;109.505
24 León;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;109.229
24 León;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;108.966
24 León;;;Total;Otra situación de inactividad;2023;72.713
24 León;;;Total;Otra situación de inactividad;2022;72.288
24 León;;;Total;Otra situación de inactividad;2021;71.449
24 León;;;Total;Estudiante;2023;20.629
24 León;;;Total;Estudiante;2022;20.995
24 León;;;Total;Estudiante;2021;21.327
24 León;;;Hombres;Total;2023;192.960
24 León;;;Hombres;Total;2022;193.087
24 León;;;Hombres;Total;2021;194.074
24 León;;;Hombres;Ocupado/a;2023;90.093
24 León;;;Hombres;Ocupado/a;2022;89.507
24 León;;;Hombres;Ocupado/a;2021;87.397
24 León;;;Hombres;Parado/a;2023;9.723
24 León;;;Hombres;Parado/a;2022;10.959
24 León;;;Hombres;Parado/a;2021;14.493
24 León;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;66.450
24 León;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;66.573
24 León;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;66.652
24 León;;;Hombres;Otra situación de inactividad;2023;16.650
24 León;;;Hombres;Otra situación de inactividad;2022;15.785
24 León;;;Hombres;Otra situación de inactividad;2021;15.129
24 León;;;Hombres;Estudiante;2023;10.044
24 León;;;Hombres;Estudiante;2022;10.263
24 León;;;Hombres;Estudiante;2021;10.403
24 León;;;Mujeres;Total;2023;206.700
24 León;;;Mujeres;Total;2022;206.749
24 León;;;Mujeres;Total;2021;207.928
24 León;;;Mujeres;Ocupado/a;2023;83.094
24 León;;;Mujeres;Ocupado/a;2022;82.163
24 León;;;Mujeres;Ocupado/a;2021;79.634
24 León;;;Mujeres;Parado/a;2023;13.903
24 León;;;Mujeres;Parado/a;2022;14.695
24 León;;;Mujeres;Parado/a;2021;18.736
24 León;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;43.055
