Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
34 Palencia;;;Total;Total;2023;139.270
34 Palencia;;;Total;Total;2022;139.390
34 Palencia;;;Total;Total;2021;140.204
34 Palencia;;;Total;Ocupado/a;2023;65.392
34 Palencia;;;Total;Ocupado/a;2022;64.812
34 Palencia;;;Total;Ocupado/a;2021;63.378
34 Palencia;;;Total;Parado/a;2023;7.359
34 Palencia;;;Total;Parado/a;2022;8.255
34 Palencia;;;Total;Parado/a;2021;10.529
34 Palencia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;34.360
34 Palencia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;33.837
34 Palencia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;33.377
34 Palencia;;;Total;Otra situación de inactividad;2023;24.528
34 Palencia;;;Total;Otra situación de inactividad;2022;24.864
34 Palencia;;;Total;Otra situación de inactividad;2021;25.316
34 Palencia;;;Total;Estudiante;2023;7.631
34 Palencia;;;Total;Estudiante;2022;7.622
34 Palencia;;;Total;Estudiante;2021;7.604
34 Palencia;;;Hombres;Total;2023;68.508
34 Palencia;;;Hombres;Total;2022;68.689
34 Palencia;;;Hombres;Total;2021;69.109
34 Palencia;;;Hombres;Ocupado/a;2023;35.465
34 Palencia;;;Hombres;Ocupado/a;2022;35.195
34 Palencia;;;Hombres;Ocupado/a;2021;34.508
34 Palencia;;;Hombres;Parado/a;2023;2.984
34 Palencia;;;Hombres;Parado/a;2022;3.521
34 Palencia;;;Hombres;Parado/a;2021;4.600
34 Palencia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;21.968
34 Palencia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;21.930
34 Palencia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;21.823
34 Palencia;;;Hombres;Otra situación de inactividad;2023;4.496
34 Palencia;;;Hombres;Otra situación de inactividad;2022;4.403
34 Palencia;;;Hombres;Otra situación de inactividad;2021;4.449
34 Palencia;;;Hombres;Estudiante;2023;3.595
34 Palencia;;;Hombres;Estudiante;2022;3.640
34 Palencia;;;Hombres;Estudiante;2021;3.729
34 Palencia;;;Mujeres;Total;2023;70.762
34 Palencia;;;Mujeres;Total;2022;70.701
34 Palencia;;;Mujeres;Total;2021;71.095
34 Palencia;;;Mujeres;Ocupado/a;2023;29.927
34 Palencia;;;Mujeres;Ocupado/a;2022;29.617
34 Palencia;;;Mujeres;Ocupado/a;2021;28.870
34 Palencia;;;Mujeres;Parado/a;2023;4.375
34 Palencia;;;Mujeres;Parado/a;2022;4.734
34 Palencia;;;Mujeres;Parado/a;2021;5.929
34 Palencia;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;12.392
34 Palencia;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;11.907
34 Palencia;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;11.554
34 Palencia;;;Mujeres;Otra situación de inactividad;2023;20.032
34 Palencia;;;Mujeres;Otra situación de inactividad;2022;20.461
34 Palencia;;;Mujeres;Otra situación de inactividad;2021;20.867
34 Palencia;;;Mujeres;Estudiante;2023;4.036
34 Palencia;;;Mujeres;Estudiante;2022;3.982
34 Palencia;;;Mujeres;Estudiante;2021;3.875
34 Palencia;34001 Abarca de Campos;;Total;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Ocupado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Ocupado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Ocupado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Parado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Total;Parado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Total;Parado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;;Total;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;;Total;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;;Total;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;;Total;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;;Total;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;;Total;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Hombres;Ocupado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Ocupado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Ocupado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Hombres;Parado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Parado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Parado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Parado/a;2023;""
