Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
37 Salamanca;;;Total;Total;2023;288.752
37 Salamanca;;;Total;Total;2022;287.725
37 Salamanca;;;Total;Total;2021;288.338
37 Salamanca;;;Total;Ocupado/a;2023;130.738
37 Salamanca;;;Total;Ocupado/a;2022;129.957
37 Salamanca;;;Total;Ocupado/a;2021;126.177
37 Salamanca;;;Total;Parado/a;2023;18.859
37 Salamanca;;;Total;Parado/a;2022;19.421
37 Salamanca;;;Total;Parado/a;2021;25.063
37 Salamanca;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;67.650
37 Salamanca;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;66.976
37 Salamanca;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;66.004
37 Salamanca;;;Total;Otra situación de inactividad;2023;53.570
37 Salamanca;;;Total;Otra situación de inactividad;2022;53.539
37 Salamanca;;;Total;Otra situación de inactividad;2021;53.637
37 Salamanca;;;Total;Estudiante;2023;17.935
37 Salamanca;;;Total;Estudiante;2022;17.832
37 Salamanca;;;Total;Estudiante;2021;17.457
37 Salamanca;;;Hombres;Total;2023;138.999
37 Salamanca;;;Hombres;Total;2022;138.623
37 Salamanca;;;Hombres;Total;2021;138.957
37 Salamanca;;;Hombres;Ocupado/a;2023;70.155
37 Salamanca;;;Hombres;Ocupado/a;2022;70.133
37 Salamanca;;;Hombres;Ocupado/a;2021;68.446
37 Salamanca;;;Hombres;Parado/a;2023;7.413
37 Salamanca;;;Hombres;Parado/a;2022;7.680
37 Salamanca;;;Hombres;Parado/a;2021;10.217
37 Salamanca;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;42.470
37 Salamanca;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;42.415
37 Salamanca;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;42.332
37 Salamanca;;;Hombres;Otra situación de inactividad;2023;10.453
37 Salamanca;;;Hombres;Otra situación de inactividad;2022;9.914
37 Salamanca;;;Hombres;Otra situación de inactividad;2021;9.597
37 Salamanca;;;Hombres;Estudiante;2023;8.508
37 Salamanca;;;Hombres;Estudiante;2022;8.481
37 Salamanca;;;Hombres;Estudiante;2021;8.365
37 Salamanca;;;Mujeres;Total;2023;149.753
37 Salamanca;;;Mujeres;Total;2022;149.102
37 Salamanca;;;Mujeres;Total;2021;149.381
37 Salamanca;;;Mujeres;Ocupado/a;2023;60.583
37 Salamanca;;;Mujeres;Ocupado/a;2022;59.824
37 Salamanca;;;Mujeres;Ocupado/a;2021;57.731
37 Salamanca;;;Mujeres;Parado/a;2023;11.446
37 Salamanca;;;Mujeres;Parado/a;2022;11.741
37 Salamanca;;;Mujeres;Parado/a;2021;14.846
37 Salamanca;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;25.180
37 Salamanca;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;24.561
37 Salamanca;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;23.672
37 Salamanca;;;Mujeres;Otra situación de inactividad;2023;43.117
37 Salamanca;;;Mujeres;Otra situación de inactividad;2022;43.625
37 Salamanca;;;Mujeres;Otra situación de inactividad;2021;44.040
37 Salamanca;;;Mujeres;Estudiante;2023;9.427
37 Salamanca;;;Mujeres;Estudiante;2022;9.351
37 Salamanca;;;Mujeres;Estudiante;2021;9.092
37 Salamanca;37001 Abusejo;;Total;Total;2023;146
37 Salamanca;37001 Abusejo;;Total;Total;2022;155
37 Salamanca;37001 Abusejo;;Total;Total;2021;161
37 Salamanca;37001 Abusejo;;Total;Ocupado/a;2023;45
37 Salamanca;37001 Abusejo;;Total;Ocupado/a;2022;44
37 Salamanca;37001 Abusejo;;Total;Ocupado/a;2021;48
37 Salamanca;37001 Abusejo;;Total;Parado/a;2023;7
37 Salamanca;37001 Abusejo;;Total;Parado/a;2022;9
37 Salamanca;37001 Abusejo;;Total;Parado/a;2021;10
37 Salamanca;37001 Abusejo;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;50
37 Salamanca;37001 Abusejo;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;52
37 Salamanca;37001 Abusejo;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;53
37 Salamanca;37001 Abusejo;;Total;Otra situación de inactividad;2023;42
37 Salamanca;37001 Abusejo;;Total;Otra situación de inactividad;2022;48
37 Salamanca;37001 Abusejo;;Total;Otra situación de inactividad;2021;46
37 Salamanca;37001 Abusejo;;Total;Estudiante;2023;2
37 Salamanca;37001 Abusejo;;Total;Estudiante;2022;2
37 Salamanca;37001 Abusejo;;Total;Estudiante;2021;4
