Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
40 Segovia;;;Total;Total;2023;134.542
40 Segovia;;;Total;Total;2022;132.914
40 Segovia;;;Total;Total;2021;132.411
40 Segovia;;;Total;Ocupado/a;2023;69.069
40 Segovia;;;Total;Ocupado/a;2022;68.355
40 Segovia;;;Total;Ocupado/a;2021;65.786
40 Segovia;;;Total;Parado/a;2023;5.868
40 Segovia;;;Total;Parado/a;2022;6.221
40 Segovia;;;Total;Parado/a;2021;8.816
40 Segovia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27.512
40 Segovia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;26.883
40 Segovia;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;26.337
40 Segovia;;;Total;Otra situación de inactividad;2023;23.791
40 Segovia;;;Total;Otra situación de inactividad;2022;23.182
40 Segovia;;;Total;Otra situación de inactividad;2021;23.185
40 Segovia;;;Total;Estudiante;2023;8.302
40 Segovia;;;Total;Estudiante;2022;8.273
40 Segovia;;;Total;Estudiante;2021;8.287
40 Segovia;;;Hombres;Total;2023;67.207
40 Segovia;;;Hombres;Total;2022;66.517
40 Segovia;;;Hombres;Total;2021;66.251
40 Segovia;;;Hombres;Ocupado/a;2023;37.900
40 Segovia;;;Hombres;Ocupado/a;2022;37.667
40 Segovia;;;Hombres;Ocupado/a;2021;36.437
40 Segovia;;;Hombres;Parado/a;2023;2.358
40 Segovia;;;Hombres;Parado/a;2022;2.562
40 Segovia;;;Hombres;Parado/a;2021;3.874
40 Segovia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;17.463
40 Segovia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;17.286
40 Segovia;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;17.161
40 Segovia;;;Hombres;Otra situación de inactividad;2023;5.603
40 Segovia;;;Hombres;Otra situación de inactividad;2022;5.079
40 Segovia;;;Hombres;Otra situación de inactividad;2021;4.826
40 Segovia;;;Hombres;Estudiante;2023;3.883
40 Segovia;;;Hombres;Estudiante;2022;3.923
40 Segovia;;;Hombres;Estudiante;2021;3.953
40 Segovia;;;Mujeres;Total;2023;67.335
