Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
42 Soria;;;Total;Total;2023;78.021
42 Soria;;;Total;Total;2022;77.018
42 Soria;;;Total;Total;2021;77.271
42 Soria;;;Total;Ocupado/a;2023;39.756
42 Soria;;;Total;Ocupado/a;2022;39.133
42 Soria;;;Total;Ocupado/a;2021;38.552
42 Soria;;;Total;Parado/a;2023;3.029
42 Soria;;;Total;Parado/a;2022;3.279
42 Soria;;;Total;Parado/a;2021;4.412
42 Soria;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;18.636
42 Soria;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;18.340
42 Soria;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;18.090
42 Soria;;;Total;Otra situación de inactividad;2023;11.861
42 Soria;;;Total;Otra situación de inactividad;2022;11.600
42 Soria;;;Total;Otra situación de inactividad;2021;11.648
42 Soria;;;Total;Estudiante;2023;4.739
42 Soria;;;Total;Estudiante;2022;4.666
42 Soria;;;Total;Estudiante;2021;4.569
42 Soria;;;Hombres;Total;2023;39.449
42 Soria;;;Hombres;Total;2022;38.922
42 Soria;;;Hombres;Total;2021;39.014
42 Soria;;;Hombres;Ocupado/a;2023;21.632
42 Soria;;;Hombres;Ocupado/a;2022;21.271
42 Soria;;;Hombres;Ocupado/a;2021;21.048
42 Soria;;;Hombres;Parado/a;2023;1.359
42 Soria;;;Hombres;Parado/a;2022;1.502
42 Soria;;;Hombres;Parado/a;2021;1.981
42 Soria;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;11.273
42 Soria;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;11.218
42 Soria;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;11.180
42 Soria;;;Hombres;Otra situación de inactividad;2023;2.944
42 Soria;;;Hombres;Otra situación de inactividad;2022;2.708
42 Soria;;;Hombres;Otra situación de inactividad;2021;2.610
42 Soria;;;Hombres;Estudiante;2023;2.241
42 Soria;;;Hombres;Estudiante;2022;2.223
42 Soria;;;Hombres;Estudiante;2021;2.195
42 Soria;;;Mujeres;Total;2023;38.572
42 Soria;;;Mujeres;Total;2022;38.096
42 Soria;;;Mujeres;Total;2021;38.257
42 Soria;;;Mujeres;Ocupado/a;2023;18.124
42 Soria;;;Mujeres;Ocupado/a;2022;17.862
42 Soria;;;Mujeres;Ocupado/a;2021;17.504
42 Soria;;;Mujeres;Parado/a;2023;1.670
42 Soria;;;Mujeres;Parado/a;2022;1.777
42 Soria;;;Mujeres;Parado/a;2021;2.431
42 Soria;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;7.363
42 Soria;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;7.122
42 Soria;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;6.910
42 Soria;;;Mujeres;Otra situación de inactividad;2023;8.917
42 Soria;;;Mujeres;Otra situación de inactividad;2022;8.892
42 Soria;;;Mujeres;Otra situación de inactividad;2021;9.038
42 Soria;;;Mujeres;Estudiante;2023;2.498
42 Soria;;;Mujeres;Estudiante;2022;2.443
42 Soria;;;Mujeres;Estudiante;2021;2.374
42 Soria;42001 Abejar;;Total;Total;2023;319
42 Soria;42001 Abejar;;Total;Total;2022;250
42 Soria;42001 Abejar;;Total;Total;2021;254
42 Soria;42001 Abejar;;Total;Ocupado/a;2023;121
42 Soria;42001 Abejar;;Total;Ocupado/a;2022;106
42 Soria;42001 Abejar;;Total;Ocupado/a;2021;103
42 Soria;42001 Abejar;;Total;Parado/a;2023;19
42 Soria;42001 Abejar;;Total;Parado/a;2022;20
42 Soria;42001 Abejar;;Total;Parado/a;2021;25
42 Soria;42001 Abejar;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;80
42 Soria;42001 Abejar;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;81
42 Soria;42001 Abejar;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;81
42 Soria;42001 Abejar;;Total;Otra situación de inactividad;2023;84
42 Soria;42001 Abejar;;Total;Otra situación de inactividad;2022;33
42 Soria;42001 Abejar;;Total;Otra situación de inactividad;2021;34
42 Soria;42001 Abejar;;Total;Estudiante;2023;15
42 Soria;42001 Abejar;;Total;Estudiante;2022;10
42 Soria;42001 Abejar;;Total;Estudiante;2021;11
42 Soria;42001 Abejar;;Hombres;Total;2023;160
