Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
47 Valladolid;;;Total;Total;2023;451.928
47 Valladolid;;;Total;Total;2022;448.055
47 Valladolid;;;Total;Total;2021;447.899
47 Valladolid;;;Total;Ocupado/a;2023;223.492
47 Valladolid;;;Total;Ocupado/a;2022;220.726
47 Valladolid;;;Total;Ocupado/a;2021;214.980
47 Valladolid;;;Total;Parado/a;2023;25.272
47 Valladolid;;;Total;Parado/a;2022;26.854
47 Valladolid;;;Total;Parado/a;2021;34.375
47 Valladolid;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;95.806
47 Valladolid;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;94.398
47 Valladolid;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;92.909
47 Valladolid;;;Total;Otra situación de inactividad;2023;80.314
47 Valladolid;;;Total;Otra situación de inactividad;2022;79.200
47 Valladolid;;;Total;Otra situación de inactividad;2021;79.004
47 Valladolid;;;Total;Estudiante;2023;27.044
47 Valladolid;;;Total;Estudiante;2022;26.877
47 Valladolid;;;Total;Estudiante;2021;26.631
47 Valladolid;;;Hombres;Total;2023;218.116
47 Valladolid;;;Hombres;Total;2022;216.359
47 Valladolid;;;Hombres;Total;2021;216.381
47 Valladolid;;;Hombres;Ocupado/a;2023;118.061
47 Valladolid;;;Hombres;Ocupado/a;2022;116.909
47 Valladolid;;;Hombres;Ocupado/a;2021;114.725
47 Valladolid;;;Hombres;Parado/a;2023;10.010
47 Valladolid;;;Hombres;Parado/a;2022;11.002
47 Valladolid;;;Hombres;Parado/a;2021;14.280
47 Valladolid;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;61.384
47 Valladolid;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;61.075
47 Valladolid;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;60.833
47 Valladolid;;;Hombres;Otra situación de inactividad;2023;15.396
47 Valladolid;;;Hombres;Otra situación de inactividad;2022;14.093
47 Valladolid;;;Hombres;Otra situación de inactividad;2021;13.530
47 Valladolid;;;Hombres;Estudiante;2023;13.265
47 Valladolid;;;Hombres;Estudiante;2022;13.280
47 Valladolid;;;Hombres;Estudiante;2021;13.013
47 Valladolid;;;Mujeres;Total;2023;233.812
47 Valladolid;;;Mujeres;Total;2022;231.696
47 Valladolid;;;Mujeres;Total;2021;231.518
47 Valladolid;;;Mujeres;Ocupado/a;2023;105.431
47 Valladolid;;;Mujeres;Ocupado/a;2022;103.817
47 Valladolid;;;Mujeres;Ocupado/a;2021;100.255
47 Valladolid;;;Mujeres;Parado/a;2023;15.262
47 Valladolid;;;Mujeres;Parado/a;2022;15.852
47 Valladolid;;;Mujeres;Parado/a;2021;20.095
47 Valladolid;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;34.422
47 Valladolid;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;33.323
47 Valladolid;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;32.076
47 Valladolid;;;Mujeres;Otra situación de inactividad;2023;64.918
47 Valladolid;;;Mujeres;Otra situación de inactividad;2022;65.107
47 Valladolid;;;Mujeres;Otra situación de inactividad;2021;65.474
47 Valladolid;;;Mujeres;Estudiante;2023;13.779
47 Valladolid;;;Mujeres;Estudiante;2022;13.597
47 Valladolid;;;Mujeres;Estudiante;2021;13.618
47 Valladolid;47001 Adalia;;Total;Total;2023;51
47 Valladolid;47001 Adalia;;Total;Total;2022;54
47 Valladolid;47001 Adalia;;Total;Total;2021;52
47 Valladolid;47001 Adalia;;Total;Ocupado/a;2023;25
47 Valladolid;47001 Adalia;;Total;Ocupado/a;2022;25
47 Valladolid;47001 Adalia;;Total;Ocupado/a;2021;23
47 Valladolid;47001 Adalia;;Total;Parado/a;2023;2
47 Valladolid;47001 Adalia;;Total;Parado/a;2022;2
47 Valladolid;47001 Adalia;;Total;Parado/a;2021;4
47 Valladolid;47001 Adalia;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;15
47 Valladolid;47001 Adalia;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;14
47 Valladolid;47001 Adalia;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12
47 Valladolid;47001 Adalia;;Total;Otra situación de inactividad;2023;8
47 Valladolid;47001 Adalia;;Total;Otra situación de inactividad;2022;8
47 Valladolid;47001 Adalia;;Total;Otra situación de inactividad;2021;8
47 Valladolid;47001 Adalia;;Total;Estudiante;2023;1
47 Valladolid;47001 Adalia;;Total;Estudiante;2022;5
47 Valladolid;47001 Adalia;;Total;Estudiante;2021;5
47 Valladolid;47001 Adalia;;Hombres;Total;2023;30
47 Valladolid;47001 Adalia;;Hombres;Total;2022;32
47 Valladolid;47001 Adalia;;Hombres;Total;2021;30
47 Valladolid;47001 Adalia;;Hombres;Ocupado/a;2023;17
47 Valladolid;47001 Adalia;;Hombres;Ocupado/a;2022;19
47 Valladolid;47001 Adalia;;Hombres;Ocupado/a;2021;17
47 Valladolid;47001 Adalia;;Hombres;Parado/a;2023;1
47 Valladolid;47001 Adalia;;Hombres;Parado/a;2022;1
47 Valladolid;47001 Adalia;;Hombres;Parado/a;2021;2
47 Valladolid;47001 Adalia;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;11
47 Valladolid;47001 Adalia;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;11
47 Valladolid;47001 Adalia;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;10
47 Valladolid;47001 Adalia;;Hombres;Otra situación de inactividad;2023;1
47 Valladolid;47001 Adalia;;Hombres;Otra situación de inactividad;2022;1
47 Valladolid;47001 Adalia;;Hombres;Otra situación de inactividad;2021;1
47 Valladolid;47001 Adalia;;Hombres;Estudiante;2023;0
47 Valladolid;47001 Adalia;;Hombres;Estudiante;2022;0
47 Valladolid;47001 Adalia;;Hombres;Estudiante;2021;0
47 Valladolid;47001 Adalia;;Mujeres;Total;2023;21
47 Valladolid;47001 Adalia;;Mujeres;Total;2022;22
47 Valladolid;47001 Adalia;;Mujeres;Total;2021;22
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2023;8
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2021;6
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2023;1
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2022;1
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2021;2
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;4
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;3
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;2
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2023;7
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2022;7
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2021;7
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2023;1
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2022;5
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2021;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2023;51
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2022;54
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2021;52
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Ocupado/a;2023;25
