Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
49 Zamora;;;Total;Total;2023;150.627
49 Zamora;;;Total;Total;2022;151.429
49 Zamora;;;Total;Total;2021;152.335
49 Zamora;;;Total;Ocupado/a;2023;65.864
49 Zamora;;;Total;Ocupado/a;2022;65.825
49 Zamora;;;Total;Ocupado/a;2021;64.237
49 Zamora;;;Total;Parado/a;2023;9.798
49 Zamora;;;Total;Parado/a;2022;9.951
49 Zamora;;;Total;Parado/a;2021;12.857
49 Zamora;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;38.999
49 Zamora;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;38.856
49 Zamora;;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;38.463
49 Zamora;;;Total;Otra situación de inactividad;2023;28.653
49 Zamora;;;Total;Otra situación de inactividad;2022;29.366
49 Zamora;;;Total;Otra situación de inactividad;2021;29.279
49 Zamora;;;Total;Estudiante;2023;7.313
49 Zamora;;;Total;Estudiante;2022;7.431
49 Zamora;;;Total;Estudiante;2021;7.499
49 Zamora;;;Hombres;Total;2023;74.272
49 Zamora;;;Hombres;Total;2022;74.654
49 Zamora;;;Hombres;Total;2021;75.068
49 Zamora;;;Hombres;Ocupado/a;2023;36.023
49 Zamora;;;Hombres;Ocupado/a;2022;36.081
49 Zamora;;;Hombres;Ocupado/a;2021;35.508
49 Zamora;;;Hombres;Parado/a;2023;4.058
49 Zamora;;;Hombres;Parado/a;2022;4.350
49 Zamora;;;Hombres;Parado/a;2021;5.622
49 Zamora;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;25.650
49 Zamora;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;25.732
49 Zamora;;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;25.734
49 Zamora;;;Hombres;Otra situación de inactividad;2023;5.059
49 Zamora;;;Hombres;Otra situación de inactividad;2022;4.917
49 Zamora;;;Hombres;Otra situación de inactividad;2021;4.563
49 Zamora;;;Hombres;Estudiante;2023;3.482
49 Zamora;;;Hombres;Estudiante;2022;3.574
49 Zamora;;;Hombres;Estudiante;2021;3.641
49 Zamora;;;Mujeres;Total;2023;76.355
49 Zamora;;;Mujeres;Total;2022;76.775
49 Zamora;;;Mujeres;Total;2021;77.267
49 Zamora;;;Mujeres;Ocupado/a;2023;29.841
49 Zamora;;;Mujeres;Ocupado/a;2022;29.744
49 Zamora;;;Mujeres;Ocupado/a;2021;28.729
49 Zamora;;;Mujeres;Parado/a;2023;5.740
49 Zamora;;;Mujeres;Parado/a;2022;5.601
49 Zamora;;;Mujeres;Parado/a;2021;7.235
49 Zamora;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;13.349
49 Zamora;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;13.124
49 Zamora;;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12.729
49 Zamora;;;Mujeres;Otra situación de inactividad;2023;23.594
49 Zamora;;;Mujeres;Otra situación de inactividad;2022;24.449
49 Zamora;;;Mujeres;Otra situación de inactividad;2021;24.716
49 Zamora;;;Mujeres;Estudiante;2023;3.831
49 Zamora;;;Mujeres;Estudiante;2022;3.857
49 Zamora;;;Mujeres;Estudiante;2021;3.858
49 Zamora;49002 Abezames;;Total;Total;2023;60
49 Zamora;49002 Abezames;;Total;Total;2022;60
49 Zamora;49002 Abezames;;Total;Total;2021;56
49 Zamora;49002 Abezames;;Total;Ocupado/a;2023;34
49 Zamora;49002 Abezames;;Total;Ocupado/a;2022;34
49 Zamora;49002 Abezames;;Total;Ocupado/a;2021;31
49 Zamora;49002 Abezames;;Total;Parado/a;2023;1
49 Zamora;49002 Abezames;;Total;Parado/a;2022;0
49 Zamora;49002 Abezames;;Total;Parado/a;2021;2
49 Zamora;49002 Abezames;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;19
49 Zamora;49002 Abezames;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;20
49 Zamora;49002 Abezames;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;16
49 Zamora;49002 Abezames;;Total;Otra situación de inactividad;2023;5
49 Zamora;49002 Abezames;;Total;Otra situación de inactividad;2022;5
49 Zamora;49002 Abezames;;Total;Otra situación de inactividad;2021;6
49 Zamora;49002 Abezames;;Total;Estudiante;2023;1
49 Zamora;49002 Abezames;;Total;Estudiante;2022;1
49 Zamora;49002 Abezames;;Total;Estudiante;2021;1
49 Zamora;49002 Abezames;;Hombres;Total;2023;34
49 Zamora;49002 Abezames;;Hombres;Total;2022;32
49 Zamora;49002 Abezames;;Hombres;Total;2021;28
49 Zamora;49002 Abezames;;Hombres;Ocupado/a;2023;17
49 Zamora;49002 Abezames;;Hombres;Ocupado/a;2022;17
49 Zamora;49002 Abezames;;Hombres;Ocupado/a;2021;16
49 Zamora;49002 Abezames;;Hombres;Parado/a;2023;0
49 Zamora;49002 Abezames;;Hombres;Parado/a;2022;0
49 Zamora;49002 Abezames;;Hombres;Parado/a;2021;0
49 Zamora;49002 Abezames;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;13
49 Zamora;49002 Abezames;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;14
49 Zamora;49002 Abezames;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;11
49 Zamora;49002 Abezames;;Hombres;Otra situación de inactividad;2023;3
49 Zamora;49002 Abezames;;Hombres;Otra situación de inactividad;2022;1
49 Zamora;49002 Abezames;;Hombres;Otra situación de inactividad;2021;0
49 Zamora;49002 Abezames;;Hombres;Estudiante;2023;1
49 Zamora;49002 Abezames;;Hombres;Estudiante;2022;0
49 Zamora;49002 Abezames;;Hombres;Estudiante;2021;1
49 Zamora;49002 Abezames;;Mujeres;Total;2023;26
49 Zamora;49002 Abezames;;Mujeres;Total;2022;28
49 Zamora;49002 Abezames;;Mujeres;Total;2021;28
49 Zamora;49002 Abezames;;Mujeres;Ocupado/a;2023;17
49 Zamora;49002 Abezames;;Mujeres;Ocupado/a;2022;17
49 Zamora;49002 Abezames;;Mujeres;Ocupado/a;2021;15
49 Zamora;49002 Abezames;;Mujeres;Parado/a;2023;1
49 Zamora;49002 Abezames;;Mujeres;Parado/a;2022;0
49 Zamora;49002 Abezames;;Mujeres;Parado/a;2021;2
49 Zamora;49002 Abezames;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;6
49 Zamora;49002 Abezames;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;6
49 Zamora;49002 Abezames;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;5
49 Zamora;49002 Abezames;;Mujeres;Otra situación de inactividad;2023;2
49 Zamora;49002 Abezames;;Mujeres;Otra situación de inactividad;2022;4
49 Zamora;49002 Abezames;;Mujeres;Otra situación de inactividad;2021;6
49 Zamora;49002 Abezames;;Mujeres;Estudiante;2023;0
49 Zamora;49002 Abezames;;Mujeres;Estudiante;2022;1
49 Zamora;49002 Abezames;;Mujeres;Estudiante;2021;0
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2023;60
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2022;60
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Total;2021;56
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Ocupado/a;2023;34
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Ocupado/a;2022;34
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Ocupado/a;2021;31
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Parado/a;2023;1
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Parado/a;2022;0
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Parado/a;2021;2
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;19
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;20
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;16
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Otra situación de inactividad;2023;5
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Otra situación de inactividad;2022;5
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Otra situación de inactividad;2021;6
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Estudiante;2023;1
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Estudiante;2022;1
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Total;Estudiante;2021;1
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Hombres;Total;2023;34
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Hombres;Total;2022;32
49 Zamora;49002 Abezames;4900201001 Abezames sección 01001;Hombres;Total;2021;28
