CUSEC;dist_min_ceas_km;disp_ponderada_ceas;dist_min_especializada_km;disp_ponderada_especializada;dist_min_primaria_km;disp_ponderada_primaria;dist_min_INFANTIL_Y_PRIMARIA_km;disp_ponderada_INFANTIL_Y_PRIMARIA;dist_min_ADULTOS_E_IDIOMAS_km;disp_ponderada_ADULTOS_E_IDIOMAS;dist_min_SECUNDARIA_Y_BACHILLERATO_km;disp_ponderada_SECUNDARIA_Y_BACHILLERATO;dist_min_EDUCACIÓN_ESPECIAL_km;disp_ponderada_EDUCACIÓN_ESPECIAL;dist_min_FORMACIÓN_PROFESIONAL_km;disp_ponderada_FORMACIÓN_PROFESIONAL;dist_min_BUS_km;disp_ponderada_BUS;dist_min_RAIL_km;disp_ponderada_RAIL;n_lineas_bus;n_lineas_rail;n_lineas_total;dist_min_INCLUSIÓN_SOCIAL_km;disp_ponderada_INCLUSIÓN_SOCIAL;dist_min_POBLACIÓN_GENERAL_km;disp_ponderada_POBLACIÓN_GENERAL;dist_min_TOXICOMANÍAS_Y_ADICCIONES_km;disp_ponderada_TOXICOMANÍAS_Y_ADICCIONES;dist_min_PERSONAS_CON_DISCAPACIDAD_km;disp_ponderada_PERSONAS_CON_DISCAPACIDAD;dist_min_FAMILIA_km;disp_ponderada_FAMILIA;dist_min_MUJER_km;disp_ponderada_MUJER;dist_min_INFANCIA_Y_JUVENTUD_km;disp_ponderada_INFANCIA_Y_JUVENTUD;dist_min_VOLUNTARIADO_km;disp_ponderada_VOLUNTARIADO;dist_min_PERSONAS_MAYORES_km;disp_ponderada_PERSONAS_MAYORES
0500101001;5,689;0,500;27,566;0,100;12,416;0,800;5,689;2,958;15,854;0,200;12,416;1,040;34,061;0,000;27,948;0,120;24,678;1,100;12,416;0,500;0;0;0;27,566;0,100;31,589;0,000;32,936;0,000;32,936;0,000;32,936;0,000;18,017;0,100;32,936;0,000;32,936;0,000;17,898;0,200
0500201001;6,278;1,200;36,403;0,000;6,210;0,700;0,000;4,368;6,278;0,400;0,000;2,310;40,337;0,000;36,877;0,000;35,680;0,000;35,595;0,000;0;0;0;16,090;0,100;41,964;0,000;13,620;0,300;41,964;0,000;41,964;0,000;41,964;0,000;41,964;0,000;41,964;0,000;6,278;0,700
0500201002;0,000;2,100;34,804;0,000;4,415;1,400;4,415;4,396;8,490;0,400;4,415;1,890;33,990;0,000;33,990;0,000;29,510;0,200;29,030;0,100;0;0;0;13,292;0,300;35,691;0,000;7,589;0,300;35,691;0,000;35,691;0,000;35,691;0,000;35,691;0,000;35,691;0,000;8,490;0,800
0500501001;7,867;1,000;24,921;0,300;4,690;1,800;4,690;5,450;25,573;0,400;11,828;1,378;27,353;0,156;23,717;0,220;4,690;5,700;4,690;1,700;0;0;0;24,921;0,200;25,150;0,100;25,150;0,100;25,150;0,100;25,150;0,100;9,933;0,400;25,150;0,100;25,150;0,100;11,828;0,600
0500701001;7,358;0,900;29,082;0,100;7,358;0,900;7,401;2,894;7,358;0,400;7,358;1,326;66,221;0,000;28,538;0,130;19,250;1,200;60,063;0,000;0;0;0;9,205;0,400;67,102;0,000;63,813;0,000;9,205;0,300;67,102;0,000;9,205;0,300;66,279;0,000;67,102;0,000;26,544;0,100
0500801001;8,006;0,600;28,317;0,100;9,068;0,900;6,010;3,192;7,485;0,400;7,485;1,196;45,589;0,000;28,658;0,250;24,868;0,500;9,068;0,600;0;0;0;40,393;0,000;34,847;0,000;43,753;0,000;43,753;0,000;34,847;0,000;15,633;0,100;43,753;0,000;43,753;0,000;0,000;1,700
0501001001;8,040;0,800;31,381;0,000;8,040;0,800;6,069;2,178;11,395;0,300;8,040;1,066;62,556;0,000;30,851;0,000;18,374;1,000;55,016;0,000;0;0;0;12,980;0,300;63,559;0,000;61,143;0,000;12,980;0,300;63,559;0,000;12,980;0,300;62,455;0,000;63,559;0,000;25,374;0,100
0501201001;4,054;0,800;32,241;0,000;4,054;1,200;4,054;2,828;31,791;0,000;26,304;0,156;32,995;0,000;26,803;0,120;25,707;0,600;28,947;0,100;0;0;0;31,803;0,000;31,803;0,000;31,803;0,000;31,803;0,000;31,803;0,000;31,803;0,000;31,803;0,000;31,803;0,000;4,260;0,800
0501301001;7,610;1,200;5,715;0,300;5,715;1,200;0,000;3,474;5,715;0,300;7,610;0,520;53,008;0,000;7,610;0,390;46,595;0,000;53,974;0,000;0;0;0;39,246;0,000;53,188;0,000;37,198;0,000;39,246;0,000;53,188;0,000;39,246;0,000;53,188;0,000;53,188;0,000;8,578;0,700
0501401001;0,000;1,600;1,897;0,600;1,897;1,400;0,000;3,848;1,897;0,600;0,000;1,690;59,153;0,000;0,000;1,300;52,800;0,000;60,190;0,000;0;0;0;41,472;0,000;59,505;0,000;40,819;0,000;41,472;0,000;59,505;0,000;41,472;0,000;59,505;0,000;59,505;0,000;15,919;0,300
0501401002;2,069;1,100;3,090;0,600;3,090;1,400;2,069;3,084;3,090;0,600;2,069;1,170;60,614;0,000;2,069;0,780;52,150;0,000;61,629;0,000;0;0;0;39,740;0,000;60,911;0,000;42,732;0,000;39,740;0,000;60,911;0,000;39,740;0,000;60,911;0,000;60,911;0,000;16,023;0,200
0501402001;2,276;1,400;1,685;0,600;1,685;1,600;2,276;3,424;1,685;0,600;2,276;1,170;58,739;0,000;2,276;0,780;51,356;0,000;59,743;0,000;0;0;0;39,394;0,000;59,008;0,000;41,325;0,000;39,394;0,000;59,008;0,000;39,394;0,000;59,008;0,000;59,008;0,000;14,075;0,500
0501402002;1,897;1,400;0,000;1,000;0,000;2,000;1,897;3,312;0,000;1,000;1,897;0,910;57,552;0,000;1,897;0,780;51,181;0,000;58,573;0,000;0;0;0;40,860;0,000;57,867;0,000;39,755;0,000;40,860;0,000;57,867;0,000;40,860;0,000;57,867;0,000;57,867;0,000;14,079;0,500
0501403001;4,887;1,100;6,649;0,300;6,649;0,900;4,238;3,044;6,649;0,300;4,887;1,170;64,012;0,000;4,887;0,780;54,429;0,000;65,055;0,000;0;0;0;41,301;0,000;64,379;0,000;45,145;0,000;41,301;0,000;64,379;0,000;41,301;0,000;64,379;0,000;64,379;0,000;15,099;0,200
0501501001;13,235;0,600;40,525;0,000;13,235;0,700;9,579;2,238;27,419;0,200;13,235;1,040;46,752;0,000;40,115;0,000;21,737;1,300;36,369;0,000;0;0;0;29,056;0,100;48,166;0,000;45,183;0,000;29,056;0,100;48,166;0,000;29,056;0,100;46,092;0,000;47,975;0,000;24,077;0,200
0501601001;0,000;1,300;27,357;0,100;6,637;1,200;3,161;4,260;3,161;0,800;3,161;2,106;49,134;0,000;20,653;0,250;32,503;0,000;6,637;0,400;0;0;0;43,324;0,000;33,857;0,000;47,511;0,000;47,511;0,000;33,857;0,000;21,371;0,100;47,511;0,000;47,511;0,000;3,609;1,000
0501602001;3,609;1,000;28,637;0,100;5,579;1,100;2,912;4,488;2,912;0,700;2,912;1,846;46,461;0,000;24,083;0,250;28,901;0,100;5,579;0,400;0;0;0;40,843;0,000;35,203;0,000;44,763;0,000;44,763;0,000;35,203;0,000;17,960;0,100;44,763;0,000;44,763;0,000;0,000;1,700
