CUSEC;dist_min_ceas_km;n_ceas_1km;n_ceas_5km;n_ceas_15km;n_ceas_30km;disp_ponderada_ceas;dist_min_especializada_km;n_especializada_1km;n_especializada_5km;n_especializada_15km;n_especializada_30km;disp_ponderada_especializada;dist_min_primaria_km;n_primaria_1km;n_primaria_5km;n_primaria_15km;n_primaria_30km;disp_ponderada_primaria;dist_min_infantil_y_primaria_km;n_infantil_y_primaria_1km;n_infantil_y_primaria_5km;n_infantil_y_primaria_15km;n_infantil_y_primaria_30km;disp_ponderada_infantil_y_primaria;dist_min_adultos_e_idiomas_km;n_adultos_e_idiomas_1km;n_adultos_e_idiomas_5km;n_adultos_e_idiomas_15km;n_adultos_e_idiomas_30km;disp_ponderada_adultos_e_idiomas;dist_min_secundaria_y_bachillerato_km;n_secundaria_y_bachillerato_1km;n_secundaria_y_bachillerato_5km;n_secundaria_y_bachillerato_15km;n_secundaria_y_bachillerato_30km;disp_ponderada_secundaria_y_bachillerato;dist_min_educación_especial_km;n_educación_especial_1km;n_educación_especial_5km;n_educación_especial_15km;n_educación_especial_30km;disp_ponderada_educación_especial;dist_min_formación_profesional_km;n_formación_profesional_1km;n_formación_profesional_5km;n_formación_profesional_15km;n_formación_profesional_30km;disp_ponderada_formación_profesional;dist_min_inclusión_social_km;n_inclusión_social_1km;n_inclusión_social_5km;n_inclusión_social_15km;n_inclusión_social_30km;disp_ponderada_inclusión_social;dist_min_población_general_km;n_población_general_1km;n_población_general_5km;n_población_general_15km;n_población_general_30km;disp_ponderada_población_general;dist_min_toxicomanías_y_adicciones_km;n_toxicomanías_y_adicciones_1km;n_toxicomanías_y_adicciones_5km;n_toxicomanías_y_adicciones_15km;n_toxicomanías_y_adicciones_30km;disp_ponderada_toxicomanías_y_adicciones;dist_min_personas_con_discapacidad_km;n_personas_con_discapacidad_1km;n_personas_con_discapacidad_5km;n_personas_con_discapacidad_15km;n_personas_con_discapacidad_30km;disp_ponderada_personas_con_discapacidad;dist_min_familia_km;n_familia_1km;n_familia_5km;n_familia_15km;n_familia_30km;disp_ponderada_familia;dist_min_mujer_km;n_mujer_1km;n_mujer_5km;n_mujer_15km;n_mujer_30km;disp_ponderada_mujer;dist_min_infancia_y_juventud_km;n_infancia_y_juventud_1km;n_infancia_y_juventud_5km;n_infancia_y_juventud_15km;n_infancia_y_juventud_30km;disp_ponderada_infancia_y_juventud;dist_min_voluntariado_km;n_voluntariado_1km;n_voluntariado_5km;n_voluntariado_15km;n_voluntariado_30km;disp_ponderada_voluntariado;dist_min_personas_mayores_km;n_personas_mayores_1km;n_personas_mayores_5km;n_personas_mayores_15km;n_personas_mayores_30km;disp_ponderada_personas_mayores;Seccion_id
0500101001;5,689;0;0;1;3;0,500;27,566;0;0;0;1;0,100;12,416;0;0;2;10;1,400;5,689;0;0;4;16;2,400;15,854;0;0;0;3;0,300;12,416;0;0;1;6;0,800;34,061;0;0;0;0;0,000;27,948;0;0;0;1;0,100;26,457;0;0;0;1;0,100;30,427;0;0;0;0;0,000;30,427;0;0;0;0;0,000;31,279;0;0;0;0;0,000;31,279;0;0;0;0;0,000;9,429;0;0;1;1;0,300;30,427;0;0;0;0;0,000;31,279;0;0;0;0;0,000;16,638;0;0;0;2;0,200;1
0500201001;6,278;0;0;3;6;1,200;36,403;0;0;0;0;0,000;6,210;0;0;2;9;1,300;0,000;2;2;11;24;6,000;6,278;0;0;1;2;0,400;0,000;1;1;3;5;1,800;40,337;0;0;0;0;0,000;36,877;0;0;0;0;0,000;9,932;0;0;1;1;0,300;41,154;0;0;0;0;0,000;13,620;0;0;1;1;0,300;41,154;0;0;0;0;0,000;43,172;0;0;0;0;0,000;41,154;0;0;0;0;0,000;41,154;0;0;0;0;0,000;43,172;0;0;0;0;0,000;6,210;0;0;2;3;0,700;2
0500201002;0,000;1;1;4;6;2,100;34,804;0;0;0;0;0,000;4,415;0;2;5;9;2,500;4,415;0;1;13;25;5,400;8,490;0;0;1;2;0,400;4,415;0;1;3;6;1,500;33,990;0;0;0;0;0,000;33,990;0;0;0;0;0,000;8,919;0;0;1;9;1,100;34,794;0;0;0;0;0,000;7,589;0;0;1;1;0,300;34,794;0;0;0;0;0,000;36,816;0;0;0;0;0,000;34,794;0;0;0;0;0,000;34,794;0;0;0;0;0,000;36,816;0;0;0;0;0,000;4,415;0;1;2;4;1,100;3
0500501001;7,867;0;0;1;8;1,000;24,921;0;0;0;3;0,300;4,690;0;2;4;19;3,300;4,690;0;1;3;35;4,400;25,573;0;0;0;5;0,500;11,828;0;0;1;9;1,100;27,353;0;0;0;1;0,100;23,717;0;0;0;2;0,200;19,274;0;0;0;31;3,100;19,274;0;0;0;9;0,900;19,274;0;0;0;4;0,400;25,222;0;0;0;10;1,000;25,222;0;0;0;1;0,100;19,274;0;0;0;4;0,400;19,274;0;0;0;2;0,200;25,222;0;0;0;1;0,100;11,828;0;0;1;5;0,700;4
0500701001;7,358;0;0;2;5;0,900;29,082;0;0;0;1;0,100;7,358;0;0;4;8;1,600;7,401;0;0;5;17;2,700;7,358;0;0;1;2;0,400;7,358;0;0;2;5;0,900;66,221;0;0;0;0;0,000;28,538;0;0;0;1;0,100;9,205;0;0;3;6;1,200;67,397;0;0;0;0;0,000;63,813;0;0;0;0;0,000;9,205;0;0;5;5;1,500;68,175;0;0;0;0;0,000;9,205;0;0;1;1;0,300;66,463;0;0;0;0;0,000;67,834;0;0;0;0;0,000;22,064;0;0;0;2;0,200;5
0500801001;8,006;0;0;1;4;0,600;28,317;0;0;0;1;0,100;9,068;0;0;2;13;1,700;6,010;0;0;4;18;2,600;7,485;0;0;2;3;0,700;7,485;0;0;2;5;0,900;45,589;0;0;0;0;0,000;28,658;0;0;0;2;0,200;38,976;0;0;0;0;0,000;28,317;0;0;0;4;0,400;38,976;0;0;0;0;0,000;42,834;0;0;0;0;0,000;28,317;0;0;0;1;0,100;12,877;0;0;1;1;0,300;38,976;0;0;0;0;0,000;42,834;0;0;0;0;0,000;5,255;0;0;2;3;0,700;6
0501001001;8,040;0;0;2;4;0,800;31,381;0;0;0;0;0,000;8,040;0;0;4;7;1,500;6,069;0;0;5;11;2,100;11,395;0;0;1;1;0,300;8,040;0;0;2;3;0,700;62,556;0;0;0;0;0,000;30,851;0;0;0;0;0,000;12,980;0;0;3;6;1,200;63,209;0;0;0;0;0,000;61,125;0;0;0;0;0,000;12,980;0;0;5;5;1,500;64,544;0;0;0;0;0,000;12,980;0;0;1;1;0,300;62,709;0;0;0;0;0,000;64,078;0;0;0;0;0,000;25,374;0;0;0;3;0,300;7
0501201001;4,054;0;1;1;3;0,800;32,241;0;0;0;0;0,000;4,054;0;2;4;10;2,400;4,054;0;1;4;12;2,300;31,791;0;0;0;0;0,000;26,304;0;0;0;1;0,100;32,995;0;0;0;0;0,000;26,803;0;0;0;1;0,100;29,319;0;0;0;11;1,100;29,319;0;0;0;5;0,500;29,319;0;0;0;3;0,300;33,421;0;0;0;0;0,000;33,746;0;0;0;0;0,000;29,319;0;0;0;1;0,100;29,319;0;0;0;1;0,100;33,746;0;0;0;0;0,000;6,209;0;0;1;3;0,500;8
0501301001;7,610;0;0;3;6;1,200;5,715;0;0;1;1;0,300;5,715;0;0;6;12;2,400;0,000;1;1;8;16;3,900;5,715;0;0;1;1;0,300;7,610;0;0;1;2;0,400;53,008;0;0;0;0;0,000;7,610;0;0;1;1;0,300;39,246;0;0;0;0;0,000;53,800;0;0;0;0;0,000;37,198;0;0;0;0;0,000;39,246;0;0;0;0;0,000;55,227;0;0;0;0;0,000;39,246;0;0;0;0;0,000;53,800;0;0;0;0;0,000;55,227;0;0;0;0;0,000;8,578;0;0;1;5;0,700;9
0501402001;2,276;0;1;3;5;1,400;1,685;0;1;1;1;0,600;1,685;0;2;8;10;3,200;2,276;0;2;11;15;4,300;1,685;0;1;1;1;0,600;2,276;0;1;2;2;0,900;58,739;0;0;0;0;0,000;2,276;0;1;1;1;0,600;39,394;0;0;0;0;0,000;59,544;0;0;0;0;0,000;41,325;0;0;0;0;0,000;39,394;0;0;0;0;0,000;61,027;0;0;0;0;0,000;39,394;0;0;0;0;0,000;59,544;0;0;0;0;0,000;61,027;0;0;0;0;0,000;14,075;0;0;1;3;0,500;10
0501402002;1,897;0;1;3;5;1,400;0,000;1;1;1;1;1,000;0,000;2;2;8;10;4,000;1,897;0;2;10;15;4,100;0,000;1;1;1;1;1,000;1,897;0;1;1;2;0,700;57,552;0;0;0;0;0,000;1,897;0;1;1;1;0,600;40,860;0;0;0;0;0,000;58,363;0;0;0;0;0,000;39,755;0;0;0;0;0,000;40,860;0;0;0;0;0,000;59,874;0;0;0;0;0,000;40,860;0;0;0;0;0,000;58,363;0;0;0;0;0,000;59,874;0;0;0;0;0,000;14,079;0;0;1;3;0,500;11
0501403001;4,887;0;1;2;4;1,100;6,649;0;0;1;1;0,300;6,649;0;0;4;10;1,800;4,238;0;4;7;14;4,000;6,649;0;0;1;1;0,300;4,887;0;1;2;2;0,900;64,012;0;0;0;0;0,000;4,887;0;1;1;1;0,600;41,301;0;0;0;0;0,000;64,830;0;0;0;0;0,000;45,145;0;0;0;0;0,000;41,301;0;0;0;0;0,000;66,372;0;0;0;0;0,000;41,301;0;0;0;0;0,000;64,830;0;0;0;0;0,000;66,372;0;0;0;0;0,000;16,715;0;0;0;2;0,200;12
0501501001;13,235;0;0;1;4;0,600;40,525;0;0;0;0;0,000;13,235;0;0;2;10;1,400;9,579;0;0;2;16;2,000;27,419;0;0;0;2;0,200;13,235;0;0;1;5;0,700;46,752;0;0;0;0;0,000;40,115;0;0;0;0;0,000;26,445;0;0;0;6;0,600;48,707;0;0;0;0;0,000;45,227;0;0;0;0;0,000;29,056;0;0;0;5;0,500;48,810;0;0;0;0;0,000;29,056;0;0;0;1;0,100;46,583;0;0;0;0;0,000;47,916;0;0;0;0;0,000;23,916;0;0;0;1;0,100;13
0501601001;0,000;1;1;1;4;1,300;27,357;0;0;0;1;0,100;6,637;0;0;3;15;2,100;3,161;0;1;5;22;3,500;3,161;0;2;2;4;1,400;3,161;0;1;2;9;1,600;49,134;0;0;0;0;0,000;20,653;0;0;0;2;0,200;43,356;0;0;0;0;0,000;27,357;0;0;0;4;0,400;43,356;0;0;0;0;0,000;46,306;0;0;0;0;0,000;27,357;0;0;0;1;0,100;14,993;0;0;1;1;0,300;43,356;0;0;0;0;0,000;46,306;0;0;0;0;0,000;4,003;0;1;2;3;1,000;14
0501602001;3,609;0;1;1;5;1,000;28,637;0;0;0;1;0,100;5,579;0;0;3;12;1,800;2,912;0;2;5;19;3,500;2,912;0;2;2;3;1,300;2,912;0;1;2;7;1,400;46,461;0;0;0;0;0,000;24,083;0;0;0;2;0,200;40,399;0;0;0;0;0,000;28,637;0;0;0;4;0,400;40,399;0;0;0;0;0,000;43,649;0;0;0;0;0,000;28,637;0;0;0;1;0,100;12,470;0;0;1;1;0,300;40,399;0;0;0;0;0,000;43,649;0;0;0;0;0,000;1,260;0;1;2;3;1,000;15
0501602002;3,161;0;1;1;4;0,900;30,305;0;0;0;0;0,000;3,519;0;2;2;13;2,300;0,000;1;3;4;18;3,900;0,000;2;2;2;3;2,100;0,000;1;2;2;7;2,100;46,021;0;0;0;0;0,000;21,934;0;0;0;1;0,100;40,340;0;0;0;0;0,000;30,305;0;0;0;0;0,000;40,340;0;0;0;0;0,000;43,190;0;0;0;0;0,000;30,305;0;0;0;0;0,000;11,893;0;0;1;1;0,300;40,340;0;0;0;0;0,000;43,190;0;0;0;0;0,000;2,151;0;1;2;3;1,000;16
0501602003;4,003;0;1;1;5;1,000;29,854;0;0;0;1;0,100;4,340;0;2;2;12;2,200;2,151;0;3;4;17;3,400;2,151;0;2;2;3;1,300;2,151;0;2;2;7;1,700;45,466;0;0;0;0;0,000;23,945;0;0;0;1;0,100;39,513;0;0;0;0;0,000;29,854;0;0;0;4;0,400;39,513;0;0;0;0;0,000;42,649;0;0;0;0;0,000;29,854;0;0;0;1;0,100;11,394;0;0;1;1;0,300;39,513;0;0;0;0;0,000;42,649;0;0;0;0;0,000;0,000;1;1;2;3;1,400;17
0501602004;6,395;0;0;1;4;0,600;32,785;0;0;0;0;0,000;2,253;0;2;2;15;2,500;0,000;1;4;4;18;4,200;3,391;0;2;2;3;1,300;2,253;0;2;2;6;1,600;42,751;0;0;0;0;0,000;24,723;0;0;0;1;0,100;36,977;0;0;0;0;0,000;32,785;0;0;0;0;0,000;36,977;0;0;0;0;0,000;39,926;0;0;0;0;0,000;32,785;0;0;0;0;0,000;8,614;0;0;1;1;0,300;36,977;0;0;0;0;0,000;39,926;0;0;0;0;0,000;2,933;0;1;2;3;1,000;18
0501602005;6,637;0;0;1;4;0,600;33,799;0;0;0;0;0,000;0,000;2;2;2;15;3,300;0,000;1;3;4;18;3,900;3,519;0;2;2;3;1,300;0,000;1;2;2;6;2,000;42,809;0;0;0;0;0,000;23,089;0;0;0;1;0,100;37,368;0;0;0;0;0,000;33,799;0;0;0;0;0,000;37,368;0;0;0;0;0,000;39,973;0;0;0;0;0,000;33,799;0;0;0;0;0,000;8,845;0;0;1;1;0,300;37,368;0;0;0;0;0,000;39,973;0;0;0;0;0,000;4,340;0;1;2;3;1,000;19
0501701001;14,390;0;0;1;7;0,900;18,151;0;0;0;3;0,300;3,277;0;2;2;17;2,700;3,277;0;1;5;31;4,400;18,505;0;0;0;2;0,200;17,945;0;0;0;7;0,700;20,285;0;0;0;1;0,100;16,846;0;0;0;2;0,200;12,215;0;0;11;40;6,200;12,215;0;0;5;10;2,000;12,215;0;0;3;4;1,000;18,186;0;0;0;10;1,000;18,186;0;0;0;1;0,100;12,215;0;0;1;4;0,600;12,215;0;0;1;2;0,400;18,186;0;0;0;1;0,100;18,186;0;0;0;4;0,400;20
0501801001;10,011;0;0;2;3;0,700;31,448;0;0;0;0;0,000;10,011;0;0;4;6;1,400;8,727;0;0;5;10;2,000;11,094;0;0;1;1;0,300;10,011;0;0;2;2;0,600;66,036;0;0;0;0;0,000;31,992;0;0;0;0;0,000;12,921;0;0;3;3;0,900;63,711;0;0;0;0;0,000;60,286;0;0;0;0;0,000;12,921;0;0;5;5;1,500;67,398;0;0;0;0;0,000;12,921;0;0;1;1;0,300;63,711;0;0;0;0;0,000;67,398;0;0;0;0;0,000;21,973;0;0;0;3;0,300;21
