CUSEC,dist_min_ceas_km,n_ceas_1km,n_ceas_5km,n_ceas_15km,n_ceas_30km,disp_ponderada_ceas
0500101001,5.688878134524537,0,0,1,3,0.5
0500201001,6.277991847930671,0,0,3,6,1.2
0500201002,0.0,1,1,4,6,2.1
0500501001,7.867082277952138,0,0,1,8,1.0
0500701001,7.3578436846409145,0,0,2,5,0.9
0500801001,8.005739556303704,0,0,1,4,0.6000000000000001
0501001001,8.03966490775456,0,0,2,4,0.8
0501201001,4.0535863067647,0,1,1,3,0.8
0501301001,7.6103890860195715,0,0,3,6,1.2
0501402001,2.2756061619843595,0,1,3,5,1.4
0501402002,1.8965715853834255,0,1,3,5,1.4
0501403001,4.886688975637282,0,1,2,4,1.0999999999999999
0501501001,13.2347907240676,0,0,1,4,0.6000000000000001
0501601001,0.0,1,1,1,4,1.3
0501602001,3.609055964880699,0,1,1,5,1.0
0501602002,3.16063833959686,0,1,1,4,0.9
0501602003,4.002825794316737,0,1,1,5,1.0
0501602004,6.395470282356966,0,0,1,4,0.6000000000000001
0501602005,6.637355632891561,0,0,1,4,0.6000000000000001
0501701001,14.390440944296145,0,0,1,7,0.9000000000000001
0501801001,10.010766473924045,0,0,2,3,0.7
0501901001,0.0,2,4,4,7,3.5
0501901002,4.889161185451525,0,1,4,7,1.8
0501902001,0.5033769119452534,2,4,4,7,3.5
0501902002,0.9849523881904946,1,4,4,7,3.0999999999999996
0501903001,0.41108988490881304,1,4,4,6,3.0
0501903002,0.0,1,2,4,7,2.5
0501904001,6.125966585571864,0,0,4,8,1.6
0501904002,0.36688684383815806,3,4,4,7,3.9000000000000004
0501904003,0.2939944097635946,3,3,4,8,3.6999999999999997
0501904004,0.0,3,3,4,8,3.6999999999999997
0501904005,0.3149603482289949,2,3,4,8,3.3
0501904006,0.37028856350901734,3,4,4,7,3.9000000000000004
0501904008,0.255820431198558,2,3,4,8,3.3
0501904009,0.21087828670267336,3,3,4,8,3.6999999999999997
0501904010,0.0,2,3,4,8,3.3
0501904011,1.0612503138124345,0,3,4,8,2.4999999999999996
0501904012,3.489573091118194,0,3,4,7,2.3999999999999995
0501904013,5.48172206010046,0,0,4,9,1.7
0501904014,4.669879031834464,0,1,4,9,2.0
0501905001,0.5802908606590458,3,4,4,7,3.9000000000000004
0501905002,0.7544310985191954,3,4,4,7,3.9000000000000004
0501905003,0.9535057637438198,1,4,4,7,3.0999999999999996
0501905004,1.2942498179679411,0,3,4,7,2.3999999999999995
0501905005,0.7207888412127392,1,3,4,7,2.8
0501905006,3.0256149638699656,0,3,4,8,2.4999999999999996
0501906001,0.6132036806549476,2,4,4,7,3.5
0501906002,1.2778108876045606,0,4,4,7,2.7
0501906003,4.4681827718165,0,2,4,8,2.1999999999999997
0501906004,0.8317746065665116,1,4,4,7,3.0999999999999996
0501906005,0.8487823662413009,1,4,4,7,3.0999999999999996
0501906008,1.4241468551416028,0,4,4,7,2.7
0501906009,0.9392706733385628,1,4,4,7,3.0999999999999996
0501906010,1.2021967341803588,0,4,4,7,2.7
0501906011,13.586901970417145,0,0,4,8,1.6
0501906012,2.0971986167714167,0,4,4,7,2.7
0501906013,3.580355614167139,0,1,4,5,1.6
0501906014,2.0798777027789104,0,4,4,6,2.6
0502101001,1.916809159281931,0,1,1,4,0.9
0502101002,0.0,1,1,1,4,1.3
0502201001,12.024945324119972,0,0,2,11,1.5
0502201002,8.125217072385723,0,0,4,9,1.7
0502301001,9.198531797931615,0,0,1,5,0.7
0502401001,10.916841711216518,0,0,2,4,0.8
0502501001,8.921977264259898,0,0,1,4,0.6000000000000001
0502601001,6.660431448931935,0,0,1,4,0.6000000000000001
0502701001,13.20744485830776,0,0,1,6,0.8
0502901001,12.880295517909225,0,0,2,4,0.8
0503001001,8.443366733723972,0,0,4,7,1.5
0503301001,12.785852884717123,0,0,2,4,0.8
0503401001,7.9883142141902255,0,0,1,4,0.6000000000000001
0503501001,5.37600952702948,0,0,1,7,0.9000000000000001
0503601001,13.142228105466026,0,0,1,6,0.8
0503701001,11.279744391816749,0,0,1,5,0.7
0503801001,11.495716840817066,0,0,1,3,0.5
0503901001,11.871063676083955,0,0,1,7,0.9000000000000001
0504001001,12.839888909914007,0,0,3,7,1.2999999999999998
0504101001,0.0,1,1,3,10,2.3000000000000003
0504201001,14.32812202330604,0,0,1,5,0.7
0504301001,10.485959796121893,0,0,1,4,0.6000000000000001
0504401001,18.777385367746742,0,0,0,4,0.4
0504501001,14.663229973513717,0,0,1,8,1.0
0504601001,14.315825123782176,0,0,1,5,0.7
0504701001,6.422074759727188,0,0,2,4,0.8
0504703001,0.0,1,1,1,4,1.3
0504703002,8.1699682168851,0,0,1,5,0.7
0504703003,8.676728640733248,0,0,2,4,0.8
0504801001,10.77835267042506,0,0,1,4,0.6000000000000001
0504901001,5.567605898734232,0,0,4,7,1.5
0505101001,4.273979608868227,0,1,1,4,0.9
0505201001,14.853959502526228,0,0,1,3,0.5
0505301001,10.148106201645701,0,0,4,6,1.4
0505401001,0.0,1,1,3,8,2.1
0505501001,5.954650882966733,0,0,3,6,1.2
0505601001,10.746890059111218,0,0,1,4,0.6000000000000001
0505701001,0.0,1,1,2,9,2.0
0505702001,0.30096029563536253,1,1,2,8,1.9000000000000001
0505702002,2.8547392259517976,0,1,2,5,1.2
0505801001,13.041617438679056,0,0,1,7,0.9000000000000001
0505901001,11.721270413227538,0,0,1,6,0.8
0506001001,12.377022181471627,0,0,2,4,0.8
0506101001,5.000196251445628,0,0,4,7,1.5
0506201001,4.609606008811413,0,1,1,6,1.1
0506301001,9.221394627245614,0,0,1,4,0.6000000000000001
0506401001,10.599851992728702,0,0,1,5,0.7
0506501001,0.0,1,1,1,5,1.4
0506601001,9.525926231409978,0,0,3,6,1.2
0506701001,15.013280566990233,0,0,0,6,0.6000000000000001
0506901001,15.401997617526028,0,0,0,4,0.4
0507001001,6.483919908003085,0,0,1,6,0.8
0507201001,8.926681166984897,0,0,1,2,0.4
0507301001,12.301876488277328,0,0,2,3,0.7
0507401001,7.3986325498038905,0,0,1,4,0.6000000000000001
0507501001,7.308685793296365,0,0,3,7,1.2999999999999998
0507601001,5.544113414193425,0,0,4,6,1.4
0507701001,14.220042788044596,0,0,1,5,0.7
0507801001,12.055851551046363,0,0,1,4,0.6000000000000001
0507901001,14.878336158073349,0,0,1,6,0.8
0508001001,15.772393387745813,0,0,0,3,0.30000000000000004
0508101001,11.573585128545936,0,0,1,6,0.8
0508201001,8.727095973910277,0,0,3,7,1.2999999999999998
