CUSEC,dist_min_infantil_y_primaria_km,n_infantil_y_primaria_1km,n_infantil_y_primaria_5km,n_infantil_y_primaria_15km,n_infantil_y_primaria_30km,disp_ponderada_infantil_y_primaria,dist_min_adultos_e_idiomas_km,n_adultos_e_idiomas_1km,n_adultos_e_idiomas_5km,n_adultos_e_idiomas_15km,n_adultos_e_idiomas_30km,disp_ponderada_adultos_e_idiomas,dist_min_secundaria_y_bachillerato_km,n_secundaria_y_bachillerato_1km,n_secundaria_y_bachillerato_5km,n_secundaria_y_bachillerato_15km,n_secundaria_y_bachillerato_30km,disp_ponderada_secundaria_y_bachillerato,dist_min_educación_especial_km,n_educación_especial_1km,n_educación_especial_5km,n_educación_especial_15km,n_educación_especial_30km,disp_ponderada_educación_especial,dist_min_formación_profesional_km,n_formación_profesional_1km,n_formación_profesional_5km,n_formación_profesional_15km,n_formación_profesional_30km,disp_ponderada_formación_profesional
0500101001,5.688878134524537,0,0,4,16,2.4000000000000004,15.85415761548008,0,0,0,3,0.30000000000000004,12.416062514532202,0,0,1,6,0.8,34.06108087327839,0,0,0,0,0.0,27.947974996542197,0,0,0,1,0.1
0500201001,0.0,2,2,11,24,5.999999999999999,6.277991847930671,0,0,1,2,0.4,0.0,1,1,3,5,1.8,40.33703548743864,0,0,0,0,0.0,36.877357429519215,0,0,0,0,0.0
0500201002,4.415297984295339,0,1,13,25,5.3999999999999995,8.48976427219461,0,0,1,2,0.4,4.415297984295339,0,1,3,6,1.5,33.99042441599017,0,0,0,0,0.0,33.99042441599017,0,0,0,0,0.0
0500501001,4.68983811125442,0,1,3,35,4.4,25.572883425223058,0,0,0,5,0.5,11.828076391496259,0,0,1,9,1.1,27.352700694722348,0,0,0,1,0.1,23.717483417473584,0,0,0,2,0.2
0500701001,7.401489957793489,0,0,5,17,2.7,7.3578436846409145,0,0,1,2,0.4,7.3578436846409145,0,0,2,5,0.9,66.22061874766574,0,0,0,0,0.0,28.53799654673043,0,0,0,1,0.1
0500801001,6.009683034404357,0,0,4,18,2.6,7.485003978692183,0,0,2,3,0.7,7.485003978692183,0,0,2,5,0.9,45.58928499310223,0,0,0,0,0.0,28.658321949926588,0,0,0,2,0.2
0501001001,6.068827481349276,0,0,5,11,2.1,11.3953262680926,0,0,1,1,0.3,8.03966490775456,0,0,2,3,0.7,62.555834881865096,0,0,0,0,0.0,30.851077177207976,0,0,0,0,0.0
0501201001,4.0535863067647,0,1,4,12,2.3,31.791326523723363,0,0,0,0,0.0,26.30426157978232,0,0,0,1,0.1,32.9953051427662,0,0,0,0,0.0,26.802685722420822,0,0,0,1,0.1
0501301001,0.0,1,1,8,16,3.9000000000000004,5.715406956509003,0,0,1,1,0.3,7.6103890860195715,0,0,1,2,0.4,53.008139935840454,0,0,0,0,0.0,7.6103890860195715,0,0,1,1,0.3
0501401001,0.0,2,2,10,15,4.9,1.8965715853834255,0,1,1,1,0.6,0.0,1,1,2,2,1.3,59.15342869367842,0,0,0,0,0.0,0.0,1,1,1,1,1.0
