CUSEC,dist_min_especializada_km,n_especializada_1km,n_especializada_5km,n_especializada_15km,n_especializada_30km,disp_ponderada_especializada,dist_min_primaria_km,n_primaria_1km,n_primaria_5km,n_primaria_15km,n_primaria_30km,disp_ponderada_primaria
0500101001,27.565759892937375,0,0,0,1,0.1,12.416062514532202,0,0,2,10,1.4
0500201001,36.402926780150466,0,0,0,0,0.0,6.209785039194828,0,0,2,9,1.3
0500201002,34.80417303774709,0,0,0,0,0.0,4.415297984295339,0,2,5,9,2.4999999999999996
0500501001,24.92061378990537,0,0,0,3,0.30000000000000004,4.68983811125442,0,2,4,19,3.3
0500701001,29.082238791995106,0,0,0,1,0.1,7.3578436846409145,0,0,4,8,1.6
0500801001,28.31660090995774,0,0,0,1,0.1,9.06796152300041,0,0,2,13,1.7000000000000002
0501001001,31.381178830930434,0,0,0,0,0.0,8.03966490775456,0,0,4,7,1.5
0501201001,32.24143795504241,0,0,0,0,0.0,4.0535863067647,0,2,4,10,2.4
0501301001,5.715406956509003,0,0,1,1,0.3,5.715406956509003,0,0,6,12,2.4
0501401001,1.8965715853834255,0,1,1,1,0.6,1.8965715853834255,0,2,6,10,2.8
0501401002,3.0904215878626142,0,1,1,1,0.6,3.0904215878626142,0,2,6,10,2.8
0501402001,1.6847558468489539,0,1,1,1,0.6,1.6847558468489539,0,2,8,10,3.2
0501402002,0.0,1,1,1,1,1.0,0.0,2,2,8,10,4.0
0501403001,6.649322050388457,0,0,1,1,0.3,6.649322050388457,0,0,4,10,1.8
0501501001,40.52503503817402,0,0,0,0,0.0,13.2347907240676,0,0,2,10,1.4
0501601001,27.356915627328245,0,0,0,1,0.1,6.637355632891561,0,0,3,15,2.1
0501602001,28.637291072089837,0,0,0,1,0.1,5.579491947543417,0,0,3,12,1.7999999999999998
0501602002,30.30493892214802,0,0,0,0,0.0,3.518755938154854,0,2,2,13,2.3
0501602003,29.854371005430796,0,0,0,1,0.1,4.340058202312014,0,2,2,12,2.2
0501602004,32.78505209688694,0,0,0,0,0.0,2.2530013328534206,0,2,2,15,2.5
0501602005,33.79917891220021,0,0,0,0,0.0,0.0,2,2,2,15,3.3
0501701001,18.151169113040147,0,0,0,3,0.30000000000000004,3.2771345047825897,0,2,2,17,2.7
0501801001,31.447553171658065,0,0,0,0,0.0,10.010766473924045,0,0,4,6,1.4
0501901001,1.0515095616491363,0,2,3,3,1.5,0.6132036806549476,1,7,7,16,5.5
0501901002,6.985786026809341,0,0,3,3,0.8999999999999999,6.334123517061453,0,0,9,15,3.3
0501902001,0.7052013938733396,1,2,3,3,1.9000000000000001,0.24293162579801358,1,7,7,16,5.5
0501902002,0.4678676267847283,2,2,3,3,2.3,0.4678676267847283,5,7,7,16,7.1000000000000005
0501903001,1.2452159182134968,0,2,3,3,1.5,0.474434295095403,1,7,7,16,5.5
0501903002,3.580355614167139,0,2,3,3,1.5,4.331324746134441,0,3,7,15,3.8
0501904001,6.406162491893655,0,0,3,3,0.8999999999999999,5.896060570826853,0,0,7,16,3.0
0501904002,0.6650404468481949,1,2,3,3,1.9000000000000001,0.7262018522250898,1,7,7,16,5.5
0501904003,0.7751652876717473,1,2,3,3,1.9000000000000001,0.9829916134928888,1,7,7,18,5.699999999999999
0501904004,0.5037335681772411,1,2,3,3,1.9000000000000001,0.7081054813717149,2,7,7,18,6.1
0501904005,0.0,1,2,3,3,1.9000000000000001,0.5706613618287493,2,7,7,18,6.1
0501904006,0.31253051069216725,1,2,3,3,1.9000000000000001,0.6800777269657626,2,7,7,16,5.9
0501904008,0.5706613618287493,1,2,3,3,1.9000000000000001,0.0,1,7,7,18,5.699999999999999
0501904009,0.7145625836048527,1,2,3,3,1.9000000000000001,0.8554337760148778,1,7,7,18,5.699999999999999
0501904010,0.3149603482289949,1,2,3,3,1.9000000000000001,0.255820431198558,1,7,7,18,5.699999999999999
0501904011,1.1872555493684809,0,2,3,3,1.5,0.0,3,7,7,20,6.7
0501904012,3.7205078737262163,0,2,3,3,1.5,2.6178439883813467,0,7,7,18,5.300000000000001
0501904013,5.792837497919282,0,0,3,3,0.8999999999999999,5.227821179889815,0,0,7,16,3.0
0501904014,4.982515577292068,0,1,3,3,1.2,4.362587800925801,0,2,7,18,3.8000000000000003
0501905001,0.32357936816402255,2,2,3,3,2.3,0.5698867053288932,4,7,7,16,6.7
0501905002,0.45126139869883786,2,2,3,3,2.3,0.5574278692562789,3,7,7,16,6.300000000000001
0501905003,0.3243934375204872,2,2,3,3,2.3,0.3243934375204872,5,7,7,14,6.9
0501905004,0.6258846046837423,1,2,3,3,1.9000000000000001,0.0,5,7,7,16,7.1000000000000005
0501905005,0.6154035729381865,2,2,3,3,2.3,0.5834973878272441,6,7,7,14,7.3
0501905006,2.8365589628169636,0,2,3,3,1.5,1.9644095848320333,0,7,7,18,5.300000000000001
