CUSEC,dist_min_inclusión_social_km,n_inclusión_social_1km,n_inclusión_social_5km,n_inclusión_social_15km,n_inclusión_social_30km,disp_ponderada_inclusión_social,dist_min_población_general_km,n_población_general_1km,n_población_general_5km,n_población_general_15km,n_población_general_30km,disp_ponderada_población_general,dist_min_toxicomanías_y_adicciones_km,n_toxicomanías_y_adicciones_1km,n_toxicomanías_y_adicciones_5km,n_toxicomanías_y_adicciones_15km,n_toxicomanías_y_adicciones_30km,disp_ponderada_toxicomanías_y_adicciones,dist_min_personas_con_discapacidad_km,n_personas_con_discapacidad_1km,n_personas_con_discapacidad_5km,n_personas_con_discapacidad_15km,n_personas_con_discapacidad_30km,disp_ponderada_personas_con_discapacidad,dist_min_familia_km,n_familia_1km,n_familia_5km,n_familia_15km,n_familia_30km,disp_ponderada_familia,dist_min_mujer_km,n_mujer_1km,n_mujer_5km,n_mujer_15km,n_mujer_30km,disp_ponderada_mujer,dist_min_infancia_y_juventud_km,n_infancia_y_juventud_1km,n_infancia_y_juventud_5km,n_infancia_y_juventud_15km,n_infancia_y_juventud_30km,disp_ponderada_infancia_y_juventud,dist_min_voluntariado_km,n_voluntariado_1km,n_voluntariado_5km,n_voluntariado_15km,n_voluntariado_30km,disp_ponderada_voluntariado,dist_min_personas_mayores_km,n_personas_mayores_1km,n_personas_mayores_5km,n_personas_mayores_15km,n_personas_mayores_30km,disp_ponderada_personas_mayores
0500101001,26.456992245855822,0,0,0,1,0.1,30.426842264491693,0,0,0,0,0.0,30.426842264491693,0,0,0,0,0.0,31.278784734341933,0,0,0,0,0.0,31.278784734341933,0,0,0,0,0.0,9.428580780339637,0,0,1,1,0.3,30.426842264491693,0,0,0,0,0.0,31.278784734341933,0,0,0,0,0.0,16.6379579599713,0,0,0,2,0.2
0500201001,9.93205292505943,0,0,1,1,0.3,41.1541476732815,0,0,0,0,0.0,13.619928931843626,0,0,1,1,0.3,41.1541476732815,0,0,0,0,0.0,43.17234652085147,0,0,0,0,0.0,41.1541476732815,0,0,0,0,0.0,41.1541476732815,0,0,0,0,0.0,43.17234652085147,0,0,0,0,0.0,6.209785039194828,0,0,2,3,0.7
0500201002,8.919316421767531,0,0,1,9,1.1,34.79362873287165,0,0,0,0,0.0,7.589314445003415,0,0,1,1,0.3,34.79362873287165,0,0,0,0,0.0,36.816205572335896,0,0,0,0,0.0,34.79362873287165,0,0,0,0,0.0,34.79362873287165,0,0,0,0,0.0,36.816205572335896,0,0,0,0,0.0,4.415297984295339,0,1,2,4,1.0999999999999999
0500501001,19.273637807169784,0,0,0,31,3.1,19.273637807169784,0,0,0,9,0.9,19.273637807169784,0,0,0,4,0.4,25.22234587135376,0,0,0,10,1.0,25.22234587135376,0,0,0,1,0.1,19.273637807169784,0,0,0,4,0.4,19.273637807169784,0,0,0,2,0.2,25.22234587135376,0,0,0,1,0.1,11.828076391496259,0,0,1,5,0.7
0500701001,9.204836453519738,0,0,3,6,1.2,67.39733642652749,0,0,0,0,0.0,63.812650812064376,0,0,0,0,0.0,9.204836453519738,0,0,5,5,1.5,68.17533580281983,0,0,0,0,0.0,9.204836453519738,0,0,1,1,0.3,66.46337824288081,0,0,0,0,0.0,67.83447983417814,0,0,0,0,0.0,22.06357849074102,0,0,0,2,0.2
0500801001,38.976441620349135,0,0,0,0,0.0,28.31660090995774,0,0,0,4,0.4,38.976441620349135,0,0,0,0,0.0,42.83388708553528,0,0,0,0,0.0,28.31660090995774,0,0,0,1,0.1,12.876822561043104,0,0,1,1,0.3,38.976441620349135,0,0,0,0,0.0,42.83388708553528,0,0,0,0,0.0,5.254831055293922,0,0,2,3,0.7
0501001001,12.980452550336505,0,0,3,6,1.2,63.209482146625575,0,0,0,0,0.0,61.124880504933984,0,0,0,0,0.0,12.980452550336505,0,0,5,5,1.5,64.54363473049617,0,0,0,0,0.0,12.980452550336505,0,0,1,1,0.3,62.70863546119903,0,0,0,0,0.0,64.07796018200634,0,0,0,0,0.0,25.373599312022357,0,0,0,3,0.30000000000000004
0501201001,29.319252088705642,0,0,0,11,1.1,29.319252088705642,0,0,0,5,0.5,29.319252088705642,0,0,0,3,0.30000000000000004,33.42052088090543,0,0,0,0,0.0,33.74569259515818,0,0,0,0,0.0,29.319252088705642,0,0,0,1,0.1,29.319252088705642,0,0,0,1,0.1,33.74569259515818,0,0,0,0,0.0,6.209482344311503,0,0,1,3,0.5
0501301001,39.24641580122522,0,0,0,0,0.0,53.799686513183346,0,0,0,0,0.0,37.1977164264408,0,0,0,0,0.0,39.24641580122522,0,0,0,0,0.0,55.227492968631864,0,0,0,0,0.0,39.24641580122522,0,0,0,0,0.0,53.799686513183346,0,0,0,0,0.0,55.227492968631864,0,0,0,0,0.0,8.577682819239682,0,0,1,5,0.7
0501401001,41.471976046545436,0,0,0,0,0.0,59.96964815812269,0,0,0,0,0.0,40.81935109098736,0,0,0,0,0.0,41.471976046545436,0,0,0,0,0.0,61.502389444925875,0,0,0,0,0.0,41.471976046545436,0,0,0,0,0.0,59.96964815812269,0,0,0,0,0.0,61.502389444925875,0,0,0,0,0.0,15.919169506894352,0,0,0,3,0.30000000000000004
0501401002,39.740259076408925,0,0,0,0,0.0,61.422950990066255,0,0,0,0,0.0,42.73212403472212,0,0,0,0,0.0,39.740259076408925,0,0,0,0,0.0,62.92325551283207,0,0,0,0,0.0,39.740259076408925,0,0,0,0,0.0,61.422950990066255,0,0,0,0,0.0,62.92325551283207,0,0,0,0,0.0,16.023213532462236,0,0,0,2,0.2
0501402001,39.39360291641507,0,0,0,0,0.0,59.544268596382025,0,0,0,0,0.0,41.32481017312197,0,0,0,0,0.0,39.39360291641507,0,0,0,0,0.0,61.02728769222637,0,0,0,0,0.0,39.39360291641507,0,0,0,0,0.0,59.544268596382025,0,0,0,0,0.0,61.02728769222637,0,0,0,0,0.0,14.075250146375108,0,0,1,3,0.5
0501402002,40.85983879411647,0,0,0,0,0.0,58.362987265458045,0,0,0,0,0.0,39.754602842562704,0,0,0,0,0.0,40.85983879411647,0,0,0,0,0.0,59.87370191856176,0,0,0,0,0.0,40.85983879411647,0,0,0,0,0.0,58.362987265458045,0,0,0,0,0.0,59.87370191856176,0,0,0,0,0.0,14.078880155107761,0,0,1,3,0.5
0501403001,41.30147878106219,0,0,0,0,0.0,64.83023989166333,0,0,0,0,0.0,45.14483760579797,0,0,0,0,0.0,41.30147878106219,0,0,0,0,0.0,66.37243476288228,0,0,0,0,0.0,41.30147878106219,0,0,0,0,0.0,64.83023989166333,0,0,0,0,0.0,66.37243476288228,0,0,0,0,0.0,16.7145025454721,0,0,0,2,0.2
0501501001,26.445265469529204,0,0,0,6,0.6000000000000001,48.707135496829466,0,0,0,0,0.0,45.226775505498175,0,0,0,0,0.0,29.056173467971426,0,0,0,5,0.5,48.80968455168471,0,0,0,0,0.0,29.056173467971426,0,0,0,1,0.1,46.582573440188945,0,0,0,0,0.0,47.91578429554367,0,0,0,0,0.0,23.915681020483408,0,0,0,1,0.1
0501601001,43.355531692989615,0,0,0,0,0.0,27.356915627328245,0,0,0,4,0.4,43.355531692989615,0,0,0,0,0.0,46.30593914020384,0,0,0,0,0.0,27.356915627328245,0,0,0,1,0.1,14.993239775202701,0,0,1,1,0.3,43.355531692989615,0,0,0,0,0.0,46.30593914020384,0,0,0,0,0.0,4.002825794316737,0,1,2,3,0.9999999999999999
0501602001,40.39920596054521,0,0,0,0,0.0,28.637291072089837,0,0,0,4,0.4,40.39920596054521,0,0,0,0,0.0,43.64923553683523,0,0,0,0,0.0,28.637291072089837,0,0,0,1,0.1,12.470078462239975,0,0,1,1,0.3,40.39920596054521,0,0,0,0,0.0,43.64923553683523,0,0,0,0,0.0,1.259720966015765,0,1,2,3,0.9999999999999999
0501602002,40.34028440986648,0,0,0,0,0.0,30.30493892214802,0,0,0,0,0.0,40.34028440986648,0,0,0,0,0.0,43.19037774789189,0,0,0,0,0.0,30.30493892214802,0,0,0,0,0.0,11.892555571756107,0,0,1,1,0.3,40.34028440986648,0,0,0,0,0.0,43.19037774789189,0,0,0,0,0.0,2.1507221190010184,0,1,2,3,0.9999999999999999
0501602003,39.512677936769734,0,0,0,0,0.0,29.854371005430796,0,0,0,4,0.4,39.512677936769734,0,0,0,0,0.0,42.64854754260688,0,0,0,0,0.0,29.854371005430796,0,0,0,1,0.1,11.393777289931249,0,0,1,1,0.3,39.512677936769734,0,0,0,0,0.0,42.64854754260688,0,0,0,0,0.0,0.0,1,1,2,3,1.4000000000000001
0501602004,36.976547734303445,0,0,0,0,0.0,32.78505209688694,0,0,0,0,0.0,36.976547734303445,0,0,0,0,0.0,39.9255642290777,0,0,0,0,0.0,32.78505209688694,0,0,0,0,0.0,8.613760520294585,0,0,1,1,0.3,36.976547734303445,0,0,0,0,0.0,39.9255642290777,0,0,0,0,0.0,2.932693509635031,0,1,2,3,0.9999999999999999
0501602005,37.36771176992026,0,0,0,0,0.0,33.79917891220021,0,0,0,0,0.0,37.36771176992026,0,0,0,0,0.0,39.97284266962221,0,0,0,0,0.0,33.79917891220021,0,0,0,0,0.0,8.84546286833334,0,0,1,1,0.3,37.36771176992026,0,0,0,0,0.0,39.97284266962221,0,0,0,0,0.0,4.340058202312014,0,1,2,3,0.9999999999999999
0501701001,12.21504355561995,0,0,11,40,6.2,12.21504355561995,0,0,5,10,2.0,12.21504355561995,0,0,3,4,0.9999999999999999,18.18637930099391,0,0,0,10,1.0,18.18637930099391,0,0,0,1,0.1,12.21504355561995,0,0,1,4,0.6000000000000001,12.21504355561995,0,0,1,2,0.4,18.18637930099391,0,0,0,1,0.1,18.18637930099391,0,0,0,4,0.4
0501801001,12.920827663220328,0,0,3,3,0.8999999999999999,63.71050323255704,0,0,0,0,0.0,60.285654308150725,0,0,0,0,0.0,12.920827663220328,0,0,5,5,1.5,67.39827013200484,0,0,0,0,0.0,12.920827663220328,0,0,1,1,0.3,63.71050323255704,0,0,0,0,0.0,67.39827013200484,0,0,0,0,0.0,21.97335479997568,0,0,0,3,0.30000000000000004
