CUSEC,dist_min_BUS_km,disp_ponderada_BUS,dist_min_RAIL_km,disp_ponderada_RAIL,n_lineas_bus,n_lineas_rail,n_lineas_total
0500101001,24.678029221423802,1.1,12.416062514532202,0.5,0,0,0
0500201001,35.67955533291889,0.0,35.59519038354864,0.0,0,0,0
0500201002,29.510204571803804,0.2,29.030147435124118,0.1,0,0,0
0500501001,4.68983811125442,5.7,4.68983811125442,1.7,0,0,0
0500701001,19.24989136664372,1.2000000000000002,60.06305359650065,0.0,0,0,0
0500801001,24.8683369481594,0.5,9.06796152300041,0.6000000000000001,0,0,0
0501001001,18.374041534186702,1.0,55.01631317837422,0.0,0,0,0
0501201001,25.70693003278456,0.6000000000000001,28.946524246327602,0.1,0,0,0
0501301001,46.59475735404345,0.0,53.9739400522006,0.0,0,0,0
0501401001,52.79990031621561,0.0,60.19006917239484,0.0,0,0,0
0501401002,52.150240150434236,0.0,61.62905214424742,0.0,0,0,0
0501402001,51.35618650009957,0.0,59.74268477714851,0.0,0,0,0
0501402002,51.18141708447443,0.0,58.573495583042444,0.0,0,0,0
0501403001,54.429166409766324,0.0,65.05517071833981,0.0,0,0,0
0501501001,21.737110242815888,1.3,36.36851183729933,0.0,0,0,0
0501601001,32.50277948405026,0.0,6.637355632891561,0.4,0,0,0
0501602001,28.900983291309284,0.1,5.579491947543417,0.4,0,0,0
0501602002,30.744180381529624,0.0,3.518755938154854,0.6,0,0,0
0501602003,28.817021373823458,0.1,4.340058202312014,0.7,0,0,0
0501602004,27.97834931686319,0.4,2.2530013328534206,0.8,0,0,0
0501602005,29.362675916097075,0.30000000000000004,0.0,1.2,0,15,15
0501701001,0.0,6.9,3.2771345047825897,1.6,2,0,2
0501801001,21.14699909048038,0.7000000000000001,57.72455074844672,0.0,0,0,0
0501901001,0.0,26.8,1.5151083273584538,1.5,2,0,2
0501901002,0.0,13.7,4.997467583791992,1.8,6,0,6
0501902001,0.0,29.1,1.0187237504125304,1.8,8,0,8
0501902002,0.0,29.0,0.4678676267847283,2.4000000000000004,6,0,6
0501903001,0.0,26.4,1.3941322085921508,1.5,7,0,7
0501903002,0.0,19.9,4.67767888301361,1.6,4,0,4
0501904001,0.0,13.000000000000002,7.39219367293005,1.0,4,0,4
0501904002,0.0,27.6,1.416477361981971,1.5,4,0,4
0501904003,0.14242891804271737,25.3,1.6689450752616222,1.5,0,0,0
0501904004,0.0,26.4,1.4761607907539682,1.8,2,0,2
0501904005,0.0,27.7,1.0409142458231415,1.9999999999999998,6,0,6
0501904006,0.0,28.9,1.119105198404035,1.9999999999999998,1,0,1
0501904008,0.0,24.899999999999995,1.4968149266484398,1.9999999999999998,4,0,4
0501904009,0.0,25.3,1.6677677959717414,1.5,3,0,3
0501904010,0.0,26.499999999999996,1.2778108876045606,1.9999999999999998,3,0,3
0501904011,0.0,23.0,1.3477519640498028,2.0999999999999996,5,0,5
0501904012,0.0,21.799999999999997,3.657089507905948,2.0999999999999996,2,0,2
0501904013,0.0,13.399999999999999,6.644703750049691,1.2,2,0,2
0501904014,0.0,15.2,5.66521449145765,1.2999999999999998,2,0,2
0501905001,0.0,30.499999999999996,0.9074067156634931,2.4000000000000004,2,0,2
0501905002,0.0,29.4,0.6664483629064962,2.4000000000000004,2,0,2
0501905003,0.0,28.599999999999998,0.3243934375204872,2.5,2,0,2
0501905004,0.0,23.9,0.6258846046837423,2.5,4,0,4
0501905005,0.0,26.7,0.664499886196921,2.5,4,0,4
0501905006,0.0,22.099999999999998,2.0628537895288095,2.0999999999999996,5,0,5
0501906001,0.0,29.599999999999998,0.934870523325597,2.2,6,0,6
0501906002,0.0,27.4,0.0,2.5,8,21,29
0501906003,0.0,20.9,0.0,2.5,1,4,5
0501906004,0.0,28.799999999999997,0.7896961804259838,2.2,5,0,5
0501906005,0.0,28.0,0.9567378019402087,2.2,3,0,3
0501906006,0.0,27.599999999999998,0.7737902064200882,2.4000000000000004,2,0,2
0501906008,0.0,25.199999999999996,1.1748945107273012,1.8,8,0,8
0501906009,0.0,29.4,0.5913551102009539,2.4000000000000004,7,0,7
0501906010,0.0,27.8,0.5453856831829799,2.4000000000000004,4,0,4
0501906011,0.0,13.600000000000001,8.535967350119108,1.4,4,0,4
0501906012,0.0,22.699999999999996,1.5016513377352367,2.0999999999999996,11,0,11
0501906013,0.0,15.1,5.50716494459534,1.2999999999999998,9,0,9
0501906014,0.0,23.4,0.8081859092535486,2.5,5,0,5
0502101001,15.601353530648364,1.4000000000000001,65.34041507128813,0.0,0,0,0
0502101002,16.73012215393812,1.3,64.56804152368743,0.0,0,0,0
0502201001,15.132921235875681,4.1000000000000005,12.234295713670836,0.8,0,0,0
0502201002,23.94784152430718,3.2,20.75898017567587,0.5,0,0,0
0502301001,22.152715636570555,0.7000000000000001,19.859366515400723,0.9,0,0,0
0502401001,7.804081151921057,3.9999999999999996,64.69973999219773,0.0,0,0,0
0502501001,24.32321414259851,0.5,38.95116578934545,0.0,0,0,0
0502601001,19.194623288402916,0.7000000000000001,20.214160944242003,1.0,0,0,0
0502701001,5.919714179563343,6.0,7.7392831372922295,1.1,0,0,0
0502901001,12.880295517909225,1.1,12.880295517909225,0.9000000000000001,0,0,0
0503001001,0.0,14.200000000000001,6.873672260902735,1.5,2,0,2
0503301001,5.762174045415924,2.1999999999999997,5.571519042131269,1.0999999999999999,0,0,0
0503401001,27.742093375688405,0.30000000000000004,11.875588216240436,1.2000000000000002,0,0,0
0503501001,18.776154570062108,4.6000000000000005,17.006519084203354,0.6000000000000001,0,0,0
0503601001,16.585193074162046,3.6,12.960011009220603,0.8,0,0,0
0503701001,27.434405718683834,0.30000000000000004,68.78100576975329,0.0,0,0,0
0503801001,29.96673813914312,0.1,37.053638722383525,0.0,0,0,0
0503901001,6.297533688768477,5.6000000000000005,6.297533688768477,1.1,0,0,0
0504001001,0.0,8.8,7.249324714343136,1.1,2,0,2
0504101001,23.903335161805362,1.1,29.861797716242457,0.1,0,0,0
0504201001,14.32812202330604,1.2,14.32812202330604,0.7,0,0,0
0504301001,15.808458597880438,0.8,15.808458597880438,1.0,0,0,0
0504401001,20.74984645413929,0.8,21.08473879070439,0.30000000000000004,0,0,0
0504501001,13.106060677269012,4.4,13.106060677269012,1.0,0,0,0
0504601001,16.254986298714492,0.9,16.254986298714492,0.8,0,0,0
0504701001,52.22172192281493,0.0,73.4741030557602,0.0,0,0,0
0504703001,48.33671564968834,0.0,77.43764595372195,0.0,0,0,0
0504703002,40.7209873056099,0.0,73.04122366109537,0.0,0,0,0
0504703003,45.744266664738475,0.0,68.82607523448414,0.0,0,0,0
0504801001,10.77835267042506,1.3,10.77835267042506,1.2000000000000002,0,0,0
0504901001,4.997467583791992,12.399999999999999,0.0,2.2,0,2,2
