Nombre;Latitud;Longitud;Provincia;ceas_id;CUSEC
CEAS ÁVILA NORTE;40,662;-4,694;Ávila;1;0501903002
CEAS ÁVILA CENTRO;40,657;-4,699;Ávila;2;0501901001
CEAS ÁVILA SUR;40,650;-4,699;Ávila;3;0501904004
CEAS ÁVILA RURAL - (SEDE II);40,591;-5,014;Ávila;4;0513501001
CEAS ARAVALLE - BARCO DE ÁVILA;40,359;-5,519;Ávila;5;0502101002
CEAS MORAÑA - ARÉVALO (SEDE I);41,064;-4,721;Ávila;6;0501601001
CEAS MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES (SEDE I);41,089;-4,999;Ávila;7;0511402001
CEAS MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES (SEDE II);40,873;-4,971;Ávila;8;0506501001
CEAS EL TIÉTAR - LA ADRADA (SEDE I);40,302;-4,637;Ávila;9;0500201002
CEAS EL TIÉTAR - LA ADRADA (SEDE III);40,290;-4,581;Ávila;10;0524002001
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE I);40,209;-5,090;Ávila;11;0501401001
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE II);40,260;-5,017;Ávila;12;0513201001
CEAS ALBERCHE - CEBREROS (SEDE I);40,455;-4,465;Ávila;13;0505701001
CEAS ALBERCHE - CEBREROS (SEDE II);40,414;-4,785;Ávila;14;0504101001
CEAS ALBERCHE - CEBREROS (SEDE III);40,604;-4,328;Ávila;15;0516801001
CEAS ALBERCHE - CEBREROS (SEDE IV);40,415;-4,498;Ávila;16;0524101002
CEAS VALLE DEL CORNEJA - PIEDRAHITA (SEDE I);;;Ávila;17;0518601001
CEAS VALLE DEL CORNEJA - PIEDRAHITA (SEDE II);40,362;-5,135;Ávila;18;0516501001
CEAS MORAÑA - ARÉVALO (SEDE II);40,893;-4,582;Ávila;19;0520401001
CEAS EL TIÉTAR - ARENAS DE SAN PEDRO (SEDE III);40,153;-5,241;Ávila;20;0504703001
CEAS EL TIÉTAR - LA ADRADA (SEDE II);40,281;-4,766;Ávila;21;0505401001
CEAS ÁVILA RURAL - (SEDE I);40,646;-4,693;Ávila;22;0501904010
CEAS LERMA;42,024;-3,758;Burgos;23;0919401002
CEAS MIRANDA RURAL;42,635;-3,111;Burgos;24;0925101001
CEAS ROA DE DUERO;41,695;-3,930;Burgos;25;0932101001
CEAS TRESPADERNE;42,803;-3,387;Burgos;26;0939401001
CEAS VILLADIEGO;42,516;-4,011;Burgos;27;0942701001
CEAS BRIVIESCA;42,550;-3,322;Burgos;28;0905601002
CEAS ESPINOSA DE LOS MONTEROS;43,077;-3,553;Burgos;29;0912401001
CEAS MEDINA DE POMAR;42,930;-3,488;Burgos;30;0920901002
CEAS OÑA;42,735;-3,414;Burgos;31;0923801001
CEAS SALAS DE LOS INFANTES;42,023;-3,287;Burgos;32;0933001001
CEAS VALLE DE MENA;43,102;-3,280;Burgos;33;0941001001
CEAS VILLARCAYO;42,941;-3,569;Burgos;34;0990301002
CEAS RIO VENA;42,353;-3,684;Burgos;35;0905905013
CEAS SAN PEDRO DE LA FUENTE;42,342;-3,715;Burgos;36;0905903007
CEAS SAN PEDRO Y SAN FELICES;42,333;-3,702;Burgos;37;0905906009
CEAS CENTRO - ARLANZON;42,343;-3,700;Burgos;38;0905902004
CEAS GAMONAL II - LA ANTIGUA;42,350;-3,670;Burgos;39;0905909007
CEAS ARANDA RURAL;41,651;-3,781;Burgos;40;0908501001
CEAS BURGOS RURAL NORTE;42,434;-3,682;Burgos;41;0990601001
CEAS MELGAR DE FERNAMENTAL;42,404;-4,247;Burgos;42;0921101001
CEAS QUINTANAR DE LA SIERRA;41,982;-3,040;Burgos;43;0928901002
CEAS VALLE DE VALDEBEZANA;42,715;-3,749;Burgos;44;0990501001
CEAS BELORADO;42,420;-3,192;Burgos;45;0904801001
CEAS BURGOS RURAL SUR;42,277;-3,898;Burgos;46;0912501001
CEAS GAMONAL I - LAS TORRES;42,360;-3,668;Burgos;47;0905909015
CEAS HUERTA EL REY;41,839;-3,347;Burgos;48;0917401001
CEAS MIRANDA OESTE;42,683;-2,952;Burgos;49;0921901001
CEAS MIRANDA ESTE;42,690;-2,934;Burgos;50;0921904002
CEAS VADILLOS;42,343;-3,700;Burgos;51;0905902004
CEAS A-ALLENDEDUERO;41,665;-3,689;Burgos;52;0901801009
CEAS B-CENTRO;41,670;-3,683;Burgos;53;0901802004
CEAS SANTA MARÍA DEL CAMPO;42,132;-3,975;Burgos;54;0935001001
CEAS CAPISCOL;42,350;-3,670;Burgos;55;0905909007
CEAS SAN JULIAN Y EL CRUCERO;42,333;-3,702;Burgos;56;0905906009
CEAS LA BAÑEZA;42,299;-5,901;León;57;2401001002
CEAS BOÑAR;42,868;-5,322;León;58;2402101001
CEAS LEÓN I (VILLAQUILAMBRE);42,639;-5,558;León;59;2422201006
CEAS LEÓN II -VIRGEN DEL CAMINO;42,580;-5,643;León;60;2418901002
