fid,d_tipocent,a_nombre,a_complejo,a_direccio,n_latitud,n_longitud,a_cod_post,centro_salud_id,Grupo,CUSEC
1,Hospital,Hospital de Benavente,Complejo Asistencial de Zamora,"C/ HOSPITAL DE SAN JUAN, 4-6",42.00447199999999,-5.6765815,49600,1,especializada,4902101004
2,Hospital,Hospital Los Montalvos,Complejo Asistencial Universitario de Salamanca,"CTRA. CIUDAD RODRIGO, S/N",40.927106899999984,-5.7409168,37197,2,especializada,3708701001
3,Hospital,Hospital Clínico Universitario de Valladolid,,"AVDA. RAMÓN Y CAJAL, 3",41.6556843,-4.7194705,47005,3,especializada,4718608002
4,Hospital,Hospital de León,Complejo Asistencial Universitario de León,"C/ ALTOS DE NAVA, S/N",42.619271499999996,-5.573334600000001,24071,4,especializada,2408903008
5,Hospital,Hospital Provincial de Ávila,Complejo Asistencial de Ávila,"C/ JESÚS DEL GRAN PODER, 42",40.650288700000004,-4.6925986,05003,5,especializada,0501904005
6,Hospital,Hospital El Bierzo,,"C/ MÉDICOS SIN FRONTERAS, 7",42.57233659999999,-6.643434999999999,24404,6,especializada,2411505007
7,Hospital,Hospital San Telmo,Complejo Asistencial Universitario de Palencia,"AVDA. SAN TELMO, S/N",41.996486999999995,-4.5196723,34004,7,especializada,3412007018
8,Hospital,Hospital Divino Vallés,Complejo Asistencial Universitario de Burgos,"AVDA. ISLAS BALEARES, 1",42.3600076,-3.6915641,09006,8,especializada,0905905038
9,Hospital,Hospital Universitario del Río Hortega,,"C/ DULZAINA, 2",41.6300172,-4.7127903999999985,47012,9,especializada,4718604040
10,Hospital,Hospital Universitario de Burgos,Complejo Asistencial Universitario de Burgos,"AVDA. ISLAS BALEARES, 3",42.36246070000001,-3.684509999999999,09006,10,especializada,0905905038
11,Hospital,Hospital Río Carrión,Complejo Asistencial Universitario de Palencia,"AVDA. DONANTES DE SANGRE, S/N",42.0007318,-4.5394,34005,11,especializada,3412002003
12,Hospital,Hospital Santos Reyes,,"AVDA. RUPERTA BARAYA, 6",41.66957390000001,-3.6915641,09400,12,especializada,0901801002
13,Hospital,Hospital Medina Del Campo,,"C/ PEÑARANDA, 24",41.295331000000004,-4.9114143,47000,13,especializada,4708501006
14,Hospital,Hospital Universitario Virgen de la Vega,Complejo Asistencial Universitario de  Salamanca,"PASEO DE SAN VICENTE, 58",40.96498999999999,-5.6732002999999995,37007,14,especializada,3727403004
15,Hospital,Hospital Fuente Bermeja,Complejo Asistencial Universitario de Burgos,"C/ FCO. SALINAS, S/N",42.3466956,-3.7113366,09003,15,especializada,0905903006
16,Hospital,Hospital Monte San Isidro,Complejo Asistencial Universitario de León,"CTRA. DE ASTURIAS, S/N",42.63932359999998,-5.5940199,24008,16,especializada,2408903003
17,Hospital,Hospital Santa Isabel,Complejo Asistencial Universitario de León,"CRTA. MADRID, 118",42.575919999999996,-5.545052199999998,24005,17,especializada,2408908002
18,Hospital,Hospital Virgen del Castañar,Complejo Asistencial Universitario de Salamanca,"TRAVESÍA DE SANTA ANA, 4",40.385115799999994,-5.766349399999999,37700,18,especializada,3704602001
19,Hospital,Hospital Santiago Apóstol,,"CTRA. DE ORÓN, S/N",42.6697827,-2.9888110000000006,09200,19,especializada,0921904001
20,Hospital,Hospital Provincial de Zamora,Complejo Asistencial de Zamora,"C/ HERNÁN CORTÉS, 40",41.5113982,-5.7280343,49071,20,especializada,4927502010
21,Hospital,Hospital Virgen de la Concha,Complejo Asistencial de Zamora,"AVDA. REQUEJO, 35",41.5142828,-5.7316792,49022,21,especializada,4927501006
22,Hospital,Hospital Clínico Universitario de Salamanca,Complejo Asistencial Universitario de Salamanca,"PASEO DE SAN VICENTE, 182",40.9639867,-5.6751697,37007,22,especializada,3727403004
23,Hospital,Hospital General de Segovia,Complejo Asistencial de Segovia,C/ LUIS ERIK CLAVERÍA NEURÓLOGO S/N,40.943086900000004,-4.128050400000001,40002,23,especializada,4019404010
24,Hospital,Hospital Virgen del Mirón,Complejo Asistencial de Soria,"CTRA. LOGROÑO, 8",41.771556699999984,-2.464044800000001,42005,24,especializada,4217303002
25,Hospital,Hospital Santa Bárbara,Complejo Asistencial de Soria,"PASEO DE SANTA BÁRBARA, S/N",41.77205349999999,-2.4714244999999995,42005,25,especializada,4217301007
26,Hospital,Hospital Nuestra Señora de Sonsoles,Complejo Asistencial de Ávila,"AVDA. DE JUAN CARLOS I, S/N",40.6659342,-4.6664857,05071,26,especializada,0501906013
27,Centro de Salud,Piedrahíta,,"PZA. NUEVA DE LA VILLA, 3",40.4625335,-5.3263907,05500,27,primaria,0518601001
28,Centro de Salud,Pilarica,,"C/ DR. MONTERO, 2",41.650487000000005,-4.714535400000001,47005,28,primaria,4718606018
29,Centro de Salud,Pisuerga,,"PZA. ESPAÑA, 5",41.62586159999999,-4.774127199999999,47195,29,primaria,4701001006
30,Centro de Salud,San Agustín,,"C/ BONIFACIO ZAMORA USABEL, S/N",42.333301199999994,-3.702059199999999,09001,30,primaria,0905906007
31,Centro de Salud,Casto Prieto,,"C/ MAESTRO TÁRREGA, 2-4",40.951304500000006,-5.663674500000002,37008,31,primaria,3727403012
32,Centro de Salud,San Leonardo de Yagüe,,"C/ SAN PEDRO, S/N",41.829353399999995,-3.0654067,42140,32,primaria,4216401001
33,Centro de Salud,San Pedro del Arroyo,,"C/ LA SALUD, 1",40.8011688,-4.869219899999999,05350,33,primaria,0522001001
34,Centro de Salud,Puente de Domingo Flórez,,"PZA. EPIFANIO CAMPO, S/N",42.41131089999998,-6.8199343,24380,34,primaria,2412201001
35,Centro de Salud,Quintanar de la Sierra,,"C/ IGLESIA, S/N",41.9790395,-3.0418546,09670,35,primaria,0928901001
36,Centro de Salud,Riaza,,"PZA. MARÍA HERNADO, 1",41.276837400000005,-3.4796646,40500,36,primaria,4017001001
