CUSEC_origen;ceas_id;CUSEC_servicio;distancia
0500101001;19;0520401001;5688,878
0500101001;6;0501601001;18790,535
0500101001;1;0501903002;28508,955
0500201001;9;0500201002;6593,319
0500201001;21;0505401001;9715,217
0500201001;10;0524002001;6277,992
0500201001;14;0504101001;15581,819
0500201001;13;0505701001;25478,525
0500201001;16;0524101002;20208,504
0500201002;9;0500201002;0,000
0500201002;14;0504101001;12566,732
0500201002;21;0505401001;11619,271
0500201002;10;0524002001;8489,764
0500201002;13;0505701001;19931,988
0500201002;16;0524101002;15086,504
0500501001;8;0506501001;7867,082
0500501001;2;0501901001;25150,106
0500501001;1;0501903002;22320,051
0500501001;3;0501904004;25893,787
0500501001;22;0501904010;26425,724
0500501001;4;0513501001;28763,987
0500501001;19;0520401001;26060,326
0500501001;135;3724602001;29561,084
0500701001;5;0502101002;7357,844
0500701001;17;0518601001;12975,020
0500701001;18;0516501001;26544,379
0500701001;123;3704602001;29082,239
0500701001;126;3715601002;29381,410
0500801001;6;0501601001;8005,740
0500801001;8;0506501001;24868,337
0500801001;7;0511402001;19935,104
0500801001;19;0520401001;24703,004
0501001001;5;0502101002;11395,326
0501001001;17;0518601001;8039,665
0501001001;18;0516501001;25373,599
0501001001;126;3715601002;28103,918
0501201001;4;0513501001;4053,586
0501201001;18;0516501001;25819,940
0501201001;17;0518601001;26304,262
0501301001;12;0513201001;9700,071
0501301001;18;0516501001;8577,683
0501301001;11;0501401001;7610,389
0501301001;14;0504101001;28712,317
0501301001;20;0504703001;23588,172
0501301001;21;0505401001;26481,692
0501402001;11;0501401001;2275,606
0501402001;12;0513201001;8258,563
0501402001;18;0516501001;14075,250
0501402001;20;0504703001;18458,725
0501402001;21;0505401001;29359,503
0501402002;11;0501401001;1896,572
0501402002;12;0513201001;6667,897
0501402002;18;0516501001;14078,880
0501402002;20;0504703001;19979,737
0501402002;21;0505401001;27696,474
0501403001;11;0501401001;4886,689
0501403001;12;0513201001;10070,337
0501403001;20;0504703001;15099,387
0501403001;18;0516501001;19972,461
0501501001;17;0518601001;13234,791
0501501001;5;0502101002;28213,557
0501501001;4;0513501001;29653,275
0501501001;126;3715601002;26012,474
0501601001;6;0501601001;0,000
0501601001;7;0511402001;26068,938
0501601001;19;0520401001;24195,531
0501601001;170;4710401001;25523,148
0501602001;6;0501601001;3609,056
0501602001;8;0506501001;28900,983
0501602001;7;0511402001;24049,604
0501602001;19;0520401001;22935,360
0501602001;170;4710401001;28659,866
0501602002;6;0501601001;3160,638
0501602002;7;0511402001;26958,484
0501602002;19;0520401001;21159,794
0501602002;170;4710401001;28532,892
0501602003;6;0501601001;4002,826
0501602003;8;0506501001;28817,021
0501602003;7;0511402001;25035,100
0501602003;19;0520401001;21686,564
0501602003;170;4710401001;29430,561
0501602004;6;0501601001;6395,470
0501602004;8;0506501001;27978,349
0501602004;7;0511402001;26845,293
0501602004;19;0520401001;18796,437
0501602005;6;0501601001;6637,356
0501602005;8;0506501001;29814,269
0501602005;7;0511402001;29000,392
0501602005;19;0520401001;17653,646
0501701001;8;0506501001;14390,441
0501701001;2;0501901001;18082,018
0501701001;1;0501903002;15357,625
0501701001;3;0501904004;18827,016
0501701001;22;0501904010;19358,065
0501701001;4;0513501001;26206,758
0501701001;19;0520401001;24094,464
0501801001;5;0502101002;11094,180
0501801001;17;0518601001;10010,766
0501801001;18;0516501001;23305,876
0501901001;2;0501901001;0,000
0501901001;3;0501904004;828,905
0501901001;1;0501903002;4459,486
0501901001;22;0501904010;1289,910
0501901001;13;0505701001;29960,449
0501901001;4;0513501001;27911,268
0501901001;19;0520401001;28032,021
0501901002;1;0501903002;4889,161
0501901002;2;0501901001;5938,995
0501901002;3;0501904004;6643,098
0501901002;22;0501904010;7187,584
0501901002;8;0506501001;26198,616
0501901002;4;0513501001;25284,010
0501901002;19;0520401001;26150,272
0501902001;2;0501901001;503,377
0501902001;3;0501904004;753,891
0501902001;1;0501903002;4544,449
0501902001;22;0501904010;1004,697
0501902001;13;0505701001;29542,300
0501902001;4;0513501001;28354,595
