CUSEC_origen;centro_id;CUSEC_servicio;distancia
0500101001;385;0501602004;13860,096
0500101001;86;0501602005;12416,063
0500101001;1140;0520401001;5688,878
0500101001;1136;4018001001;14291,787
0500101001;671;0501602002;15854,158
0500101001;119;0501903002;28508,955
0500101001;312;0504901001;25461,465
0500101001;626;0512801001;20857,775
0500101001;623;0515201001;15068,470
0500101001;620;0522001001;28093,292
0500101001;1261;4000101001;27465,397
0500101001;462;4005701002;27947,975
0500101001;950;4009401001;28584,723
0500101001;321;4013801002;22690,999
0500101001;1386;4018501001;17193,990
0500101001;156;4022501001;25658,872
0500201001;735;0500201001;0,000
0500201001;997;0500201001;0,000
0500201001;1419;0505401001;9715,217
0500201001;1394;0512701001;14477,938
0500201001;674;0516301002;13619,929
0500201001;1269;0516301002;13619,929
0500201001;952;0518701001;7714,575
0500201001;1515;0518701001;7714,575
0500201001;1008;0522701001;9932,053
0500201001;1364;0522701001;9932,053
0500201001;1446;0524001001;6209,785
0500201001;120;0502201002;15039,924
0500201001;1524;0502201002;15039,924
0500201001;639;0504101001;15581,819
0500201001;688;0505702002;27342,770
0500201001;961;0505702002;27342,770
0500201001;123;0511001001;25477,543
0500201001;1366;0511001001;25477,543
0500201001;320;0515801001;21553,437
0500201001;1363;0516001001;25409,261
0500201001;298;0520701001;25487,633
0500201001;464;0524101002;20208,504
0500201001;986;0524101002;20208,504
0500201001;1126;0526201001;28077,361
0500201002;1446;0524001001;4415,298
0500201002;735;0500201001;6593,319
0500201002;997;0500201001;6593,319
0500201002;120;0502201002;8698,586
0500201002;1524;0502201002;8698,586
0500201002;639;0504101001;12566,732
0500201002;1419;0505401001;11619,271
0500201002;674;0516301002;7589,314
0500201002;1269;0516301002;7589,314
0500201002;952;0518701001;6768,124
0500201002;1515;0518701001;6768,124
0500201002;1008;0522701001;8919,316
0500201002;1364;0522701001;8919,316
0500201002;688;0505702002;22119,596
0500201002;961;0505702002;22119,596
0500201002;136;0510201002;26689,890
0500201002;123;0511001001;29703,829
0500201002;1366;0511001001;29703,829
0500201002;1394;0512701001;16855,017
0500201002;320;0515801001;16316,100
0500201002;1363;0516001001;24304,379
0500201002;298;0520701001;27509,274
0500201002;464;0524101002;15086,504
0500201002;986;0524101002;15086,504
0500201002;1126;0526201001;28954,220
0500501001;620;0522001001;4689,838
0500501001;1411;0506501001;7867,082
0500501001;1448;0507401001;11828,076
